#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/18/23,N,Hartford,ind,Morgan St.,A,"L, 92-84",116.7,142.2,71.7,117.2,54.2,18.1,32.4,43.3,128.3,61.7,18.1,48.5,29.7,9.3,-5
2,2,2/8/23,N,Hartford,ind,Central Connecticut,H,"L, 82-73",107.9,139.8,62.9,116.1,61.1,17.5,17.9,13,130.4,61.3,14.3,38.5,41.5,4.8,-1
3,3,1/10/23,N,Hartford,ind,St. Francis NY,A,"L, 78-73",106.4,132.7,66.3,110,57.6,16.6,25.9,16.9,117.6,62,18.1,29.6,46,7.3,-2
4,4,1/25/23,N,Hartford,ind,Stonehill,H,"W, 73-56",103.5,109.8,62.6,116.6,65.2,28.7,44,1.8,89.4,51,22.4,25,19.6,33.6,-2
5,5,1/7/23,N,Hartford,ind,Sacred Heart,A,"L, 78-71",100.8,121.7,68.2,104.1,50,19.1,32.5,10.6,114.4,53.3,11.7,31.4,31.1,10.3,-2
6,6,11/27/22,N,Hartford,ind,Colgate,N,"L, 92-58",97.4,131,62.5,92.7,44.1,14.4,25.6,15.3,147.1,71.7,14.4,40,13.3,3.2,-12
7,7,11/17/22,N,Hartford,ind,Boston University,A,"L, 102-66",96.7,146.6,71.5,92.3,58,30.8,20,16,142.6,64.4,14,45.7,15.1,0.8,-13
8,8,2/13/23,N,Hartford,ind,South Alabama,A,"L, 77-53",92.4,115.7,62.3,85.1,42.5,17.7,30,13.3,123.6,59,4.8,20,13.1,7,-12
9,9,11/30/22,N,Hartford,ind,Fairleigh Dickinson,H,"W, 74-66",91.2,94.3,70.3,105.2,60.2,32.7,37.5,59.1,93.8,49.2,14.2,16.7,11.1,40.5,4
10,10,1/23/23,N,Hartford,ind,Penn,H,"L, 76-52",90.6,114.5,60.6,85.8,46.2,18.2,22.9,18.9,125.4,61.7,11.6,25.8,5,6.3,-6
11,11,1/16/23,N,Hartford,ind,UMBC,A,"L, 87-62",90.5,130.6,65.5,94.6,56.7,18.3,10,17.3,132.8,66.7,12.2,25.9,16.7,1.5,-14
12,12,2/19/23,C,Hartford,ind,Chicago St.,A,"L, 75-53",90.1,120.2,59.6,89,51,28.5,29,8,125.9,55,18.5,54.8,18.3,3.5,-4
13,13,2/16/23,N,Hartford,ind,Merrimack,H,"L, 67-59",89.5,121.5,66.2,89.2,56.1,34.8,26.9,12.2,101.2,51,21.2,29,40,2.9,-9
14,14,11/8/22,N,Hartford,ind,Sacred Heart,H,"L, 77-70",89.5,114.9,73.4,95.3,46.7,19.1,22.9,23,104.9,50.7,15,29.3,15.9,5.4,-2
15,15,11/25/22,N,Hartford,ind,Penn,A,"L, 75-55",86.3,103.3,66.4,82.8,36.7,7.5,23.4,25,113,56.9,15.1,21.2,22.4,11.3,-8
16,16,12/13/22,N,Hartford,ind,Saint Peter's,H,"L, 58-57",83.2,99,64.9,87.8,41.7,20,26.5,54.2,89.4,39.2,23.1,45.5,36.7,11.9,-2
17,17,12/22/22,N,Hartford,ind,San Francisco,A,"L, 85-53",82.9,116,67.8,78.2,40.9,25.1,6.9,40.9,125.4,59.6,16.2,31,33.3,2.1,-17
18,18,12/6/22,N,Hartford,ind,St. Francis NY,A,"L, 68-50",79.7,122.5,61.8,80.9,46.7,29.1,27.6,28.3,110,45.5,14.6,37.1,35.7,0.7,-8
19,19,12/4/22,N,Hartford,ind,Brown,H,"L, 65-51",78.8,103.9,66.2,77.1,41.8,22.7,14.7,32.7,98.3,60,22.7,20,24,4,-9
20,20,12/17/22,N,Hartford,ind,St. Francis NY,H,"L, 67-51",76.8,113.8,65.7,77.7,38.1,21.3,30.8,16.9,102,47.3,16.7,26.5,28.6,1.1,-3
21,21,12/30/22,N,Hartford,ind,Morgan St.,H,"L, 61-54",73.8,99.1,70.5,76.6,40.6,31.2,28.1,39.6,86.6,43.4,31.2,41.7,43.4,3.3,-5
22,22,11/26/22,N,Hartford,ind,Delaware,N,"L, 78-50",73.6,110.2,69.9,71.5,42.6,25.7,11.4,40.4,111.5,50.9,20,36.4,44.6,1,-11
23,23,11/12/22,N,Hartford,ind,St. Francis PA,A,"L, 77-53",73,112.9,68.6,77.3,33.1,16,28.6,27.4,112.2,59.8,23.3,39.3,26.8,0.7,-11
24,24,2/6/23,N,Hartford,ind,UMass Lowell,H,"L, 70-48",73,104.9,65.5,73.3,38.5,26,31.4,25,106.9,55.3,19.8,23.1,57.4,1.5,-14
25,25,2/4/23,C,Hartford,ind,Chicago St.,H,"L, 62-49",70.1,101.7,63.5,77.1,44,26.8,23.5,24,97.6,44.1,25.2,47.1,47.1,1.4,-8
