#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/21/23,C,Harvard,Ivy,Cornell,H,"W, 95-89",123.9,119.3,71.7,132.5,69.8,19.5,33.3,49.1,124.1,63.8,16.7,25.8,32.8,60.8,3
2,2,11/13/22,N,Harvard,Ivy,Elon,N,"W, 92-77",119.2,110.2,73.7,124.8,60,21.7,43.8,63.6,104.5,50.9,14.9,20,51.8,71,11
3,3,3/4/23,C,Harvard,Ivy,Dartmouth,A,"L, 87-82",111.2,125.6,72.2,113.6,60.3,16.6,24.2,15.9,120.5,69.1,24.9,30.4,25.5,19.7,-5
4,4,2/17/23,C,Harvard,Ivy,Columbia,A,"W, 83-65",107.6,99.7,72.7,114.2,53.8,19.3,47.4,30.3,89.5,43.9,13.8,15,12.1,70.6,8
5,5,2/18/23,C,Harvard,Ivy,Cornell,A,"W, 73-56",107.4,81.3,64.9,112.4,55,15.4,23.1,50,86.3,39.8,23.1,27.8,42.9,96,9
6,6,12/28/22,N,Harvard,Ivy,Maine,A,"W, 74-73",106.7,111.5,60.9,108.1,53.3,17.5,32.4,24.6,106.6,50,10.2,25,11.9,37.7,1
7,7,1/14/23,C,Harvard,Ivy,Columbia,H,"W, 73-51",104.2,90.4,64.4,113.3,55.7,18.6,45.2,14.8,79.1,31.9,10.9,16.3,27.6,83.7,11
8,8,12/2/22,N,Harvard,Ivy,Massachusetts,H,"L, 71-68",102.3,107.6,67.9,100.1,52.2,25,33.3,62.2,104.5,47.6,16.2,30.8,25.4,35.8,4
9,9,11/16/22,N,Harvard,Ivy,Northeastern,A,"W, 70-69",101.6,110,66.8,104.8,55.6,15,24.1,27.8,103.3,48.5,16.5,31.4,4.4,28.5,-1
10,10,12/31/22,C,Harvard,Ivy,Princeton,A,"L, 69-66",98.2,94.5,69.4,95.1,49.2,20.2,27.9,26.7,99.4,51.7,15.8,19.4,18.3,61,-1
11,11,12/22/22,N,Harvard,Ivy,Kansas,A,"L, 68-54",98.1,90.9,65.7,82.2,46.2,24.3,22.2,26.4,103.5,50,15.2,32.3,13.3,70.7,-4
12,12,11/20/22,N,Harvard,Ivy,Siena,H,"W, 69-59",98.1,93.4,68.2,101.2,59.8,20.5,15.4,27.5,86.5,46.4,29.3,33.3,18.2,63.8,3
13,13,11/30/22,N,Harvard,Ivy,Holy Cross,A,"W, 72-38",97.9,70.5,66.2,108.7,44.4,15.1,47.8,21.1,57.4,36.7,27.2,11.4,14.3,97.8,11
14,14,1/6/23,C,Harvard,Ivy,Brown,A,"W, 70-68",97.8,94.3,66.4,93.6,50,18.7,23.5,17.7,91,47.7,16.1,15.2,13.8,60.2,-1
15,15,1/28/23,C,Harvard,Ivy,Penn,A,"L, 83-68",96.8,113,69.7,97.5,42.7,15.8,30.2,33.9,119,54.9,12.9,28.6,32.8,14.5,-11
16,16,12/20/22,N,Harvard,Ivy,UC Irvine,A,"W, 62-57",95.3,79.3,69.3,89.4,40,23.1,35,28.3,82.2,39,15.9,22.5,27.1,89.2,3
17,17,2/11/23,C,Harvard,Ivy,Penn,H,"L, 80-72",94.5,107.3,73.2,98.4,48.3,26,38.9,36.2,109.3,50.9,24.6,43.3,46.4,18.9,-8
18,18,2/4/23,C,Harvard,Ivy,Brown,H,"L, 68-65",92.9,104.2,70.2,92.5,43.4,17.1,25,26.2,96.8,51,19.9,16.7,51,20.9,-5
19,19,11/11/22,N,Harvard,Ivy,Louisiana Lafayette,N,"L, 75-61",92.8,103.7,67.1,90.9,52,22.4,25,34.7,111.8,50,13.4,38.2,26.6,22,-8
20,20,11/25/22,N,Harvard,Ivy,Loyola Chicago,H,"W, 61-55",91.4,83.5,66.2,92.2,50,19.7,20,36,83.1,48,25.7,20,19.6,73.8,7
21,21,2/25/23,C,Harvard,Ivy,Princeton,H,"L, 58-56",91,101.3,58.7,95.4,37.1,10.2,33.3,31,98.8,51,17,20,11.5,22.4,-7
22,22,2/3/23,C,Harvard,Ivy,Yale,H,"L, 68-57",90.8,104.4,64.6,88.3,43.6,21.7,23.3,46.8,105.3,51.8,18.6,33.3,21.1,16.7,-9
23,23,11/27/22,N,Harvard,Ivy,Fordham,A,"L, 68-60",89.6,96,71.1,84.4,43.2,25.3,28.2,22,95.6,41.7,14.1,22.5,31.7,31.1,-4
24,24,1/7/23,C,Harvard,Ivy,Yale,A,"L, 58-54",85.7,83.3,66.9,80.7,40.9,22.4,20.5,20,86.6,49,22.4,18.8,27.5,57.9,-4
25,25,1/16/23,C,Harvard,Ivy,Dartmouth,H,"L, 60-59",84.5,104.8,63.8,92.5,47.9,20.4,25,41.7,94.1,49,21.9,21.2,34,7.7,-7
26,26,12/18/22,N,Harvard,Ivy,Howard,H,"L, 66-54",78.7,93.4,69.7,77.5,36.9,21.5,26.8,19.7,94.7,52.8,21.5,20.7,22.2,12.2,-2
