#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/25/22,N,Hawaii,BW,Sacramento St.,N,"W, 74-61",128.4,108.5,56.3,131.4,66.4,12.4,33.3,5.5,108.3,51,19.5,35.7,21.6,87.4,11
2,2,1/28/23,C,Hawaii,BW,Cal St. Bakersfield,H,"W, 72-69",122.7,120.6,60.6,118.8,55.7,19.8,37.5,65.9,113.8,49,11.5,25,44,54.9,10
3,3,11/26/22,N,Hawaii,BW,Texas St.,N,"W, 72-65",113.9,106.3,61.7,116.7,57.8,14.6,25,68.9,105.3,49.1,13,30.3,20.7,69,3
4,4,12/11/22,N,Hawaii,BW,St. Francis PA,H,"W, 90-66",110.7,110.6,68.2,132.1,62.7,7.3,29,25.4,96.8,47.5,16.1,20.6,20,50.4,3
5,5,3/2/23,C,Hawaii,BW,Cal St. Northridge,A,"W, 81-55",109.3,94,68.5,118.3,50.8,11.7,27.8,32.3,80.3,42.9,17.5,11.1,44.9,85,6
6,6,2/4/23,C,Hawaii,BW,Cal Poly,A,"W, 69-56",109,97,64.3,107.3,47.9,15.6,20,50,87.1,41.5,12.4,6.2,24.5,79.4,7
7,7,2/18/23,C,Hawaii,BW,Long Beach St.,A,"W, 70-67",106.9,92.4,68.8,101.7,53.8,20.3,28,35.8,97.4,45.8,16,28.6,26.7,84.3,6
8,8,12/22/22,N,Hawaii,BW,Pepperdine,H,"W, 76-70",105.9,94.4,72.2,105.3,53.6,26.3,45.2,45.5,97,47.3,19.4,19.4,36.4,78.9,10
9,9,11/11/22,N,Hawaii,BW,Mississippi Valley S,H,"W, 72-54",105.7,106.3,60.7,118.6,46.2,18.1,59,22.7,89,48,23.1,25.9,18.4,48.4,6
10,10,1/19/23,C,Hawaii,BW,UC Irvine,A,"L, 76-68",105.5,111,67.3,101.1,47.3,19.3,29.7,35.7,113,51.7,14.9,33.3,32.2,35.8,-8
11,11,2/9/23,C,Hawaii,BW,UC San Diego,H,"W, 69-62",104.1,107.9,61.1,113,53.4,16.4,31.2,13.8,101.5,47.5,13.1,30.6,11.7,40,-2
12,12,11/13/22,N,Hawaii,BW,Eastern Washington,H,"W, 71-51",104,77.2,64.6,109.9,52.7,12.4,18.2,26.8,79,40.8,24.8,32.3,38.8,96.9,10
13,13,2/2/23,C,Hawaii,BW,UC Davis,A,"L, 75-63",102.6,113,64.6,97.5,51,20.1,21.4,27.5,116.1,71.6,24.8,16.7,36.4,24.6,-4
14,14,2/20/23,C,Hawaii,BW,Cal St. Bakersfield,A,"W, 61-50",102.4,96.7,58.4,104.5,49,20.6,35.5,36.7,85.7,38.2,25.7,42.4,25.5,66.1,3
15,15,12/29/22,C,Hawaii,BW,UC Davis,H,"W, 74-66",102.1,98.5,70.5,105,56.9,21.3,23.3,43.1,93.6,44.8,21.3,27,31,60.1,0
16,16,1/5/23,C,Hawaii,BW,UC San Diego,A,"W, 62-49",100.7,82.4,59.8,103.6,58.8,23.4,26.9,5.9,81.9,42.2,21.7,25.8,17.6,90.9,7
17,17,1/14/23,C,Hawaii,BW,Long Beach St.,H,"W, 79-70",100.5,96.3,75.7,104.3,44.5,18.5,39,42.2,92.5,41.7,14.5,30.4,22.2,62.1,0
18,18,1/21/23,C,Hawaii,BW,UC Riverside,A,"W, 67-63",99.9,87.2,68.7,97.5,48.1,13.1,14.7,43.4,91.7,36.1,14.5,39.6,25,82.8,5
19,19,12/23/22,N,Hawaii,BW,Washington St.,H,"W, 62-51",99.8,80.2,63.1,98.3,52.1,15.9,23.1,40.4,80.9,33.1,19,29.3,25.4,92.5,2
