#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Houston Christian,Slnd,Incarnate Word,A,"W, 84-78",120.2,131,65,129.2,57.8,13.8,34.5,58.8,120,55.6,13.8,32.3,16.1,27.1,-1
2,2,2/4/23,C,Houston Christian,Slnd,Nicholls St.,H,"L, 92-91",119.7,137.6,72.3,125.9,61.4,23.5,40.6,42.1,127.3,56.2,11.1,38.5,17.8,16.7,-3
3,3,1/21/23,C,Houston Christian,Slnd,Texas A&M Corpus Chr,H,"W, 90-78",118.9,111.1,71.5,125.9,64.4,15.4,23.3,57.7,109.1,43.5,15.4,35.9,46.8,68.5,4
4,4,1/14/23,C,Houston Christian,Slnd,McNeese St.,A,"W, 90-81",118.5,125.2,69.3,129.9,66,18.8,24,54,116.9,56.9,14.4,30.6,15.4,34.8,1
5,5,12/1/22,N,Houston Christian,Slnd,Denver,H,"L, 93-83",111.4,136.9,71.1,116.8,61,19.7,25.8,27.1,130.8,76,19.7,23.8,34.6,8.5,-4
6,6,11/19/22,N,Houston Christian,Slnd,Georgia Southern,H,"L, 84-77",111.1,135,67.8,113.5,61.5,22.1,26.9,32.7,123.9,65.2,11.8,21.7,32.1,9.6,-10
7,7,2/16/23,C,Houston Christian,Slnd,Lamar,A,"L, 91-75",110.6,143.5,66.1,113.5,57.1,16.6,18.2,57.1,137.7,71.2,10.6,25,48.1,4.8,-1
8,8,1/28/23,C,Houston Christian,Slnd,Texas A&M Commerce,A,"L, 77-76",109.8,117.4,66.1,115,51.9,15.1,36.7,55.8,116.5,50,9.1,23.1,36.7,31.5,5
9,9,12/30/22,C,Houston Christian,Slnd,New Orleans,H,"W, 101-96",109.1,123.9,75,119.6,63.3,22.5,33.3,35.9,113.7,64.8,23.7,29.4,35.9,18.9,1
10,10,2/18/23,C,Houston Christian,Slnd,Lamar,H,"W, 93-74",106,109.9,77.4,120.2,60.3,16.8,35.5,42.9,95.6,43.2,12.9,24.4,34.8,39.8,7
11,11,2/23/23,C,Houston Christian,Slnd,McNeese St.,H,"W, 85-80",105.9,118.1,72.8,116.8,53.1,11,28.9,35.4,109.9,53.7,11,23.1,20.9,22.2,2
12,12,11/18/22,N,Houston Christian,Slnd,Western Michigan,H,"L, 90-84",103,124.3,74,113.6,60.2,16.2,21.2,33.9,121.7,64.8,24.3,32,40.7,10.3,1
13,13,12/18/22,N,Houston Christian,Slnd,UT Rio Grande Valley,N,"L, 100-90",101.9,127.8,81.6,110.3,51.6,15.9,27,56.5,122.5,60.8,17.2,31.2,61.7,6.9,-12
