#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/24/22,N,IUPUI,Horz,New Orleans,A,"L, 87-84",112.5,127,71.3,117.8,67,22.4,32,26.8,122,61.2,21,38.7,37.9,19.8,0
2,2,2/23/23,C,IUPUI,Horz,Robert Morris,H,"W, 81-75",111.7,117.2,70.5,114.8,54.6,21.3,38.7,51.9,106.3,42.9,9.9,30.2,46,36.7,0
3,3,2/25/23,C,IUPUI,Horz,Youngstown St.,H,"L, 93-79",108.7,124.8,69.9,112.9,57,17.2,34.8,38.6,133,64.4,8.6,29.2,37.3,16.9,-5
4,4,1/25/23,C,IUPUI,Horz,Fort Wayne,A,"L, 81-75",107.9,120.4,69.3,108.1,50.8,11.5,21.9,40.7,116.8,47.6,14.4,43.9,45.2,22.1,-4
5,5,1/21/23,C,IUPUI,Horz,Detroit,H,"L, 89-77",104.5,122.7,68.5,112.4,60.8,29.2,44,39.2,129.9,67.3,14.6,22.2,32.7,13.6,-3
6,6,2/15/23,C,IUPUI,Horz,Oakland,A,"L, 85-81",103.3,111.9,75.4,107.4,60.5,26.5,29.2,24.6,112.7,50.8,11.9,33.3,52.5,28.4,0
7,7,1/29/23,C,IUPUI,Horz,Cleveland St.,A,"L, 78-72",102.1,117.6,68.4,105.3,56.6,23.4,32.4,39.6,114.1,58.9,11.7,17.6,16.1,16.4,-11
8,8,1/7/23,C,IUPUI,Horz,Youngstown St.,A,"L, 105-74",101,138.1,70.8,104.5,54.5,26.8,39.4,37.5,148.2,73.4,12.7,34.6,18.8,2.7,-19
9,9,2/8/23,C,IUPUI,Horz,Wright St.,A,"L, 103-71",100.9,142.3,71.3,99.6,50,18.2,26.3,46.4,144.5,62.9,9.8,41.4,48.4,1.9,-18
10,10,2/19/23,C,IUPUI,Horz,Detroit,A,"L, 81-68",100.3,115.9,64.5,105.4,55.7,26.3,42.9,26.4,125.5,50,23.2,61.1,40,15.8,-5
