#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/28/23,C,Idaho St.,BSky,Idaho,A,"W, 95-91",120.2,125.7,65.7,128.6,63.3,19,40,28.1,123.2,58.5,14.9,22.2,60.4,37.3,2
2,2,11/29/22,N,Idaho St.,BSky,UMKC,A,"W, 75-65",116.5,111.3,63.2,118.7,53.8,11.1,29,37.7,102.9,40.4,12.7,31.4,43.9,62.8,7
3,3,3/6/23,CT,Idaho St.,BSky,Montana,N,"L, 83-74",113.5,122.3,64.6,114.6,59.6,10.8,12,30.8,128.5,63,15.5,29.2,33.3,29.8,-2
4,4,12/29/22,C,Idaho St.,BSky,Northern Arizona,H,"W, 79-53",112.9,80.9,65.1,121.4,65.4,18.4,24,26.9,81.4,43,12.3,2.9,36,97.9,16
5,5,1/12/23,C,Idaho St.,BSky,Montana St.,A,"L, 81-68",110.6,116.4,67.2,101.2,58,20.8,21.4,38,120.6,56,14.9,23.1,56,35.8,-6
6,6,1/19/23,C,Idaho St.,BSky,Sacramento St.,H,"W, 65-61",108.7,93.3,61.6,105.5,52.9,11.4,16.1,31.4,99,43.1,14.6,33.3,27.6,85.2,15
7,7,2/6/23,C,Idaho St.,BSky,Northern Arizona,A,"W, 75-70",107.9,108.1,64.5,116.3,55.1,7.8,18.2,22,108.5,54.2,17.1,28.1,13.6,49.4,-4
8,8,12/20/22,N,Idaho St.,BSky,Grand Canyon,A,"L, 68-66",104.6,96.9,63.6,103.7,50,17.3,25.8,21.8,106.9,43.8,15.7,46.3,28.1,70.7,3
9,9,2/23/23,C,Idaho St.,BSky,Idaho,H,"W, 65-55",104.3,103.6,56.2,115.6,52.9,17.8,42.3,23.5,97.8,44.3,12.4,25,18.9,52.1,4
10,10,2/16/23,C,Idaho St.,BSky,Portland St.,A,"L, 79-70",103.6,115,67.7,103.4,56.8,22.1,26.7,10.2,116.6,64.2,16.2,18.5,30.2,23.2,-2
11,11,12/10/22,N,Idaho St.,BSky,St. Thomas,H,"L, 76-70",102.2,117.4,64.8,108,55.7,23.1,35.5,26.4,117.2,58,17,15.4,38,16.8,-5
12,12,2/4/23,C,Idaho St.,BSky,Weber St.,H,"L, 72-71",102.1,108.7,56.6,100.3,51,22.6,25,44.2,101.7,52.6,21.2,29,28.1,32.6,-1
13,13,1/26/23,C,Idaho St.,BSky,Eastern Washington,A,"L, 81-68",101.8,110.8,67.1,101.4,47.6,11.9,24.3,21,120.8,56.1,16.4,39.3,36.8,27.5,-5
14,14,1/7/23,C,Idaho St.,BSky,Weber St.,A,"W, 67-57",101.8,93.7,66.1,101.3,47.9,21.2,29,54.2,86.2,38.9,22.7,16.1,55.6,72.2,0
15,15,12/31/22,C,Idaho St.,BSky,Northern Colorado,H,"W, 90-83",101.7,103.2,72.4,110.5,46.8,9.8,16.7,55.6,101.9,45.3,14.7,25.6,50,46,2
16,16,1/21/23,C,Idaho St.,BSky,Portland St.,H,"L, 72-65",101.3,122.7,60.9,106.7,60,16.4,13,62.5,118.2,54.1,19.7,32.1,46.9,10,-5
17,17,11/18/22,N,Idaho St.,BSky,Denver,H,"L, 70-69",100.8,111.5,65.4,105.4,53.1,21.4,27.6,45.8,107,50,18.3,25.8,42.3,23.9,3
18,18,11/27/22,N,Idaho St.,BSky,Central Arkansas,A,"L, 81-77",100.1,118.6,72,106.9,54,15.3,23.5,22.2,112.5,54.9,15.3,34.2,7,12.4,-3
19,19,2/27/23,C,Idaho St.,BSky,Northern Colorado,A,"L, 87-72",100,116.1,71,101.4,48.4,9.9,23.7,25,122.5,59.5,9.9,13.3,41.4,15.2,-4
20,20,2/25/23,C,Idaho St.,BSky,Eastern Washington,H,"W, 71-63",99.8,91,67.3,105.5,50.9,16.3,26.5,36.4,93.6,51,28.2,25,30,74.3,3
21,21,2/9/23,C,Idaho St.,BSky,Montana,H,"L, 69-61",97.9,112.7,59.9,101.8,47.4,18.4,40.6,12.1,115.1,54,11.7,16.1,36,16.6,-5
22,22,11/14/22,N,Idaho St.,BSky,Utah,A,"L, 70-58",96.4,99,67.4,86.1,41.3,13.4,19,14.3,103.9,50,19.3,32.3,41.5,42.4,-6
23,23,2/18/23,C,Idaho St.,BSky,Sacramento St.,A,"L, 70-65",95.8,106.2,66.4,97.9,47.5,15.1,25,16.7,105.4,50,24.1,37.5,35.2,23.3,-2
24,24,11/23/22,N,Idaho St.,BSky,Lindenwood,A,"L, 77-76",90.8,110.1,68.5,98.6,44.4,10.4,25,31.9,99.9,55.9,26,31,22,9.8,-4
25,25,11/26/22,N,Idaho St.,BSky,Bethune Cookman,N,"L, 68-66",89.6,105.3,60.9,96.3,54.5,24.8,29,10.7,99.2,48.4,13.1,17.6,17.7,13.5,3
26,26,1/14/23,C,Idaho St.,BSky,Montana,A,"L, 84-55",88.3,120.7,64.4,85.5,39,10.9,19,22,130.5,67.6,20.2,33.3,35.3,2.7,-12
27,27,2/11/23,C,Idaho St.,BSky,Montana St.,H,"L, 58-52",88.1,90.4,63.2,82.3,44.6,28.5,26.7,37,91.8,37.3,15.8,31.6,54.9,42.4,-1
28,28,12/17/22,N,Idaho St.,BSky,Washington,A,"L, 90-55",86.3,115.7,73.4,75,38.5,15,16.7,24.6,122.7,62.1,16.4,25.9,25.8,3.3,-12
29,29,12/3/22,N,Idaho St.,BSky,Southern Utah,H,"L, 69-59",81.7,97.4,69.7,84.7,44.5,27.3,30.8,29.1,99,43.8,24.4,32.3,64.6,11.7,-9
30,30,11/7/22,N,Idaho St.,BSky,BYU,A,"L, 60-56",79.7,73.2,76.8,72.9,46,28.6,9.4,28,78.1,39.8,29.9,32.5,32.2,72.5,-1
