#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/19/23,C,Idaho,BSky,Northern Arizona,A,"W, 88-83",125.1,115.5,68.3,128.9,63.2,10.3,20,50.9,121.5,54.3,8.8,28.9,14.5,71.6,6
2,2,2/4/23,C,Idaho,BSky,Sacramento St.,A,"W, 82-76",122.5,123.6,56.6,128.7,69.2,14.1,15,23.1,119.3,57.5,14.1,36.7,20,47.7,0
3,3,11/25/22,N,Idaho,BSky,Pacific,A,"W, 84-81",121.2,111.9,68.9,121.8,60.3,14.5,31,32.8,117.5,53.5,13.1,25.8,43.9,71.4,3
4,4,11/23/22,N,Idaho,BSky,Cal Poly,A,"L, 82-71",120.4,147.6,60.8,116.7,61,16.4,24,26,134.8,63.7,11.5,26.1,39.2,8.8,-5
5,5,1/28/23,C,Idaho,BSky,Idaho St.,H,"L, 95-91",117.9,133.4,65.7,123.2,58.5,14.9,22.2,60.4,128.6,63.3,19,40,28.1,19.5,-2
6,6,12/19/22,N,Idaho,BSky,Cal St. Northridge,A,"W, 76-73",114.8,127.9,63.3,120.1,53,12.6,21.4,50,115.4,56.4,20.5,41.4,25.5,22.4,-3
7,7,2/16/23,C,Idaho,BSky,Northern Colorado,H,"W, 84-82",112.1,121.8,68.5,122.6,53.3,13.1,36.4,34.4,119.7,58.5,20.4,38.7,28.8,27.7,-4
8,8,12/11/22,N,Idaho,BSky,UC Riverside,H,"L, 76-74",108.5,119.1,65.2,113.6,60.5,16.9,12,72.1,116.6,55.9,10.7,26.5,27.1,25.6,-5
9,9,1/16/23,C,Idaho,BSky,Montana St.,H,"W, 74-70",108.4,93.6,73.2,101,51.8,17.7,18.9,45.6,95.6,39.6,16.4,27,64.2,84.3,6
10,10,12/2/22,N,Idaho,BSky,Northern Illinois,H,"W, 84-47",106,80.3,70.7,118.9,65.2,22.6,19.2,21.4,66.5,36.1,22.6,20,25.9,96.1,7
11,11,1/5/23,C,Idaho,BSky,Sacramento St.,H,"L, 85-83",105.7,117.9,66.4,111.1,53.4,8,16.2,9.6,113.8,52.9,10.7,33.3,27.5,22.1,0
12,12,1/14/23,C,Idaho,BSky,Eastern Washington,A,"L, 95-74",104.4,122.8,71.1,104,46,19.7,24.2,62,133.5,66.9,14.1,24,30.5,13.4,-10
13,13,11/19/22,N,Idaho,BSky,Utah Tech,H,"L, 81-71",103.2,121.3,66.4,106.8,57.7,18.1,19.2,28.8,121.9,59,21.1,37.9,58,13.6,-8
14,14,12/21/22,N,Idaho,BSky,Long Beach St.,A,"L, 82-75",102.3,110.1,73.8,101.6,52.6,19,21.2,38.6,111,57.4,23,38.7,55.6,30.1,-7
15,15,12/6/22,N,Idaho,BSky,North Dakota,H,"W, 76-66",100,103.1,68,111.7,54.7,11.8,15.2,45.3,97,51.7,20.6,27,24.1,41.3,1
16,16,3/4/23,CT,Idaho,BSky,Northern Arizona,N,"L, 87-76",99.4,113.4,73.7,103.2,55.9,20.4,14.8,49,118.1,62.7,17.6,18.5,40,18,-3
17,17,2/23/23,C,Idaho,BSky,Idaho St.,A,"L, 65-55",97.1,115.9,56.2,97.8,44.3,12.4,25,18.9,115.6,52.9,17.8,42.3,23.5,11.7,-4
18,18,1/21/23,C,Idaho,BSky,Northern Colorado,A,"L, 73-67",96.3,105,67.1,99.9,54.7,17.9,12.9,28.3,108.8,51.7,11.9,29.4,28.3,26.9,-2
19,19,2/11/23,C,Idaho,BSky,Eastern Washington,H,"L, 73-66",96.1,99.6,68.1,96.9,41.1,10.3,19.4,39.3,107.2,45.8,11.7,27.9,52.5,39.7,1
20,20,12/29/22,C,Idaho,BSky,Montana St.,A,"L, 72-58",95.5,109.7,64.7,89.6,44.5,17,17.6,20,111.3,57.3,12.4,16.7,23.6,16.8,-10
21,21,11/13/22,N,Idaho,BSky,Nebraska Omaha,A,"L, 79-72",94.3,125.4,68.4,105.2,55.3,24.8,23.1,44.7,115.4,52.7,17.5,31.2,41.1,3.6,-12
22,22,1/26/23,C,Idaho,BSky,Weber St.,H,"L, 73-65",90.8,118.2,69,94.2,52,18.8,3.2,38.8,105.8,64.1,23.2,13.6,41.3,4.6,-13
23,23,1/7/23,C,Idaho,BSky,Portland St.,H,"L, 74-58",90.4,113.2,64.6,89.8,45.3,20.1,22.2,28.3,114.6,61,17,17.9,34,7,-3
24,24,2/2/23,C,Idaho,BSky,Portland St.,A,"L, 69-66",89.4,96,72.3,91.2,51,23.5,13.8,34.6,95.4,47.5,19.4,28.9,24.6,30.7,-2
25,25,12/31/22,C,Idaho,BSky,Montana,A,"L, 67-56",86.6,104,62.5,89.6,41.3,17.6,20,56.5,107.2,49.1,9.6,20.6,20.7,10.8,-9
26,26,2/25/23,C,Idaho,BSky,Weber St.,A,"L, 67-53",86.5,106.2,64.9,81.7,43.6,20,11.1,40.4,103.3,50.9,12.3,17.6,17.2,8.6,-7
27,27,2/27/23,C,Idaho,BSky,Montana,H,"L, 68-53",86,102.9,62.2,85.2,40.8,19.3,21.9,32.7,109.3,53.4,16.1,28.1,13.8,11.2,-3
28,28,11/7/22,N,Idaho,BSky,Denver,A,"L, 68-63",85.4,98,71.4,88.2,45.9,19.6,21.6,18,95.2,53.1,19.6,24.1,68.8,17,-3
