#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/29/23,C,Illinois Chicago,MVC,Bradley,H,"L, 83-76",120.5,125.7,66.1,115,56.7,18.2,28.6,51.9,125.6,59.4,15.1,34.4,52.8,38.1,-6
2,2,11/22/22,N,Illinois Chicago,MVC,Holy Cross,N,"W, 89-66",112,100.6,74.3,119.7,54.9,8.1,16.2,50.8,88.8,41,21.5,34.9,37.7,77.4,11
3,3,12/18/22,N,Illinois Chicago,MVC,Northeastern,H,"W, 81-73",111.5,113.1,69.5,116.5,55.8,15.8,34.2,38.3,105,55.2,23,35.3,29.3,46,6
4,4,1/21/23,C,Illinois Chicago,MVC,Northern Iowa,H,"L, 78-72",111.4,118.9,65.1,110.6,59.8,15.4,17.2,14.3,119.9,50.9,13.8,36.4,46.4,32.1,4
5,5,11/19/22,N,Illinois Chicago,MVC,Fordham,A,"L, 79-65",110.6,114,66.1,98.3,50.9,19.7,26.7,20,119.5,62,18.1,26.7,35.2,41.5,3
6,6,2/22/23,C,Illinois Chicago,MVC,Evansville,A,"W, 82-76",110.2,116.4,73.1,112.2,60.9,16.4,19.4,41.8,104,50.8,16.4,23.7,16.7,34.8,5
7,7,1/10/23,C,Illinois Chicago,MVC,Drake,H,"L, 76-71",108.2,99.2,63.7,99,55.4,16.7,12.9,25,106,54.7,22.3,30.3,54.7,73.1,1
8,8,12/13/22,N,Illinois Chicago,MVC,Prairie View A&M,H,"W, 70-61",107.7,105.5,65.6,106.7,56.5,21.3,25,22.2,93,39.8,22.9,44.7,30.5,55.8,5
9,9,2/19/23,C,Illinois Chicago,MVC,Valparaiso,H,"W, 74-73",107.2,117.6,66.9,110.6,51.7,12,25,30.5,109.1,52.4,16.4,33.3,17.7,25.6,1
10,10,11/26/22,N,Illinois Chicago,MVC,Green Bay,A,"W, 78-64",105.8,105.8,68.2,114.3,57.8,16.1,25,56.9,93.8,41.3,20.5,28.1,71.7,49.9,9
11,11,11/21/22,N,Illinois Chicago,MVC,Stonehill,N,"W, 77-71",102.4,109.3,72.4,106.3,60.7,17.9,17.1,33.9,98,50,22.1,17.2,55.1,32.2,3
12,12,3/2/23,CT,Illinois Chicago,MVC,Missouri St.,N,"L, 74-57",102.1,124.4,58.4,97.5,44,12,30.6,20.7,126.6,56.8,10.3,42.4,22,9.4,-7
13,13,2/8/23,C,Illinois Chicago,MVC,Southern Illinois,A,"L, 68-66",99.9,104.9,68.7,96,40.6,11.6,28.3,29.7,98.9,61,30.6,15,53.7,36.3,-6
14,14,2/11/23,C,Illinois Chicago,MVC,Belmont,A,"L, 98-71",99.3,122.6,73.1,97.2,47.6,21.9,35.9,30.6,134.1,67.5,16.4,31,23.8,8.2,-12
