#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/29/23,C,Illinois St.,MVC,Southern Illinois,H,"W, 72-66",127.4,117.9,59.2,121.7,58.5,22,34.6,38.3,111.6,57.3,16.9,35.5,18.2,70.8,3
2,2,12/4/22,C,Illinois St.,MVC,Belmont,H,"W, 87-77",115.6,106,71.3,122,66.4,26.6,40,30.9,108,52.5,12.6,18.2,30.5,72.9,2
3,3,2/4/23,C,Illinois St.,MVC,Belmont,A,"L, 90-75",114.6,132.6,64.1,117,59.8,17.2,26.7,19.6,140.4,57.8,12.5,51.5,29.7,15.7,-12
4,4,2/11/23,C,Illinois St.,MVC,Valparaiso,A,"L, 81-76",114.5,132.4,65.1,116.8,54,13.8,32.4,19.4,124.5,60.8,20,44,47.1,15.8,-5
5,5,12/7/22,N,Illinois St.,MVC,Eastern Michigan,H,"W, 87-81",112,122.3,70,124.3,62.5,17.1,29.2,70.8,115.7,56.2,12.9,19.4,44.6,26.8,2
6,6,11/12/22,N,Illinois St.,MVC,Northwestern St.,A,"W, 69-67",111.5,110.9,59.9,115.2,60.8,28.4,42.9,83.8,111.9,49.2,21.7,51.3,28.8,51.7,0
7,7,2/15/23,C,Illinois St.,MVC,Murray St.,H,"L, 76-75",110,117.2,64.7,116,61.5,20.1,26.1,25,117.5,60.9,13.9,21.4,23.6,32.5,1
8,8,1/25/23,C,Illinois St.,MVC,Bradley,A,"L, 79-75",108.9,98.1,67.8,98.3,46.6,31.5,48.5,44.8,103.6,53.5,13.1,22.2,56.1,76.8,2
9,9,12/10/22,N,Illinois St.,MVC,SIU Edwardsville,H,"W, 77-71",108.7,116.2,67,114.9,47.4,13.4,34.3,47.4,105.9,47.7,11.9,28.6,17.2,31.6,-1
10,10,1/11/23,C,Illinois St.,MVC,Missouri St.,H,"W, 76-66",107.1,101.7,61.1,110.5,47,18.9,32.3,64,96,40.3,21.8,43.5,41.9,64.5,-1
11,11,1/14/23,C,Illinois St.,MVC,Southern Illinois,A,"L, 69-57",104.9,113.5,60.6,94.1,56.2,24.8,18.2,45,113.9,54.6,8.3,13.3,25.9,28.9,-3
12,12,11/22/22,N,Illinois St.,MVC,Western Kentucky,N,"L, 78-66",103.2,120.7,64.5,102.3,47.3,17,24.2,27.3,120.9,60.8,17,29,45.1,14.2,-5
13,13,2/26/23,C,Illinois St.,MVC,Evansville,H,"W, 72-53",102.5,103.8,63.3,113.8,61.8,23.7,37.5,19.6,83.8,42,17.4,18.2,14.3,46.5,4
14,14,12/17/22,N,Illinois St.,MVC,Ball St.,N,"L, 83-69",99.2,114,69.3,99.5,46.3,17.3,43.2,19.4,119.7,62.7,17.3,25.9,36.4,16.8,-5
15,15,1/4/23,C,Illinois St.,MVC,Indiana St.,H,"L, 76-67",98.6,116.6,65.5,102.3,50,16.8,25,18.6,116.1,66,24.4,33.3,24,12.7,-13
16,16,2/8/23,C,Illinois St.,MVC,Bradley,H,"L, 79-61",96.9,123.1,64.9,94,48,18.5,17.6,34,121.8,57.4,17,39.4,23,6,-15
17,17,12/19/22,N,Illinois St.,MVC,Chicago St.,H,"W, 66-52",96.3,89.7,61.5,107.3,55.5,26,44.4,10.9,84.6,41.5,22.8,35.1,28.3,69.3,6
18,18,1/7/23,C,Illinois St.,MVC,Evansville,A,"W, 69-61",94.8,100,69.9,98.7,53,27.2,29.6,34,87.2,44.8,20,14.7,60.4,35,3
19,19,2/18/23,C,Illinois St.,MVC,Indiana St.,A,"L, 80-64",94.8,105.2,70.8,90.4,44.5,18.4,20,34.5,113,49,15.5,21.9,68.6,23,-9
20,20,1/18/23,C,Illinois St.,MVC,Northern Iowa,A,"L, 65-63",94.7,99.2,65.9,95.6,53.1,19.7,7.7,31.2,98.7,57.1,22.8,16.1,28.6,37.1,-2
21,21,11/17/22,N,Illinois St.,MVC,Northwestern St.,H,"L, 70-67",94.6,110.2,65.6,102.1,53.8,25.9,33.3,22.6,106.7,51.9,15.2,20,34,14.8,-5
