#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/14/22,N,Illinois,B10,Monmouth,H,"W, 103-65",123.6,94.7,78.7,130.9,71,22.9,40.7,32.3,82.6,49,30.5,17.2,46.9,95.6,24
2,2,1/7/23,C,Illinois,B10,Wisconsin,H,"W, 79-69",123.2,102.7,68.5,115.3,56.6,14.6,22.6,49.1,100.7,50,13.1,25,18.8,89,4
3,3,2/4/23,C,Illinois,B10,Iowa,A,"L, 81-79",121.3,103.1,66.6,118.6,55.5,21,41.9,41.8,121.6,51.9,10.5,25,56.6,86.7,1
4,4,1/13/23,C,Illinois,B10,Michigan St.,H,"W, 75-66",118.3,98.7,65.4,114.7,50,7.6,22.9,30,101,43.1,13.8,40.5,20,88.9,-1
5,5,2/20/23,C,Illinois,B10,Minnesota,H,"W, 78-69",117.9,105.7,66.2,117.8,57.1,12.1,27.8,46.4,104.2,52.6,13.6,20.6,26.3,77.9,9
6,6,11/18/22,N,Illinois,B10,UCLA,N,"W, 79-70",117.8,86.7,76.8,102.8,64.7,27.3,17.9,37.3,91.1,43.8,19.5,32.7,19.4,97.1,0
7,7,2/14/23,C,Illinois,B10,Penn St.,A,"L, 93-81",117.7,116.6,70.8,114.5,53.3,11.3,20.6,32.8,131.4,68.4,9.9,10.7,33.3,52.8,-9
8,8,12/6/22,N,Illinois,B10,Texas,N,"W, 85-78",116.5,90.2,71.4,105.8,53.3,21.2,27,51.7,97,47.1,17.4,28.9,27.5,95,-2
9,9,3/5/23,C,Illinois,B10,Purdue,A,"L, 76-71",116.3,104.4,65.3,108.6,55,23,38.5,48,116.3,52.8,16.8,39.4,52.8,77.4,-10
10,10,1/10/23,C,Illinois,B10,Nebraska,A,"W, 76-50",114.9,77.2,67.4,112.8,52.5,16.3,35.1,29.5,74.2,40.7,25.2,24.3,20.4,99,8
11,11,3/9/23,CT,Illinois,B10,Penn St.,N,"L, 79-76",114.3,104.6,67.7,112.2,50,10.3,31.4,29.7,116.6,58.9,14.8,32.3,39.3,73.4,-3
12,12,1/16/23,C,Illinois,B10,Minnesota,A,"W, 78-60",113.4,93.6,67.3,116,53.9,16.4,40,21.9,89.2,38.8,7.4,18.2,43.1,90.1,6
13,13,3/2/23,C,Illinois,B10,Michigan,H,"W, 91-87",113.3,99.3,67,108.6,45.1,8.4,24.5,47.2,103.8,50,14.3,21.4,34.3,82.1,0
14,14,12/2/22,C,Illinois,B10,Maryland,A,"L, 71-66",112.9,102.5,63.7,103.7,48.4,18.8,38.2,13.1,111.5,52.8,17.3,33.3,33.3,75.2,-4
15,15,2/11/23,C,Illinois,B10,Rutgers,H,"W, 69-60",109.6,91.8,68.9,100.1,52.7,24.7,35.5,26.8,87.1,37.7,13.1,34.1,17.4,88.4,-1
16,16,1/24/23,C,Illinois,B10,Ohio St.,H,"W, 69-60",108.6,82.8,65.5,105.3,44.9,18.3,41.2,30.5,91.6,40,9.2,25,33.3,95.8,7
17,17,11/25/22,N,Illinois,B10,Lindenwood,H,"W, 92-59",108.5,86,77,119.4,66.9,28.6,42.3,17.7,76.6,45.7,28.6,20.6,10.3,93.6,18
18,18,2/18/23,C,Illinois,B10,Indiana,A,"L, 71-68",108,90.6,69.9,97.3,44.3,15.7,31.6,29.5,101.6,47.7,20,37.5,19.7,88.3,2
19,19,11/20/22,N,Illinois,B10,Virginia,N,"L, 70-61",105.6,98.1,65.7,92.8,48.3,19.8,28.2,15.3,106.5,46.9,18.3,28.1,66.7,70,-1
20,20,2/23/23,C,Illinois,B10,Northwestern,H,"W, 66-62",105.1,95.3,66.3,99.5,51,24.1,34.5,42,93.5,42.1,15.1,28.6,19,75.3,-8
21,21,1/28/23,C,Illinois,B10,Wisconsin,A,"W, 61-51",104.8,80.6,63.4,96.2,49,17.3,21.9,35.3,80.4,41.2,14.2,16.7,12.3,95.4,3
22,22,11/11/22,N,Illinois,B10,UMKC,H,"W, 86-48",102.2,80.1,74.8,114.9,53.1,14.7,35.9,40.6,64.1,33.6,32.1,34.1,10.9,94.3,11
23,23,12/22/22,N,Illinois,B10,Missouri,N,"L, 93-71",101.6,120.8,68.8,103.2,46,24.7,50,30.6,135.2,67.8,14.5,33.3,30.5,12,-16
24,24,11/7/22,N,Illinois,B10,Eastern Illinois,H,"W, 87-57",101.5,90,76.1,114.3,53.9,19.7,50,51.6,74.9,37.5,23.7,23.3,33.3,80,11
25,25,1/4/23,C,Illinois,B10,Northwestern,A,"L, 73-60",100.5,96.6,69.9,85.9,46.6,21.5,25.7,17.2,104.5,38.7,11.4,23.7,75.5,61.2,-3
26,26,12/29/22,N,Illinois,B10,Bethune Cookman,H,"W, 85-52",99.8,73.2,77.2,110.2,55.9,19.4,27.3,45.8,67.4,31.9,27.2,28.6,34.5,97.2,21
27,27,1/31/23,C,Illinois,B10,Nebraska,H,"W, 72-56",98.5,81.5,72.6,99.2,45.8,17.9,25.7,36.7,77.1,48,26.2,10,20,89.8,3
28,28,1/19/23,C,Illinois,B10,Indiana,H,"L, 80-65",98.4,110.8,68.6,94.8,45.2,13.1,31.8,37.1,116.7,64.5,24.8,40.9,23.6,20.3,-12
29,29,11/29/22,N,Illinois,B10,Syracuse,H,"W, 73-44",97.4,71.6,67.3,108.5,44,10.4,36.2,32.8,65.4,32.4,25.3,29.3,31.5,97.2,5
30,30,12/10/22,C,Illinois,B10,Penn St.,H,"L, 74-59",96.1,102.8,63.7,92.6,51,18.8,23.3,23.1,116.1,61.1,14.1,10.7,18.5,31.5,-6
31,31,12/17/22,N,Illinois,B10,Alabama A&M,H,"W, 68-47",91.7,76.3,69.8,97.4,48.2,25.8,42.1,40.4,67.3,33,25.8,26.8,25,89.1,10
32,32,2/26/23,C,Illinois,B10,Ohio St.,A,"L, 72-60",91.5,93.6,68.7,87.3,41,16,22,23,104.8,56.2,21.8,29.6,17.9,43.4,-7
