#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/4/23,C,Incarnate Word,Slnd,New Orleans,A,"W, 78-70",108.5,111,67.1,116.2,57.8,22.3,33.3,64.4,104.3,48.3,23.8,41.7,34.5,43.3,3
2,2,1/19/23,C,Incarnate Word,Slnd,Houston Christian,A,"W, 89-78",107.7,111.8,72,123.5,61.8,13.9,25,50.9,108.3,42.4,15.3,45.2,43.9,39.4,5
3,3,2/25/23,C,Incarnate Word,Slnd,Texas A&M Commerce,H,"W, 79-75",107.2,109.5,69.6,113.5,62,21.6,23.1,44,107.8,63.5,27.3,26.9,23.1,44,9
4,4,2/11/23,C,Incarnate Word,Slnd,Houston Christian,H,"L, 84-78",105.4,132.4,65,120,55.6,13.8,32.3,16.1,129.2,57.8,13.8,34.5,58.8,6.8,1
5,5,2/18/23,C,Incarnate Word,Slnd,Nicholls St.,A,"L, 84-74",104.8,123.8,70.2,105.4,56.6,25.6,24.1,26.4,119.6,62.9,19.9,34.5,12.9,12.8,-5
6,6,11/27/22,N,Incarnate Word,Slnd,Grambling St.,N,"W, 63-61",99,95.3,66.9,94.2,47.1,20.9,18.8,37.3,91.2,54,25.4,21.4,20,60.6,2
7,7,1/14/23,C,Incarnate Word,Slnd,Southeastern Louisia,H,"L, 75-71",98.9,117.2,66.3,107.1,55.2,18.1,25,17.2,113.1,48.1,16.6,32.4,46.3,12.4,-4
8,8,2/23/23,C,Incarnate Word,Slnd,Northwestern St.,H,"L, 71-66",97.6,107.6,65.4,100.8,47.1,12.2,16.7,49,108.5,54.5,19.9,37.9,34.5,24.6,0
9,9,11/19/22,N,Incarnate Word,Slnd,Valparaiso,A,"L, 68-64",97.1,108.6,65.6,97.5,50.8,18.3,25.7,11.9,103.6,46.2,15.2,21.9,44.2,21.5,-2
10,10,1/28/23,C,Incarnate Word,Slnd,Nicholls St.,H,"W, 69-67",97,109.3,66.9,103.1,47.1,14.9,17.1,52.9,100.1,55.7,20.9,29,32.1,20.2,-4
11,11,1/21/23,C,Incarnate Word,Slnd,Lamar,A,"W, 70-64",96.9,100.5,68,102.9,45.2,13.2,31,31.7,94.1,49,30.9,42.4,34.6,39.6,6
12,12,12/21/22,N,Incarnate Word,Slnd,FIU,A,"L, 79-74",96.4,113.8,73,101.3,56.6,27.4,30,35.8,108.2,62,23.3,21.9,35.2,12.9,-11
13,13,2/2/23,C,Incarnate Word,Slnd,Southeastern Louisia,A,"L, 77-67",96.2,105.6,69.9,95.8,51.8,18.6,11.8,27.3,110.1,52.3,14.3,33.3,18.8,25.5,2
14,14,2/16/23,C,Incarnate Word,Slnd,McNeese St.,A,"L, 78-76",95.4,106.9,66.9,101,49.1,19.9,25,47.4,103.6,52,21.3,29.2,62,21.2,1
15,15,11/28/22,N,Incarnate Word,Slnd,UTSA,A,"L, 68-62",95.3,109.3,62.8,98.8,41.4,12.7,33.3,15.6,108.4,52.6,17.5,33.3,17.5,17.1,-3
16,16,1/26/23,C,Incarnate Word,Slnd,McNeese St.,H,"W, 70-65",95.2,105.2,66.6,105.1,53.1,21,22.2,46.9,97.6,45.3,16.5,35.7,17.2,24.2,2
17,17,12/16/22,N,Incarnate Word,Slnd,Bethune Cookman,H,"W, 77-65",94.4,103.3,71.3,107.9,60.2,22.4,21.7,46.9,91.1,48.4,29.4,43.2,16.1,26,2
18,18,12/31/22,C,Incarnate Word,Slnd,Texas A&M Commerce,A,"L, 82-74",93.9,113.4,65.9,99.8,44.4,12.1,22.5,38.7,110.6,55.4,20.2,28.1,48.2,10.2,-4
19,19,1/7/23,C,Incarnate Word,Slnd,Texas A&M Corpus Chr,H,"L, 80-71",93.2,113.8,71.6,99.2,57,23.8,18.5,38,111.8,57.5,21,30.3,25,9.1,-9
20,20,11/25/22,N,Incarnate Word,Slnd,Dartmouth,N,"W, 69-64",92.8,90.5,73.2,94.2,40.7,16.4,25,39,87.4,44.3,28.7,40.5,29.5,57.2,5
21,21,2/9/23,C,Incarnate Word,Slnd,Lamar,H,"L, 68-59",89.7,122.4,60.8,97.1,39.5,16.5,35.7,38.6,111.9,51.8,14.8,38.9,26.3,2.7,-2
22,22,11/12/22,N,Incarnate Word,Slnd,UNLV,A,"L, 88-63",89.4,113.7,74.6,84.5,50,33.5,35.1,4.8,118,61.6,21.4,37.5,51.8,5.9,-16
23,23,1/4/23,C,Incarnate Word,Slnd,Texas A&M Corpus Chr,A,"L, 91-61",89.2,117.2,72.1,84.6,41.5,22.2,21.2,37.7,126.2,66.7,15.3,15.4,20,4.1,-9
