#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/2/23,C,Iona,MAAC,Marist,H,"W, 93-74",125.4,112,71.9,129.4,54.1,9.7,40.5,20.5,102.9,55.9,20.9,25.7,23.7,78.5,11
2,2,2/19/23,C,Iona,MAAC,Saint Peter's,A,"W, 73-53",124,96.7,58.1,125.6,66.7,13.8,20,64.3,91.2,31.9,12,40,41.4,94.6,13
3,3,11/11/22,N,Iona,MAAC,Hofstra,A,"L, 83-78",123.4,116.9,67.1,116.2,52.2,11.9,37.8,16.4,123.6,61.8,13.4,16.7,34.5,65.2,-3
4,4,3/4/23,C,Iona,MAAC,Rider,A,"W, 80-78",123.1,120.5,63.4,126.1,53.1,12.6,45.7,21.5,123,58.2,11,37,18,56.3,2
5,5,1/6/23,C,Iona,MAAC,Marist,A,"W, 84-57",122.9,93.1,66.7,125.9,60.8,9,25.8,12.3,85.5,41.8,15,15.8,29.1,96.1,13
6,6,1/1/23,C,Iona,MAAC,Saint Peter's,H,"W, 73-55",117.8,100.2,59.7,122.4,51,10.1,37.1,55.8,92.2,39.8,11.7,23.7,33.3,86.6,12
7,7,2/26/23,C,Iona,MAAC,Siena,H,"W, 93-60",117.4,81.9,77.9,119.3,54,14.1,32.5,54,77,42.1,25.7,24.4,19,98.4,19
8,8,2/10/23,C,Iona,MAAC,Canisius,A,"W, 80-59",116.6,92.6,66.2,120.9,71.6,24.2,30,21.6,89.2,43.4,21.2,23.5,28.3,93.4,10
9,9,3/10/23,CT,Iona,MAAC,Niagara,N,"W, 71-59",114.4,112.4,57.3,123.8,57.8,20.9,52.6,46.7,102.9,49,20.9,42.9,23.1,55.1,0
10,10,2/3/23,C,Iona,MAAC,Mount St. Mary's,H,"W, 81-51",114,79.7,69.7,116.3,59.8,18.7,32.1,35.7,73.2,40.5,28.7,28.9,10.3,98.4,18
11,11,2/24/23,C,Iona,MAAC,Mount St. Mary's,A,"W, 80-68",112.8,110.3,68.4,116.9,50.8,19,45.5,35,99.3,49,19,13.8,46.9,56.4,-1
12,12,12/23/22,N,Iona,MAAC,Seattle,N,"W, 83-72",112.6,93.8,78.6,105.6,51.7,19.1,25,45.8,91.6,34.5,15.3,28.3,77.6,89.1,10
13,13,12/4/22,C,Iona,MAAC,Canisius,H,"W, 90-60",112.3,90,73.6,122.3,62.7,14.9,24.1,35.6,81.5,38.4,27.2,42.6,15.9,92.7,11
14,14,12/22/22,N,Iona,MAAC,SMU,N,"L, 85-81",112.2,111.9,75.1,107.8,59.5,24,27.6,24.1,113.1,65.5,28,38.1,29.1,50.7,3
15,15,11/18/22,N,Iona,MAAC,Vermont,N,"W, 71-50",111.6,76,63.7,111.4,54.2,14.1,25,15.3,78.5,44,26.7,30.3,26,98.8,10
16,16,12/6/22,N,Iona,MAAC,Saint Louis,H,"W, 84-62",111.6,84.4,72.8,115.3,50,13.7,39,16.4,85.1,34.6,23.3,44.9,30.9,96.2,8
17,17,3/8/23,CT,Iona,MAAC,Mount St. Mary's,N,"W, 74-54",111.4,93.7,64.2,115.3,51.6,15.6,43.6,23.4,84.1,42.7,20.2,24.2,16.4,88,7
18,18,12/13/22,N,Iona,MAAC,Princeton,N,"W, 70-64",109.8,101.7,62.8,111.4,46.6,9.6,29.7,33.9,101.9,58.3,20.7,23.1,31.2,70.9,-2
19,19,12/2/22,C,Iona,MAAC,Niagara,H,"W, 78-56",109.2,85,68.6,113.7,50.7,13.1,32.4,14.7,81.7,37.7,20.4,29.7,45.3,94.7,15
20,20,11/26/22,N,Iona,MAAC,Santa Clara,N,"L, 86-76",107.1,103.3,76.3,99.7,55.6,17,12.5,16.1,112.8,60,26.2,30.4,58,60.3,-1
21,21,2/12/23,C,Iona,MAAC,Niagara,A,"W, 72-55",106.2,84.6,66.5,108.3,54.3,12,17.9,22.4,82.8,45.5,24.1,37.9,17.9,93.2,11
22,22,1/13/23,C,Iona,MAAC,Fairfield,H,"W, 75-69",105.9,109.6,68.4,109.7,54.5,17.6,28.1,38.2,100.9,49.2,19,33.3,16.1,40.4,3
23,23,1/20/23,C,Iona,MAAC,Manhattan,A,"W, 84-76",105.4,102.9,69.5,107.4,44.3,14.1,42.9,24.1,97.2,42,19.2,40,37.7,56.9,6
24,24,2/5/23,C,Iona,MAAC,Fairfield,A,"W, 70-61",105.1,92.5,67.7,103.3,43.9,10.3,23.5,40.4,90.1,43.1,22.1,35.1,31,81.3,9
25,25,11/7/22,N,Iona,MAAC,Penn,H,"W, 78-50",104.3,73.3,70.2,111.2,46.1,7.1,34,14.5,71.3,35.5,25.7,28.2,30.9,98.3,10
26,26,3/11/23,CT,Iona,MAAC,Marist,N,"W, 76-55",103.9,89.4,69.3,109.7,48.3,15.9,33.3,37.3,79.4,38,26,27.8,31.5,84.9,7
27,27,12/25/22,N,Iona,MAAC,Pepperdine,N,"W, 76-66",103.4,88.6,73.3,103.6,54.8,19.1,26.5,19,90,42.7,16.4,27.5,33.9,85.5,8
28,28,2/17/23,C,Iona,MAAC,Manhattan,H,"W, 71-60",102.3,94.6,67.5,105.2,54.2,19.3,30.6,22,88.9,46.6,20.8,23.7,17.2,71.1,11
29,29,1/15/23,C,Iona,MAAC,Rider,H,"L, 70-67",100.3,104.4,65.5,102.3,44,16.8,44.7,48.3,106.9,51.7,21.4,39.4,24.1,38.8,6
30,30,12/18/22,N,Iona,MAAC,New Mexico,A,"L, 82-74",98.7,97.6,76.2,97.1,43,15.8,31.1,22.5,107.6,61,21,15.4,58,53.2,-8
31,31,12/11/22,N,Iona,MAAC,St. Bonaventure,N,"W, 72-57",97.7,83.6,73.4,98.1,55.6,25.9,25.8,37,77.6,42.7,28.6,35,11.3,85.8,4
32,32,1/29/23,C,Iona,MAAC,Quinnipiac,H,"W, 78-72",97.2,101.5,75.6,103.2,44.4,13.2,35.4,29.2,95.3,42.5,22.5,38.1,53.3,37.9,-7
33,33,1/8/23,C,Iona,MAAC,Quinnipiac,A,"L, 81-58",84.9,117.3,68.7,84.4,34.4,10.2,30.4,29.7,117.9,49.2,13.1,33.3,39.3,2.4,-14
34,34,1/27/23,C,Iona,MAAC,Siena,A,"L, 70-53",84.3,103.8,66.8,79.3,41.5,15,12.8,30.2,104.8,51.8,18,24.2,34.5,8.3,-5
