#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/13/23,C,Jackson St.,SWAC,Bethune Cookman,A,"W, 91-64",119.2,105.2,68.2,133.5,74,16.1,20,46,93.9,40.8,16.1,31.1,40,80.8,10
2,2,3/10/23,CT,Jackson St.,SWAC,Grambling St.,N,"L, 78-69",113.9,119.7,65.9,104.7,44.3,18.2,40,36.1,118.3,58.8,15.2,30.8,47.1,36.1,2
3,3,11/20/22,N,Jackson St.,SWAC,Little Rock,A,"L, 94-91",113.7,126,74.7,121.8,60.4,21.4,41.5,31.3,125.8,65.8,25.4,50,33.3,23.5,3
4,4,1/28/23,C,Jackson St.,SWAC,Grambling St.,A,"L, 78-66",113.5,128.9,62.2,106.1,50.9,16.1,35.3,35.2,125.4,54.3,12.9,36.8,41.4,18.9,-6
5,5,1/16/23,C,Jackson St.,SWAC,Texas Southern,A,"L, 84-82",111.6,113.9,76.4,107.3,57,22.2,32.3,42.1,109.9,63.9,30.1,40,40.7,44.3,10
6,6,11/29/22,N,Jackson St.,SWAC,Miami OH,A,"L, 95-78",111.5,145.6,66.1,118,55.7,21.2,47.1,24.6,143.7,72.7,10.6,18.2,30.9,4.4,-12
7,7,2/25/23,C,Jackson St.,SWAC,Texas Southern,H,"W, 71-69",109.2,117.4,64.2,110.6,54.9,14,23.1,35.3,107.5,52.5,18.7,32.1,10,30.3,2
8,8,12/14/22,N,Jackson St.,SWAC,Mississippi St.,N,"L, 69-59",108.1,102.6,64.9,91,53,30.8,42.3,22,106.4,55.1,24.7,31,40.8,64.7,0
9,9,2/11/23,C,Jackson St.,SWAC,Florida A&M,A,"W, 69-58",106.8,105,63.2,109.3,50.9,17.4,34.4,28.6,91.8,45.1,22.2,25.8,23.5,54.6,7
10,10,2/4/23,C,Jackson St.,SWAC,Mississippi Valley S,H,"L, 82-78",106.8,134.8,68.5,113.9,47.8,20.4,52.8,25.4,119.8,59.6,16.1,29.6,48.1,6.4,1
11,11,12/3/22,N,Jackson St.,SWAC,SMU,A,"W, 69-68",105.4,97.4,68.6,100.6,54.2,20.4,25,15,99.2,53.3,13.1,11.4,10,71.4,3
12,12,2/6/23,C,Jackson St.,SWAC,Arkansas Pine Bluff,H,"W, 88-84",105.3,116.5,64.5,109.2,52.9,14.9,28.9,41.2,104.2,50.8,16.1,26.5,35.9,23.9,2
13,13,12/11/22,N,Jackson St.,SWAC,Akron,A,"L, 85-72",103.2,122.9,68.2,105.6,53.2,19.1,31.2,11.1,124.7,64.4,14.7,20,40.4,11.8,-16
14,14,12/22/22,N,Jackson St.,SWAC,Stephen F. Austin,A,"L, 80-69",101.6,113.2,70.2,98.3,41.2,18.5,44.9,32.4,113.9,58.3,27.1,34.6,95.2,22.5,-8
15,15,11/23/22,N,Jackson St.,SWAC,Michigan,A,"L, 78-68",100.6,99.5,72.7,93.6,42.5,15.1,31.9,9.6,107.3,52.5,15.1,17.1,32.2,53.3,-7
16,16,12/20/22,N,Jackson St.,SWAC,Alabama,A,"L, 84-64",100.5,90.3,79.2,80.8,39.4,22.7,26.7,22.7,106,53.2,21.5,33.3,41.3,77.4,-5
17,17,1/9/23,C,Jackson St.,SWAC,Alabama A&M,H,"W, 72-64",97.4,98.2,71.3,100.9,48.2,19.6,33.3,43.9,89.7,45.9,22.4,23.3,55.1,47.6,6
18,18,11/12/22,N,Jackson St.,SWAC,Tulsa,A,"L, 85-79",94.8,111.9,79.7,99.1,43.5,13.8,33.3,20.8,106.6,57,18.8,13.3,43.9,12.9,-6
19,19,3/4/23,C,Jackson St.,SWAC,Mississippi Valley S,A,"W, 68-60",93.8,96.4,68.9,98.6,49,26.1,32.4,57.1,87,45.4,23.2,26.5,29.6,42.4,6
20,20,3/2/23,C,Jackson St.,SWAC,Arkansas Pine Bluff,A,"W, 67-63",92.2,99.2,70.6,94.9,51,26.9,35.7,50,89.3,47.5,19.8,26.5,14.8,30.1,-1
21,21,1/7/23,C,Jackson St.,SWAC,Alabama St.,H,"W, 61-58",91.8,107.1,62.1,98.3,41,14.5,44.1,29.5,93.4,44.3,17.7,33.3,30.2,14.5,2
22,22,2/18/23,C,Jackson St.,SWAC,Alcorn St.,H,"L, 75-60",90.9,127.9,62.1,96.6,47.8,25.8,38.7,56.5,120.7,67.9,22.5,35,7.5,1.9,-11
