#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/2/22,N,James Madison,SB,Eastern Kentucky,H,"W, 97-80",131.2,106.9,75.8,128,68.6,19.8,29.6,35.6,105.6,50.7,18.5,38.1,26.1,91.3,12
2,2,2/2/23,C,James Madison,SB,Old Dominion,A,"W, 78-73",131,115.9,62.3,125.1,63,16,31,29.6,117.1,52.6,17.6,44.1,29.3,80.4,7
3,3,11/15/22,N,James Madison,SB,Howard,A,"W, 95-69",123.1,96.9,74.3,127.8,70.3,24.2,48.1,14.1,92.8,53.3,26.9,25.8,8.2,94,9
4,4,11/9/22,N,James Madison,SB,Hampton,H,"W, 106-58",122.5,87,75.9,140.4,68.9,15.9,41.9,33.3,76.8,38.5,15.9,22,30.8,98.1,24
5,5,12/18/22,N,James Madison,SB,LIU Brooklyn,H,"W, 115-79",121.2,108.2,85.7,134.2,67.1,15.2,43.2,32.9,92.2,55.2,33.8,32.3,34.5,78.7,29
6,6,2/24/23,C,James Madison,SB,Georgia St.,H,"W, 90-69",120.9,117.2,68.1,132.2,54.6,10.3,41,40,101.4,47.1,17.6,27.3,56.9,58.8,3
7,7,1/14/23,C,James Madison,SB,Georgia Southern,H,"W, 83-71",118,104.8,71.4,116.2,67,19.6,11.5,55.3,99.4,48.4,19.6,30.6,29.5,79.5,7
8,8,1/21/23,C,James Madison,SB,Southern Miss,A,"L, 83-70",115,125.2,64,109.4,50.9,18.8,36.4,38.9,129.7,66,18.8,40,35.8,27.3,-8
9,9,2/16/23,C,James Madison,SB,Old Dominion,H,"W, 76-67",114.4,104.8,66.4,114.5,52.9,18.1,38.7,56.9,100.9,48.1,19.6,24.2,39.6,73.1,6
10,10,1/19/23,C,James Madison,SB,Troy,A,"W, 89-87",111.3,109.5,72.6,109,49.2,19.6,36.6,56.2,106.6,58,25.7,33.3,57.1,54.8,-6
11,11,11/26/22,N,James Madison,SB,South Dakota St.,N,"W, 79-60",108.9,86.2,71.2,111,56.5,22.5,34.3,24.2,84.3,50,29.5,28.1,21.2,93.6,9
12,12,3/4/23,CT,James Madison,SB,Troy,N,"W, 75-72",107.4,98.4,73.2,102.5,50,21.9,40,28.1,98.4,42.7,13.7,26.8,43.5,73.3,5
13,13,11/12/22,N,James Madison,SB,Buffalo,A,"W, 97-62",106.5,73.3,88.7,109.4,58,29.3,42.9,73.2,69.9,35.7,33.8,27,44.6,98.7,14
14,14,2/18/23,C,James Madison,SB,Louisiana Lafayette,H,"W, 74-68",106.4,94.8,68.7,107.7,50,16,27.8,36.2,98.9,52.8,18.9,22.6,37.7,79.2,1
