#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/3/23,C,Kansas St.,B12,Texas,A,"W, 116-103",164.4,110.2,82,141.4,70.8,14.6,24,55,125.6,59.6,11,20.6,38.2,99,12
2,2,11/22/22,N,Kansas St.,B12,Nevada,N,"W, 96-87",136.7,115.1,65.4,130.5,61.7,20.4,44.8,46.7,118.3,60.2,15,20.7,50,87.8,1
3,3,1/24/23,C,Kansas St.,B12,Iowa St.,A,"L, 80-76",132.7,113.1,66.4,114.5,61.5,21.1,24,52.1,120.5,62.2,19.6,39.1,51,86.2,-2
4,4,1/7/23,C,Kansas St.,B12,Baylor,A,"W, 97-95",130.1,101.3,69.8,123.5,61.7,15.3,30,32.8,121,50.8,15.3,40.5,58.5,94.6,2
5,5,3/1/23,C,Kansas St.,B12,Oklahoma,H,"W, 85-69",125.7,95.2,71.1,119.5,60.8,16.9,33.3,31.7,97,50,18.3,18.2,22.4,96.1,7
6,6,12/11/22,N,Kansas St.,B12,Incarnate Word,H,"W, 98-50",122.5,85.9,70.2,139.6,68.2,12.8,33.3,21.2,71.2,45,28.5,15.2,16,98.3,18
7,7,1/17/23,C,Kansas St.,B12,Kansas,H,"W, 83-82",119,94.3,70.6,104.5,47.5,18.9,29.7,55,103.3,48.3,18.9,30.8,56.7,93.5,4
8,8,2/21/23,C,Kansas St.,B12,Baylor,H,"W, 75-65",115.8,87.2,65.3,114.9,51.7,10.7,27.3,36.2,99.6,50,19.9,31.4,29.1,96.3,4
9,9,2/25/23,C,Kansas St.,B12,Oklahoma St.,A,"W, 73-68",115.8,94,70.7,103.2,57.1,22.6,14.8,40.8,96.2,45.5,15.6,19.4,41.1,91.7,0
10,10,2/7/23,C,Kansas St.,B12,TCU,H,"W, 82-61",114.8,80.5,75.1,109.3,51.6,20,37.1,37.7,81.3,46.5,25.3,18.2,22.8,98.3,6
11,11,1/31/23,C,Kansas St.,B12,Kansas,A,"L, 90-78",111.2,102.9,79.9,97.7,39.8,16.3,22.5,61,112.7,48.5,11.3,28.3,52.2,70.9,-9
12,12,3/4/23,C,Kansas St.,B12,West Virginia,A,"L, 89-81",110.8,95.4,80.8,100.3,53.7,24.8,33.3,17.9,110.2,56.8,19.8,24.1,42.4,84.9,-2
13,13,11/21/22,N,Kansas St.,B12,Rhode Island,N,"W, 77-57",110.5,83.6,71.6,107.5,59.4,29.3,37,34,79.6,34.5,22.3,36.6,56.4,96.1,15
14,14,12/6/22,N,Kansas St.,B12,Abilene Christian,H,"W, 81-64",110.1,100.7,67.7,119.6,61.3,17.7,34.5,54.7,94.5,51.8,19.2,21.2,21.8,73.5,2
15,15,12/21/22,N,Kansas St.,B12,Radford,H,"W, 73-65",109.6,100.5,65.8,110.9,53.4,18.2,41.9,25.4,98.7,46.6,12.2,24.3,30.5,72.9,5
