#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/11/23,CT,Kent St.,MAC,Toledo,N,"W, 93-78",126.4,103.2,68.2,136.4,63.9,16.1,41.9,32.8,114.4,48.3,13.2,35.1,45.8,91.2,3
2,2,11/7/22,N,Kent St.,MAC,Northern Kentucky,A,"W, 79-57",124.2,92.5,64,123.4,66.4,17.2,28.1,29.1,89,34.2,18.7,43.2,36.7,96.7,9
3,3,12/2/22,N,Kent St.,MAC,South Dakota St.,H,"W, 83-68",123.5,98.6,67.8,122.4,58.1,14.7,33.3,19.4,100.3,47.3,17.7,28.6,41.8,93.1,15
4,4,1/20/23,C,Kent St.,MAC,Ball St.,H,"W, 86-65",123.3,95.8,66.9,128.6,58.5,10.5,34.5,39,97.2,44.2,22.4,31.6,48.1,94.8,13
5,5,1/31/23,C,Kent St.,MAC,Central Michigan,H,"W, 81-69",122.3,132.9,61.4,132,53.6,8.1,42.9,58.9,112.4,53.6,17.9,42.4,30.4,27.8,2
6,6,2/28/23,C,Kent St.,MAC,Ohio,H,"W, 82-75",120.1,114.7,64.4,127.4,61.4,14,32.1,28.1,116.5,54.2,14,32.4,25.4,62.7,1
7,7,3/3/23,C,Kent St.,MAC,Akron,H,"W, 89-84",115.8,105.6,68.5,115.5,57.8,18.2,27.6,43.1,109,50.9,15.6,18.2,56.1,74.3,3
8,8,3/10/23,CT,Kent St.,MAC,Akron,N,"W, 79-73",113.5,93.8,72.4,109.1,44.7,9.7,32.6,42.4,100.8,51.8,24.9,25,32.7,90,8
9,9,1/24/23,C,Kent St.,MAC,Northern Illinois,A,"L, 86-76",113.5,123.2,69.3,109.7,60.4,17.3,20.7,35.8,124.2,63.9,18.8,22.2,37,28.1,1
10,10,11/23/22,N,Kent St.,MAC,College of Charlesto,A,"L, 74-72",111.5,96.2,70.6,101.9,50.7,18.4,33.3,5.9,104.8,53.8,24.1,31.4,49.1,84.5,4
11,11,2/14/23,C,Kent St.,MAC,Western Michigan,A,"W, 82-58",110.8,83.7,68.6,119.5,54.7,17.5,47.1,26.6,84.5,50,29.2,21.9,30.6,96.2,18
12,12,2/7/23,C,Kent St.,MAC,Bowling Green,H,"W, 87-64",109.2,95.1,71.4,121.8,59.5,22.4,50,44.8,89.6,48.1,23.8,22.9,33.3,83.1,9
13,13,1/10/23,C,Kent St.,MAC,Toledo,H,"W, 75-63",107.4,88.7,64.4,116.5,45,9.3,44.4,25.7,97.9,48.2,17.1,29.4,22.8,90,4
14,14,2/21/23,C,Kent St.,MAC,Ball St.,A,"L, 82-70",107.2,118,65.6,106.8,46.6,10.7,28.9,35.6,125.1,56.1,18.3,40.7,69.4,25,-4
15,15,3/9/23,CT,Kent St.,MAC,Northern Illinois,N,"W, 76-57",106.5,83.6,70.5,107.8,51.6,17,36.1,32.3,80.9,42.9,24.1,16.7,44.9,94.2,12
16,16,11/19/22,N,Kent St.,MAC,Chicago St.,H,"W, 88-59",105.2,77.8,77.3,113.8,46.4,12.9,33.3,37.1,76.3,39.2,36.2,45.7,54.9,97,20
