#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/3/23,C,LSU,SEC,Kentucky,A,"L, 74-71",126,112.1,59.2,119.9,59.4,15.2,19.2,18.9,125,58.3,10.1,37,25.9,79.3,-4
2,2,2/22/23,C,LSU,SEC,Vanderbilt,H,"W, 84-77",123.5,106.2,66.9,125.6,52.5,10.5,35.1,45,115.1,53.4,12,28.9,39,85,3
3,3,1/28/23,N,LSU,SEC,Texas Tech,H,"L, 76-68",119.2,119,60.5,112.4,44.9,16.5,44.7,32.2,125.6,56.5,18.2,46.9,38.9,50.3,-4
4,4,3/1/23,C,LSU,SEC,Missouri,H,"L, 81-76",118.3,106.1,65.8,115.5,57.1,24.3,34.5,44.9,123.1,54,10.6,30.3,20.6,77.7,7
5,5,12/17/22,N,LSU,SEC,Winthrop,H,"W, 89-81",115,117.9,68.7,129.5,63.3,14.6,37.5,18.8,117.9,60.8,17.5,25.8,20,42.9,2
6,6,3/4/23,C,LSU,SEC,Florida,A,"L, 79-67",114.9,107.9,67.7,99,40.8,19.2,41.5,41.7,116.7,54.1,11.8,29.7,32.8,67.4,1
7,7,3/8/23,CT,LSU,SEC,Georgia,N,"W, 72-67",114,102.6,64.9,111,39.4,7.7,40,39.4,103.3,46,17,26.7,48,76.9,5
8,8,11/22/22,N,LSU,SEC,Akron,N,"W, 73-58",113.9,93.4,62.4,116.9,56.7,16,32,30.8,92.9,33.3,22.4,45.2,55.6,90.7,3
9,9,11/17/22,N,LSU,SEC,New Orleans,H,"W, 91-62",113.7,93.1,72.9,124.8,62.1,19.2,37.5,44.8,85,53,31.5,27.3,40,90.9,15
10,10,2/4/23,C,LSU,SEC,Alabama,H,"L, 79-69",112.5,101.1,70.9,97.3,36.3,11.3,29.5,50,111.4,56,12.7,12.9,25.9,77.5,-6
11,11,2/25/23,C,LSU,SEC,Mississippi,A,"L, 82-69",111.9,117.4,66.2,104.2,50.9,19.6,26.7,27.8,123.9,62.9,15.1,23.1,15.5,36.5,-4
12,12,2/11/23,C,LSU,SEC,Texas A&M,H,"L, 74-62",109.7,122.5,58.2,106.6,50.9,20.6,37.5,24.5,127.2,57.1,12,28,76.2,21.8,-15
13,13,1/14/23,C,LSU,SEC,Alabama,A,"L, 106-66",108.2,128.9,72.6,90.9,36.1,15.1,30.4,47.5,145.9,59.2,11,45.5,26.3,11.8,-23
14,14,2/18/23,C,LSU,SEC,South Carolina,H,"L, 82-73",108,130.6,64.9,112.4,47.6,9.2,37.2,41.9,126.3,60.2,18.5,31,33.3,10.1,-7
