#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/21/22,N,Lafayette,Pat,La Salle,A,"W, 90-65",138.2,104.7,63.3,142.1,76,20.5,36.4,26.9,102.6,46.4,9.5,22.2,33.9,96.1,12
2,2,1/18/23,C,Lafayette,Pat,American,A,"W, 70-59",119.2,103.3,57.4,122,62.7,15.7,26.9,3.6,102.8,65.9,27.9,16.7,14.6,83.8,10
3,3,11/12/22,N,Lafayette,Pat,St. John's,A,"L, 83-68",112.2,116.4,66.9,101.7,54.2,17.9,24.3,15.3,124.1,61.1,15,21.4,37,39.5,-5
4,4,3/2/23,CT,Lafayette,Pat,Lehigh,A,"W, 71-64",109.5,91.5,68.7,103.4,52,16,18.8,47.1,93.2,42.7,16,16.2,38.2,88.7,15
5,5,3/5/23,CT,Lafayette,Pat,American,H,"W, 84-76",106.5,104,60.2,111.5,61.5,30.5,35.5,50,100.9,42.6,12,37.7,11.1,56.7,9
6,6,2/22/23,C,Lafayette,Pat,Colgate,H,"L, 73-69",105.2,108.8,63.5,108.7,54.1,9.5,25,11.5,115,60.2,11,13.8,29.6,40.6,-3
7,7,1/5/23,C,Lafayette,Pat,Boston University,A,"L, 73-69",103.9,113.7,59.7,102.8,48.4,14.9,21.1,16.4,108.7,50,17.9,38.9,30,26.2,2
8,8,11/30/22,N,Lafayette,Pat,Drexel,A,"L, 64-56",100.9,111.8,58.4,95.9,54,20.6,19.2,4,109.6,53.8,20.6,40,15.1,23.5,-4
9,9,2/15/23,C,Lafayette,Pat,Loyola MD,A,"L, 73-70",100.6,123.4,63.6,110.1,54.5,17.3,30.3,30.9,114.8,61.7,17.3,12.5,36.2,8.7,-7
10,10,2/11/23,C,Lafayette,Pat,Boston University,H,"W, 69-65",97.4,105,60.5,101.3,53.8,20.6,26.5,35.8,95.4,50,27.9,31.2,24.1,29.5,2
11,11,1/11/23,C,Lafayette,Pat,Navy,A,"W, 59-50",97.4,89.3,59.5,99.1,48.9,18.5,25.8,55.6,84,42.3,18.5,27,25,73,0
12,12,2/6/23,C,Lafayette,Pat,Holy Cross,A,"W, 72-58",97.3,95.4,69.1,104.3,58.7,17.4,23.3,48.1,84,42.2,20.3,21.1,19,55.6,4
13,13,12/10/22,N,Lafayette,Pat,Quinnipiac,A,"L, 76-63",97.1,115.6,65.4,96.4,48.2,15.3,23.7,26.8,116.3,60,26,46.4,29.1,11.9,-8
14,14,12/4/22,N,Lafayette,Pat,Cornell,A,"L, 73-68",97,98.4,68.4,99.4,49.2,20.5,28.6,18.3,106.7,49.2,11.7,27.8,29.5,46,-1
