#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/19/22,N,Lamar,Slnd,Western Carolina,N,"L, 98-91",116.4,130.3,68,118.9,62.7,18.3,28,23.8,128.1,67.2,19.6,35.5,37.7,21.4,-2
2,2,2/16/23,C,Lamar,Slnd,Houston Christian,H,"W, 91-75",113,125.1,66.1,137.7,71.2,10.6,25,48.1,113.5,57.1,16.6,18.2,57.1,23.8,1
3,3,1/7/23,C,Lamar,Slnd,Southeastern Louisia,A,"L, 89-84",104.9,115.3,68.4,109.2,61.3,26,31.2,17.7,115.7,48.5,16.9,41.7,48.5,25.4,-2
4,4,2/9/23,C,Lamar,Slnd,Incarnate Word,A,"W, 68-59",104,106.1,60.8,111.9,51.8,14.8,38.9,26.3,97.1,39.5,16.5,35.7,38.6,44.5,2
5,5,11/11/22,N,Lamar,Slnd,TCU,A,"L, 77-66",103.2,97.7,72.1,91.5,42.2,19.4,34.1,28.1,106.8,49.3,18,43.6,20.3,65.4,-6
6,6,2/25/23,C,Lamar,Slnd,New Orleans,H,"L, 84-79",102.3,129.1,70.6,111.9,55.8,28.3,42.9,46.2,119,50,15.6,44.1,48.3,6.4,-4
7,7,1/12/23,C,Lamar,Slnd,Nicholls St.,H,"W, 69-66",100,106.8,66.2,104.2,43.6,24.2,40,72.3,99.7,36.6,6,35.8,41.8,32,2
8,8,1/28/23,C,Lamar,Slnd,Northwestern St.,A,"L, 80-65",99.6,120.3,64.6,100.6,47.2,23.2,42.4,37,123.8,65.8,18.6,36,17.5,10.3,-7
9,9,1/14/23,C,Lamar,Slnd,Texas A&M Commerce,A,"L, 81-66",97.9,126.5,64.6,102.2,43,23.2,43.8,60,125.4,59.5,9.3,28.9,39.7,5,-6
10,10,2/4/23,C,Lamar,Slnd,Northwestern St.,H,"L, 72-68",97.7,110.6,65.9,103.2,50.9,19.7,28.6,20.7,109.2,60,18.2,14.3,30,19.5,-2
11,11,1/26/23,C,Lamar,Slnd,Texas A&M Commerce,H,"L, 62-57",94.8,113.3,56.3,101.2,48.9,19.5,34.5,38.3,110.1,59.5,23.1,26.1,35.7,11.4,1
12,12,12/13/22,N,Lamar,Slnd,Southern Miss,H,"L, 91-65",93.3,117.8,74.3,87.5,48.4,17.5,20.5,24.6,122.5,56.5,13.5,34.1,31.9,6.4,-10
13,13,11/18/22,N,Lamar,Slnd,Lindenwood,N,"W, 73-71",93.2,111.6,71.1,102.6,47.7,16.9,32.4,21.9,99.8,46.7,22.5,35.1,26.2,11.2,-5
14,14,2/2/23,C,Lamar,Slnd,McNeese St.,A,"W, 70-63",92.3,100.3,68.2,102.6,46.2,22,34.4,41.5,92.3,40.5,17.6,31.9,30.2,27.7,-3
15,15,3/1/23,C,Lamar,Slnd,Nicholls St.,A,"L, 64-60",92,98,66.2,90.6,42.7,24.2,31.4,25.5,96.7,39.4,15.1,42.6,14.1,32.8,3
16,16,1/19/23,C,Lamar,Slnd,Texas A&M Corpus Chr,H,"W, 68-66",91.4,97.8,69.4,98,52.2,24.5,30.3,73.9,95.1,44.6,20.2,36.4,21.5,31.5,-6
17,17,12/1/22,N,Lamar,Slnd,Texas St.,H,"L, 65-55",89.9,103.5,61.7,89.2,42.6,17.8,25.7,22.2,105.4,52.8,16.2,31.2,29.6,16.5,-2
18,18,12/17/22,N,Lamar,Slnd,Louisiana Monroe,A,"L, 83-59",88.1,125.9,68.7,85.9,40.2,20.4,38.1,13.6,120.8,63.8,18.9,32.1,25.9,1.6,-12
19,19,12/20/22,N,Lamar,Slnd,Pacific,H,"L, 74-65",87.2,109.2,69,94.2,41.4,18.8,39.5,50,107.2,58.8,26.1,31.2,19.3,7,-11
20,20,12/31/22,C,Lamar,Slnd,McNeese St.,H,"L, 81-62",86.8,130.7,65.8,94.2,46.6,21.3,18.8,63.6,123.1,61.1,18.2,37.1,14.3,0.9,-10
21,21,2/18/23,C,Lamar,Slnd,Houston Christian,A,"L, 93-74",86.6,119.9,77.4,95.6,43.2,12.9,24.4,34.8,120.2,60.3,16.8,35.5,42.9,2.3,-7
22,22,2/23/23,C,Lamar,Slnd,Southeastern Louisia,H,"L, 83-60",86.4,130.1,65.2,92,46.3,15.3,14.3,25.9,127.3,63.3,10.7,24.1,16.7,0.9,-13
23,23,1/21/23,C,Lamar,Slnd,Incarnate Word,H,"L, 70-64",85.5,114.6,68,94.1,49,30.9,42.4,34.6,102.9,45.2,13.2,31,31.7,3.3,-6
24,24,12/10/22,N,Lamar,Slnd,Southern Miss,A,"L, 95-59",84.4,124.3,73.7,80.1,43.5,33.9,43.6,12.9,128.9,59.4,13.6,37.8,26.1,1.2,-22
25,25,1/5/23,C,Lamar,Slnd,New Orleans,A,"L, 81-55",83.2,118.2,67.8,81.1,38.3,16.2,29.8,18.8,119.4,54.4,14.7,28.1,40.4,1.7,-6
26,26,11/20/22,N,Lamar,Slnd,McNeese St.,A,"L, 66-57",82.1,104.3,65.5,87.1,42.6,22.9,34.2,11.5,100.8,52.8,22.9,32.4,30.2,6,-4
27,27,2/11/23,C,Lamar,Slnd,Texas A&M Corpus Chr,A,"L, 61-52",80.6,89.7,65,80,46,26.2,18.2,18,93.9,50,26.2,30,28,22.5,-3
28,28,11/27/22,N,Lamar,Slnd,SMU,A,"L, 75-50",79.3,109.8,66.9,74.8,39.6,22.4,26.3,28.3,112.2,51.6,15,29.4,26.2,2.3,-12
