#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Lehigh,Pat,Loyola MD,H,"L, 91-82",116.6,140,67.2,122.1,58.8,8.9,7.7,49,135.5,61.7,11.9,35.5,36.7,10.9,3
2,2,1/8/23,C,Lehigh,Pat,Navy,A,"W, 78-73",114.3,110.3,68.6,113.7,56,13.1,21.2,29.3,106.5,52.5,17.5,27,28.8,60.1,0
3,3,12/15/22,N,Lehigh,Pat,Wisconsin,A,"L, 78-56",110.1,113.3,62.4,89.8,52.9,20.8,11.5,3.9,125.1,60.8,16,39.3,13.3,41.7,-1
4,4,2/22/23,C,Lehigh,Pat,Bucknell,H,"W, 78-62",108.9,96.8,68.2,114.4,56.1,8.8,7.4,28.1,90.9,43,13.2,22.5,12.5,79.6,11
5,5,12/30/22,C,Lehigh,Pat,Army,A,"L, 80-78",108.9,125.9,66.8,116.7,55.7,10.5,22.9,26.2,119.7,65.7,15,16,37.3,15.9,-9
6,6,11/27/22,N,Lehigh,Pat,Monmouth,H,"W, 80-76",105.5,124.5,70.9,112.8,59,29.6,42.9,50,107.2,53.3,16.9,34.2,37.7,13,1
7,7,1/14/23,C,Lehigh,Pat,American,H,"W, 78-62",104.9,100.4,67.5,115.6,57.3,13.3,18.2,38.2,91.9,41.8,22.2,31.6,34.5,62.6,5
8,8,2/4/23,C,Lehigh,Pat,Lafayette,A,"W, 66-64",103.7,96.8,68.7,96.1,46.2,14.6,14.7,41.5,93.2,42.9,16,23.7,41.1,69,8
9,9,1/5/23,C,Lehigh,Pat,Bucknell,A,"W, 72-64",100.9,95.3,69.8,103.2,63,21.5,4.8,22,91.8,46,24.4,37.8,14.3,65.8,6
10,10,1/25/23,C,Lehigh,Pat,Holy Cross,A,"W, 74-68",100.9,101.7,71.8,103,53.4,16.7,21.2,27.1,94.7,52.6,16.7,18.2,33.3,47.6,7
11,11,2/18/23,C,Lehigh,Pat,American,A,"W, 62-59",100.2,97.2,60.8,102,52.2,19.7,25,46.7,97,45.5,8.2,17.6,25,58.5,5
12,12,11/7/22,N,Lehigh,Pat,Syracuse,A,"L, 90-72",99.1,116.1,72.9,98.7,49.2,16.4,21.6,20.6,123.4,60,17.8,35.7,56.4,14,-10
13,13,1/29/23,C,Lehigh,Pat,Boston University,H,"W, 66-55",98.6,101.7,62,106.4,41.3,11.3,27.3,50,88.7,37.5,24.2,36.4,70.5,41.1,1
14,14,1/11/23,C,Lehigh,Pat,Holy Cross,H,"W, 76-58",98.2,95.1,70.8,107.4,57.4,19.8,25.8,14.8,81.9,49.1,24,16.1,16.7,59.3,7
15,15,1/16/23,C,Lehigh,Pat,Loyola MD,A,"W, 74-70",96.6,102.5,71.8,103.1,52,20.9,14.3,48,97.5,46.8,18.1,29.7,24.2,33.6,1
16,16,2/1/23,C,Lehigh,Pat,Army,H,"L, 71-69",95.6,107.6,68.4,100.8,44,11.7,28.9,44.8,103.7,51.9,26.3,35.5,33.3,20.3,-2
17,17,11/21/22,N,Lehigh,Pat,St. Francis PA,A,"W, 82-76",93.6,95.9,80.8,101.5,56.9,16.1,13.5,51.7,94,46.2,13.6,14.3,36.9,43.1,5
18,18,1/21/23,C,Lehigh,Pat,Lafayette,H,"W, 61-49",89.7,84.9,66.7,91.5,46,21,20,36,73.5,37.3,12,12.5,16.9,65.3,4
19,19,12/20/22,N,Lehigh,Pat,Cornell,A,"L, 96-64",88.7,125.1,70.8,90.5,50,21.2,14.3,25.5,135.7,61.5,4.2,27.8,8.1,1.9,-17
20,20,2/15/23,C,Lehigh,Pat,Navy,H,"L, 75-64",87.7,105.3,73.6,87,42.1,15,20,23.8,102,46.9,15,30.8,32.3,10.9,-5
21,21,3/2/23,CT,Lehigh,Pat,Lafayette,H,"L, 71-64",86.8,123.3,68.7,93.2,42.7,16,16.2,38.2,103.4,52,16,18.8,47.1,1.7,-15
22,22,2/25/23,C,Lehigh,Pat,Boston University,A,"L, 59-56",86.7,98.1,64.1,87.4,42.9,17.2,14.7,40.8,92.1,40.2,17.2,34.9,23,19.6,-1
23,23,1/2/23,C,Lehigh,Pat,Colgate,H,"L, 76-60",86.6,105.9,67.5,88.9,49.1,17.8,6.2,18.9,112.6,55.9,11.9,16.7,18.6,9,-10
24,24,11/30/22,N,Lehigh,Pat,Maryland Eastern Sho,A,"L, 64-60",84.9,95.7,74.3,80.7,40.2,26.9,36.1,23,86.1,43.9,25.6,34.3,36.8,20.1,-2
25,25,11/16/22,N,Lehigh,Pat,Marist,H,"W, 64-54",82.6,73.5,77.2,82.9,44.3,23.3,13.9,43.4,69.9,34.4,19.4,19.6,28.1,79.4,10
26,26,11/10/22,N,Lehigh,Pat,Virginia Tech,A,"L, 78-52",82.2,105.3,66.3,78.5,40.5,16.6,22.5,3.2,117.7,56.8,7.5,17.9,27.1,5.5,-13
27,27,2/8/23,C,Lehigh,Pat,Colgate,A,"L, 81-53",79.4,107.3,68.2,77.7,39.3,13.2,16.3,19.7,118.8,56.9,10.3,30.3,18.5,3,-14
28,28,12/3/22,N,Lehigh,Pat,UMBC,H,"L, 88-62",76.8,123.6,73.2,84.7,50,23.2,8.8,22.6,120.2,63.3,21.9,36.7,15.6,0.4,-19
