#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/2/23,C,Little Rock,OVC,Southeast Missouri S,A,"L, 99-98",120,125.9,80.4,121.9,60.3,17.4,29.2,62.1,123.2,64.9,13.7,19.4,61.4,36.5,1
2,2,11/20/22,N,Little Rock,OVC,Jackson St.,H,"W, 94-91",116.1,133.2,74.7,125.8,65.8,25.4,50,33.3,121.8,60.4,21.4,41.5,31.3,17.1,-3
3,3,1/28/23,C,Little Rock,OVC,Tennessee Tech,A,"W, 91-89",115.8,116.7,76.7,118.7,56.2,20.9,42.9,35.4,116.1,63.4,20.9,24.1,42.9,47.8,4
4,4,12/22/22,N,Little Rock,OVC,Arkansas St.,A,"L, 77-75",114.9,121.3,64.6,116.1,50,12.4,31.2,41.1,119.2,53.4,17,46.2,48.3,34.9,4
5,5,2/25/23,C,Little Rock,OVC,Lindenwood,A,"L, 97-96",114,128.9,71.3,119.8,62.1,18.7,25,25.8,121,57.1,13.7,24.3,47.6,19.6,4
6,6,1/21/23,C,Little Rock,OVC,Tennessee St.,H,"W, 89-77",112.6,107.7,74.8,118.9,58.7,13.4,17.9,71.2,102.9,46.3,16,30.2,25,62.5,8
7,7,2/4/23,C,Little Rock,OVC,SIU Edwardsville,H,"L, 84-81",110,133.4,69.3,116.9,47.8,13,38.6,30.9,121.3,64.9,14.4,25,31.6,9.9,-7
8,8,1/26/23,C,Little Rock,OVC,Morehead St.,A,"L, 76-72",108.2,114.6,67.9,106.1,50.8,17.7,27.3,25.4,111.9,61.8,19.1,28.6,25.5,34,-3
9,9,1/19/23,C,Little Rock,OVC,Tennessee Tech,H,"L, 77-75",107.6,128,64.1,117,51.5,14,35.1,16.7,120.1,66,12.5,22.2,38,12,-4
10,10,12/29/22,C,Little Rock,OVC,Tennessee Martin,H,"W, 88-74",107.5,97.4,77.9,112.9,54.3,18,29.7,65.5,94.9,43,19.2,34.1,42.2,75.8,12
11,11,2/16/23,C,Little Rock,OVC,Southern Indiana,H,"L, 82-81",106.6,118.3,70.8,114.4,60.7,18.4,25,35.7,115.8,62.5,18.4,29.4,25,23.2,3
12,12,2/23/23,C,Little Rock,OVC,SIU Edwardsville,A,"W, 79-74",104.6,100.6,75.8,104.2,53.6,21.1,26.7,44.6,97.6,51.9,26.4,30.3,50.9,61,5
13,13,11/23/22,N,Little Rock,OVC,Indiana,A,"L, 87-68",100.7,104.5,74.7,91,38.6,16.1,29.2,36.4,116.4,62.7,17.4,25.9,32.2,39.6,-9
14,14,12/6/22,N,Little Rock,OVC,Memphis,A,"L, 87-71",99.9,102.2,77.6,91.6,41.4,21.9,38.1,24.3,112.2,58.7,19.3,34.4,30.2,43.3,-12
15,15,11/26/22,N,Little Rock,OVC,Miami OH,A,"L, 80-67",99,131.8,62.6,107.1,51.9,17.6,30,25.9,127.8,64.6,19.2,28,41.7,3.6,-12
16,16,2/9/23,C,Little Rock,OVC,Morehead St.,H,"W, 72-68",97.6,102.1,71.7,100.5,44.4,16.7,35.9,37.1,94.9,42.5,19.5,31,40,37.4,-3
17,17,11/7/22,N,Little Rock,OVC,Southern Illinois,A,"L, 94-63",96.8,136.4,70.5,89.4,43,9.9,22.2,28.1,133.4,69.1,25.5,46.4,43.6,1.9,-18
18,18,11/17/22,N,Little Rock,OVC,East Tennessee St.,A,"L, 84-76",96,110.9,78.1,97.4,54,23.1,22.9,21,107.6,56.2,20.5,35.9,75,16,-5
19,19,12/20/22,N,Little Rock,OVC,Central Arkansas,H,"W, 75-66",94.1,101.1,71.7,104.5,44.4,16.7,35.7,38.1,92,43.4,16.7,22.5,27.9,30.3,2
20,20,2/18/23,C,Little Rock,OVC,Eastern Illinois,H,"W, 81-77",94,107.8,71.4,100.9,45.1,17.4,34.9,26.4,95.9,54.8,23.7,24.3,29,17.2,4
21,21,11/30/22,N,Little Rock,OVC,San Francisco,A,"L, 90-68",93.1,113.5,75,90.7,45.6,21.3,21.9,35.1,120,57,14.7,28.9,34.4,9.3,-15
22,22,1/12/23,C,Little Rock,OVC,Southern Indiana,A,"L, 74-67",92.7,107.2,69,97.1,45.1,13,20.5,24.6,107.3,50.8,15.9,36.6,45,15.8,-3
23,23,12/17/22,N,Little Rock,OVC,Jacksonville St.,A,"L, 72-62",91.7,109,67.2,92.2,45,20.8,16.1,42,107.1,49.1,17.8,41.2,34.5,12.1,-6
24,24,1/4/23,C,Little Rock,OVC,Lindenwood,H,"L, 67-62",91.1,106.6,65.9,94.1,43,13.7,30.2,17.2,101.6,57.4,25.8,18.5,34,14,9
25,25,1/7/23,C,Little Rock,OVC,Southeast Missouri S,H,"L, 74-68",89.1,108.4,72.4,93.9,50.9,23.5,24.2,21.1,102.2,48.5,18,34.1,25.8,9.5,-4
26,26,12/31/22,C,Little Rock,OVC,Tennessee St.,A,"L, 94-69",84.7,124.3,78,88.4,46.8,17.9,20.5,30.6,120.5,71.4,24.4,19.2,33.9,1.2,-17
27,27,11/14/22,N,Little Rock,OVC,Central Arkansas,A,"L, 82-71",83.1,107.8,80.1,88.6,42.6,21.2,32.6,29.4,102.4,52.2,25,39.5,17.4,4.8,-7
28,28,1/14/23,C,Little Rock,OVC,Eastern Illinois,A,"L, 70-63",79.2,101.3,75.9,83,43.7,26.4,30,14.3,92.3,50.9,23.7,26.3,37.9,5.6,-4
29,29,2/11/23,C,Little Rock,OVC,Tennessee Martin,A,"L, 84-61",73.1,109.8,78.9,77.3,37.7,11.4,21.6,7.8,106.4,51.5,16.5,21.1,32.3,0.9,-16
