#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/5/23,C,Long Beach St.,BW,Cal St. Northridge,A,"W, 84-74",121,112.5,69.4,121,52.3,17.3,50,40.6,106.6,46.8,14.4,32.5,35.5,69.9,11
2,2,11/7/22,N,Long Beach St.,BW,Cal Baptist,A,"W, 79-64",114.8,93.6,70.1,112.8,54,14.3,32.4,23.8,91.4,38.7,17.1,28.9,33.9,91.3,6
3,3,2/2/23,C,Long Beach St.,BW,Cal St. Fullerton,A,"W, 70-67",113.3,98.5,66.7,105,44.4,13.5,41.7,18.1,100.5,46,10.5,22,21,83.5,3
4,4,12/3/22,N,Long Beach St.,BW,Utah Valley,A,"L, 88-78",113.2,110,77,101.3,45.1,19.5,39.1,26.4,114.3,57,18.2,32.4,32.8,58,-5
5,5,1/21/23,C,Long Beach St.,BW,UC San Diego,A,"W, 112-110",112.6,111.6,71.2,114.4,50,18.4,44.2,37.1,112.4,53.2,11.2,19.1,46.8,52.5,2
6,6,2/4/23,C,Long Beach St.,BW,UC Irvine,H,"W, 93-88",112.3,106.1,74.7,110.7,45.1,21.4,47.7,52.1,104.7,50.7,13.1,21.6,28.6,65.8,-4
7,7,12/14/22,N,Long Beach St.,BW,USC,A,"L, 88-78",111.8,108.7,74.8,104.3,43.8,17.4,50,27.4,117.7,57.7,16.1,26.3,29.2,58.2,-7
8,8,2/11/23,C,Long Beach St.,BW,Cal St. Bakersfield,A,"W, 79-69",110.2,100.6,73.4,107.6,54,21.8,28.6,62,93.9,52.5,21.8,20,22,74.2,9
9,9,3/2/23,C,Long Beach St.,BW,Cal St. Bakersfield,H,"W, 77-61",109.4,94.3,70.6,109.1,48,21.3,43.8,87.8,86.4,48.3,25.5,27,17.2,84.6,13
10,10,11/27/22,N,Long Beach St.,BW,Vermont,N,"W, 78-58",109.1,77,72.2,108.1,62.7,20.8,25.9,18.6,80.4,41.5,23.6,16.7,32.1,98.2,11
11,11,2/25/23,C,Long Beach St.,BW,Cal St. Northridge,H,"W, 71-64",108.3,114.2,62.4,113.9,63.6,22.4,33.3,50,102.6,51.8,22.4,36.4,15.8,35.4,5
12,12,2/15/23,C,Long Beach St.,BW,UC Riverside,A,"L, 88-76",105.8,118,72.3,105.1,52.8,23.5,33.3,44.4,121.7,57.9,19.4,43.6,15.7,22.2,-7
13,13,2/23/23,C,Long Beach St.,BW,UC Santa Barbara,A,"L, 78-73",105.3,100.7,70.7,103.3,59.6,22.6,23.1,12.3,110.4,52.5,12.7,23.1,34.4,62.6,1
14,14,1/26/23,C,Long Beach St.,BW,Cal Poly,A,"W, 70-52",103.8,85.9,68,102.9,46.4,19.1,37.1,49.1,76.4,37.1,20.6,29.5,17.7,89.8,9
15,15,1/14/23,C,Long Beach St.,BW,Hawaii,A,"L, 79-70",103,103,75.7,92.5,41.7,14.5,30.4,22.2,104.3,44.5,18.5,39,42.2,50.1,0
16,16,11/11/22,N,Long Beach St.,BW,UCLA,A,"L, 93-69",102.9,103.5,81.1,85.1,40.9,21,27.9,28.8,114.7,52.7,18.5,40,22.7,48.5,-13
17,17,2/9/23,C,Long Beach St.,BW,UC Santa Barbara,H,"L, 75-72",102.7,101.7,69.3,103.9,50,21.6,41.9,26.2,108.2,54.4,17.3,32.3,33.3,52.9,2
18,18,12/21/22,N,Long Beach St.,BW,Idaho,H,"W, 82-75",102.6,104.7,73.8,111,57.4,23,38.7,55.6,101.6,52.6,19,21.2,38.6,44.2,7
19,19,1/7/23,C,Long Beach St.,BW,UC Irvine,A,"L, 87-70",102.5,116.9,72.2,97,41.2,15.2,39.5,29.4,120.5,60.1,19.4,35.3,5.8,18.1,-12
20,20,1/19/23,C,Long Beach St.,BW,Cal St. Fullerton,H,"W, 72-67",101.3,92.9,73.7,97.7,48.4,25.8,44.1,22.6,90.9,41.7,9.5,22.7,16.7,73.1,2
21,21,1/12/23,C,Long Beach St.,BW,Cal Poly,H,"W, 77-58",101.2,84.5,76.7,100.4,52.6,17,18.8,43.9,75.7,39.1,24.8,18.4,40,88.9,13
22,22,3/4/23,C,Long Beach St.,BW,UC Davis,A,"L, 93-92",100,99,75.1,98,47.5,17,30.2,33.3,99,41.7,18.1,28.6,55.6,53,-2
23,23,2/18/23,C,Long Beach St.,BW,Hawaii,H,"L, 70-67",98.9,109.6,68.8,97.4,45.8,16,28.6,26.7,101.7,53.8,20.3,28,35.8,23.4,-6
24,24,11/25/22,N,Long Beach St.,BW,Oakland,N,"W, 78-70",98.4,95.4,74.5,104.7,53.7,17.4,34.3,19.4,93.9,47.9,21.5,33.3,8.5,58.8,6
25,25,12/10/22,N,Long Beach St.,BW,Sacramento St.,A,"L, 76-74",98.4,109.5,71.7,103.3,50,14,30.6,24.6,106.1,62,26.5,24.1,22.2,22.7,-4
26,26,3/7/23,CT,Long Beach St.,BW,Cal Poly,N,"L, 88-68",97.4,125.2,74.8,90.9,41.8,18.7,24.4,58.2,117.6,60.2,21.4,34.5,37.3,5.3,-3
27,27,12/29/22,C,Long Beach St.,BW,UC San Diego,H,"L, 85-83",97,105.7,72.9,101.3,45.4,14.6,31.9,26.3,103.7,45.1,13.4,26.7,30.6,27.3,0
