#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Longwood,BSth,Radford,H,"W, 73-63",125.7,108.9,58.1,125.7,57.8,13.8,38.7,13.8,108.5,56.9,27.5,44,9.8,84,8
2,2,11/19/22,N,Longwood,BSth,Fairleigh Dickinson,H,"W, 99-83",125.6,123.6,68,145.6,77.4,8.8,19,50.9,122.1,58.2,11.8,25,24.6,54.5,8
3,3,12/20/22,N,Longwood,BSth,South Carolina St.,H,"W, 104-77",122.3,120.4,72.9,142.7,56.2,15.1,53.8,36.1,105.6,56.7,23.3,25.8,42.3,54.7,7
4,4,2/23/23,C,Longwood,BSth,Gardner Webb,A,"W, 75-63",116.5,96.1,67.9,110.4,50,16.2,30.6,39.7,92.7,46.2,20.6,28.6,44.2,90.2,9
5,5,11/18/22,N,Longwood,BSth,VMI,H,"W, 90-58",114,94.7,68.2,131.9,64.8,14.7,35.5,15.6,85,45.4,29.3,31.2,18.5,89.4,16
6,6,12/17/22,N,Longwood,BSth,The Citadel,A,"W, 75-70",112.5,115,63.8,117.5,50,17.2,40,41.1,109.7,59.4,17.2,17.9,18.9,43.7,6
7,7,12/29/22,C,Longwood,BSth,High Point,H,"W, 87-73",109.8,110.7,71.9,121,47,13.9,47.5,41.8,101.5,54.4,20.9,23.5,31.6,47.5,4
8,8,2/1/23,C,Longwood,BSth,Winthrop,A,"L, 76-74",109.3,110.2,64.3,115.1,56,14,29.4,25.9,118.2,63,23.3,26.1,43.5,47.7,7
9,9,1/4/23,C,Longwood,BSth,Charleston Southern,A,"W, 79-74",108,113.5,65.7,120.2,54.5,15.2,38.7,49.1,112.6,56.6,18.3,24.1,30.2,36,-1
10,10,2/25/23,C,Longwood,BSth,UNC Asheville,H,"L, 76-66",106.6,116.3,64.8,101.8,45.9,15.4,32.4,21.3,117.3,67,21.6,18.2,50,27,1
11,11,2/8/23,C,Longwood,BSth,Presbyterian,H,"W, 66-46",106.1,86,59.5,111,54.8,10.1,23.5,32.7,77.4,43.1,18.5,12.5,11.8,91.8,14
12,12,2/11/23,C,Longwood,BSth,High Point,A,"W, 70-67",105.8,102.8,65.1,107.5,41.5,10.7,31.7,42.4,102.9,49,24.6,37.1,47.1,58.2,7
13,13,2/4/23,C,Longwood,BSth,Campbell,H,"W, 74-50",105.4,77.3,66,112.1,60.9,21.2,25.9,16.4,75.8,39.3,21.2,24.4,21.4,97.2,14
14,14,11/11/22,N,Longwood,BSth,George Mason,A,"L, 83-69",104.8,123.3,69,100,50,17.4,24.3,28.8,120.3,63.2,15.9,27.6,47.2,13.3,-9
15,15,12/3/22,N,Longwood,BSth,Delaware St.,A,"W, 75-49",103.6,92.6,64.8,115.7,64.1,23.1,29.2,45.7,75.6,40.6,32.4,36.6,26.4,78.2,6
16,16,1/7/23,C,Longwood,BSth,Winthrop,H,"W, 85-71",103.4,104.7,70.5,120.5,59.3,24.1,50,28.8,100.7,60.6,29.8,28.6,44.7,46.5,-1
17,17,1/26/23,C,Longwood,BSth,Radford,A,"L, 63-59",101.5,104.7,59.3,99.4,50,23.6,38.2,3.4,106.1,50,11.8,29.4,17.5,41.2,-2
