#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/19/23,C,Louisiana Monroe,SB,Georgia Southern,A,"W, 72-59",128.4,102.2,58.8,122.3,57.3,13.6,38.2,6.5,100.3,44.3,11.9,32.5,13.1,93.3,9
2,2,12/31/22,C,Louisiana Monroe,SB,Arkansas St.,A,"W, 84-72",126.1,116.2,64.5,130.2,64.9,18.6,41.4,31.6,111.6,55.9,20.1,35.7,39.2,71.9,7
3,3,2/2/23,C,Louisiana Monroe,SB,Coastal Carolina,H,"W, 83-70",119,104,65.4,126.8,60.2,12.2,22.2,59.2,107,46,7.6,23.1,23.8,82.6,15
4,4,12/17/22,N,Louisiana Monroe,SB,Lamar,H,"W, 83-59",107.4,97.9,68.7,120.8,63.8,18.9,32.1,25.9,85.9,40.2,20.4,38.1,13.6,74.4,12
5,5,12/10/22,N,Louisiana Monroe,SB,Northwestern St.,A,"L, 91-73",105.6,124.9,69.7,104.7,50,25.8,40,80.4,130.5,51.3,11.5,49,33.3,12.7,-5
6,6,2/22/23,C,Louisiana Monroe,SB,Troy,H,"L, 82-78",105.5,108.6,68.1,101.9,51.6,18.3,18.9,22.2,107.1,50.7,14.4,31.7,29,41.8,1
7,7,1/7/23,C,Louisiana Monroe,SB,Southern Miss,H,"L, 65-60",104.2,103.2,60.7,98.8,46.6,21.4,37.1,15.5,107,44.2,16.5,45.9,21.7,52.7,1
8,8,1/26/23,C,Louisiana Monroe,SB,Marshall,A,"W, 86-82",103.4,92.3,68.2,100.9,49.3,27,43.8,35.2,96.2,47.3,15.3,21.3,24.3,78.7,-4
9,9,2/11/23,C,Louisiana Monroe,SB,Southern Miss,A,"L, 76-67",102.3,101.9,70.5,95,44.9,19.9,26.3,25.4,107.8,54.6,14.2,12.5,42.6,50.9,-2
10,10,1/5/23,C,Louisiana Monroe,SB,Georgia St.,H,"W, 66-58",100.5,93.4,65.1,101.4,46.8,7.7,18.4,17.5,89.1,39.6,23.1,29.4,47.9,69.8,10
11,11,2/24/23,C,Louisiana Monroe,SB,Arkansas St.,H,"L, 64-61",95.4,109.6,61.4,99.4,44,11.4,24.4,27.6,104.3,51,14.7,21.4,30,16.8,0
12,12,11/28/22,N,Louisiana Monroe,SB,Tulane,A,"L, 75-60",95,102.7,67.2,89.3,45.6,23.8,28.6,19.3,111.6,57.1,13.4,18.8,26.8,28.9,-5
13,13,1/14/23,C,Louisiana Monroe,SB,Texas St.,H,"W, 61-58",95,95.9,61.8,98.6,50,14.6,10.3,37.5,93.8,42.7,11.3,22.9,27.3,47.1,1
14,14,2/16/23,C,Louisiana Monroe,SB,Louisiana Lafayette,A,"L, 84-67",94.9,118.1,68.4,97.9,51,23.4,25,40.4,122.8,54.2,8.8,32.4,41.7,7.5,-19
15,15,1/12/23,C,Louisiana Monroe,SB,Louisiana Lafayette,H,"L, 86-73",94.8,113.5,74,98.6,49.2,13.5,18.4,27.4,116.2,70.2,27,33.3,44.2,11.3,-15
16,16,2/4/23,C,Louisiana Monroe,SB,South Alabama,H,"L, 72-64",94.3,106.3,68,94.1,42.9,11.8,14.3,33.9,105.9,50,13.2,21.9,37.5,20.1,-9
17,17,11/26/22,N,Louisiana Monroe,SB,Loyola MD,N,"L, 65-64",93.7,115.4,61.5,104.1,51.9,19.5,33.3,28.8,105.7,53.6,17.9,28.1,10.7,8.3,-6
18,18,12/14/22,N,Louisiana Monroe,SB,Sam Houston St.,H,"L, 79-53",91.9,112.4,67.6,78.4,45.3,26.6,13.8,51.2,116.9,60,26.6,51.6,20,9,-8
19,19,3/2/23,CT,Louisiana Monroe,SB,Georgia Southern,N,"L, 66-57",91.6,99.6,66.6,85.6,37.7,16.5,27.5,23,99.1,50.9,12,15.2,33.3,27.6,0
20,20,12/29/22,C,Louisiana Monroe,SB,Texas St.,A,"W, 57-53",90,83.7,62.9,90.7,33.3,14.3,35.1,60.8,84.3,33.9,19.1,35.1,33.9,69.7,2
21,21,2/18/23,C,Louisiana Monroe,SB,South Alabama,A,"L, 81-45",89.9,129.8,57,79,28.3,7,32.6,26.7,142.1,67.5,8.8,28,8.8,1.4,-15
22,22,1/21/23,C,Louisiana Monroe,SB,Troy,A,"L, 77-53",89.2,106.7,67.9,78.1,39.8,23.6,23.1,25.9,113.5,67,28,25,36.2,11.3,-4
23,23,11/17/22,N,Louisiana Monroe,SB,TCU,A,"L, 95-60",87.3,112.8,77.3,77.6,34.8,20.7,27.7,27.3,122.9,60.9,20.7,38.7,29.7,5,-21
24,24,11/25/22,N,Louisiana Monroe,SB,Nebraska Omaha,N,"L, 63-56",86.9,104.1,61.9,90.5,41.1,19.4,40,12.9,101.8,53.5,27.5,29.2,44.2,11.1,0
25,25,11/7/22,N,Louisiana Monroe,SB,Texas A&M,A,"L, 87-54",82.9,97.9,76.9,70.2,28.8,20.8,21.3,47.5,113.1,60.3,18.2,27.8,28.6,12.8,-14
26,26,11/21/22,N,Louisiana Monroe,SB,Louisiana Tech,A,"L, 79-58",82.6,105.8,72.3,80.2,46.4,26.3,23.7,25.5,109.2,54.4,27.6,44.8,33.3,5.5,-10
27,27,12/20/22,N,Louisiana Monroe,SB,Jacksonville,H,"L, 66-55",81.7,105.3,66.2,83.1,38.4,16.6,20.5,28.6,99.7,50.9,21.2,28.1,17.9,5.2,-7
28,28,1/28/23,C,Louisiana Monroe,SB,James Madison,A,"L, 58-45",77,84.6,64.5,69.7,42,26.3,15.6,10,89.9,46.3,20.1,25,22.2,25.3,-3
29,29,2/9/23,C,Louisiana Monroe,SB,Appalachian St.,H,"L, 52-45",74,90.3,61.2,73.6,29.7,14.7,31.8,23.7,85,45.8,18,11.8,29.2,9.2,-7
