#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Louisville,ACC,Miami FL,A,"L, 93-85",131.4,122.3,66.5,127.8,66.7,18,29.2,19.3,139.8,60.3,9,39.3,46.6,69.5,-5
2,2,12/14/22,N,Louisville,ACC,Western Kentucky,H,"W, 94-83",129.7,118.6,71.4,131.7,65.8,18.2,26.9,35.1,116.3,53.6,18.2,45,15.7,73.7,7
3,3,2/18/23,C,Louisville,ACC,Clemson,H,"W, 83-73",120,99.1,71.7,115.7,55.9,19.5,25,54.9,101.8,46.3,7,20.5,22.4,90.1,3
4,4,2/20/23,C,Louisville,ACC,Duke,A,"L, 79-62",118.1,116.5,60.7,102.2,51,19.8,30,19.2,130.3,56.8,9.9,38.7,30.5,53.8,-6
5,5,3/4/23,C,Louisville,ACC,Virginia,A,"L, 75-60",113.8,124,57.6,104.2,47.8,20.8,34.6,43.5,130.3,64,12.2,30.4,28,27,-12
6,6,1/11/23,C,Louisville,ACC,Clemson,A,"L, 83-70",111.9,111.9,68.4,102.3,49.1,21.9,29.7,42.6,121.3,60.4,16.1,26.9,43.4,50.2,-6
7,7,1/25/23,C,Louisville,ACC,Boston College,A,"L, 75-65",110.5,112.6,63.9,101.7,62.2,29.7,24,12.2,117.3,56.9,15.6,29.6,41.2,44.8,3
8,8,2/15/23,C,Louisville,ACC,Virginia,H,"L, 61-58",107.5,98.3,59.2,98,50,16.9,17.9,20,103.1,50,10.1,21.2,30.8,73.6,-1
9,9,12/31/22,N,Louisville,ACC,Kentucky,A,"L, 86-63",105.6,117.1,64.4,97.8,48.9,23.3,30.8,48.9,133.5,63.6,18.6,55.6,45.5,23.4,-12
10,10,3/7/23,CT,Louisville,ACC,Boston College,N,"L, 80-62",105,123.2,63.4,97.8,42,14.2,21.2,52,126.2,50.8,6.3,40.5,38.7,13.8,-4
11,11,2/4/23,C,Louisville,ACC,Florida St.,H,"L, 81-78",104,124,69.1,112.8,54.8,15.9,30.3,17.7,117.2,54.8,11.6,26.5,30.6,11.7,-9
12,12,1/7/23,C,Louisville,ACC,Wake Forest,H,"L, 80-72",103.9,120.1,66.1,109,51.7,21.2,39.5,33.9,121.1,64.5,16.6,27.6,25.5,15.9,-13
13,13,2/25/23,C,Louisville,ACC,Georgia Tech,A,"L, 83-67",103.1,119.4,68.1,98.4,47.5,20.6,38.9,19.7,121.9,58.9,14.7,23.3,39.3,15.6,-7
14,14,2/1/23,C,Louisville,ACC,Georgia Tech,H,"W, 68-58",103,93.4,64.9,104.8,53.3,23.1,31,56.5,89.4,35.2,7.7,24.5,39.3,75.6,3
15,15,11/23/22,N,Louisville,ACC,Cincinnati,N,"L, 81-62",100.2,105.2,69.2,89.6,46.1,21.7,20,41.2,117.1,62.9,14.5,20.7,8.1,36.4,-5
16,16,12/22/22,C,Louisville,ACC,North Carolina St.,A,"L, 76-64",99.9,99.1,68.7,93.2,55.6,27.7,22.2,53.3,110.6,50,11.6,30.8,33.9,52.5,-6
17,17,11/9/22,N,Louisville,ACC,Bellarmine,H,"L, 67-66",97.7,116.9,61.5,107.2,52.9,21.1,30.3,26.9,108.9,57,17.9,12,51.2,11.3,-6
18,18,12/20/22,N,Louisville,ACC,Lipscomb,H,"L, 75-67",97,111.2,68.9,97.3,44.6,14.5,19.4,37.5,108.9,55.7,20.3,36.7,16.4,17.1,-5
19,19,2/7/23,C,Louisville,ACC,Pittsburgh,A,"L, 91-57",94.1,125.9,64,89,36.2,20.3,37.2,31,142.1,71.6,21.9,41.7,39.2,3.4,-16
20,20,2/28/23,C,Louisville,ACC,Virginia Tech,H,"L, 71-54",94.1,109,59.2,91.3,43.9,20.3,40,15.8,120,45.3,8.4,42.9,26.6,15.5,-7
21,21,1/28/23,C,Louisville,ACC,Notre Dame,A,"L, 76-62",93.3,118.7,63,98.4,53.7,19,23.3,13,120.6,53.1,4.8,22.9,15.6,5.9,-15
22,22,1/3/23,C,Louisville,ACC,Syracuse,H,"L, 70-69",93.1,93.6,72.3,95.4,51.6,29,39.5,15.9,96.8,47.2,20.7,30.3,46.3,48.6,0
23,23,1/14/23,C,Louisville,ACC,North Carolina,H,"L, 80-59",92.4,102.4,71.6,82.4,38,19.5,25,51.9,111.7,53.5,19.5,32.3,40.4,23.5,-6
24,24,11/12/22,N,Louisville,ACC,Wright St.,H,"L, 73-72",92.1,95.7,77,93.5,55.1,24.7,13.8,13.6,94.8,51.5,16.9,18.4,16.9,39.4,2
25,25,11/21/22,N,Louisville,ACC,Arkansas,N,"L, 80-54",91.7,100.8,70.4,76.7,40.9,31.2,24.1,56.8,113.6,64.7,22.7,26.1,37.3,25.3,-8
