#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/31/23,C,Loyola Chicago,A10,Dayton,A,"L, 85-81",126.3,113.8,62,116.2,60.2,20.1,25.8,20.3,121.9,57.4,11.5,26.7,57.4,76.8,-2
2,2,3/4/23,C,Loyola Chicago,A10,La Salle,A,"W, 76-73",118.1,109.5,65,117,59.1,20,36,23.6,112.4,66,20,13,20,70.5,5
3,3,11/30/22,N,Loyola Chicago,A10,Central Arkansas,H,"W, 85-70",117.3,114.7,66.1,128.5,65.5,16.6,26.9,30.9,105.9,54.5,18.1,25.7,23.2,56.5,8
4,4,12/31/22,C,Loyola Chicago,A10,George Washington,H,"L, 97-87",115.6,132.1,70.6,123.3,58.1,14.2,35.3,16.2,137.5,74,22.7,40,50,17.7,-4
5,5,1/7/23,C,Loyola Chicago,A10,George Mason,A,"L, 86-75",113.8,118.8,71.7,104.6,52.5,15.3,20.6,30.5,119.9,56.5,11.2,27,40.3,38,-1
6,6,12/10/22,N,Loyola Chicago,A10,Clemson,N,"W, 76-58",113.4,81.3,69.7,109.1,68.8,25.8,4.5,25,83.3,41.7,20.1,21.2,29.6,97.9,7
7,7,3/1/23,C,Loyola Chicago,A10,Rhode Island,H,"L, 79-77",113,133.1,66.2,116.3,55.5,10.6,19.4,40,119.3,50.8,12.1,35.3,35,13.2,-6
8,8,1/10/23,C,Loyola Chicago,A10,VCU,H,"L, 78-64",109.8,115.5,66.1,96.8,57.8,33.3,34.8,37.8,118,61.9,18.2,26.1,85.7,35.8,-4
9,9,2/4/23,C,Loyola Chicago,A10,George Mason,H,"W, 69-61",108.3,98,65.3,105.7,48.1,9.2,14.3,44.4,93.4,36,15.3,28.9,64,75.8,5
10,10,2/8/23,C,Loyola Chicago,A10,Saint Joseph's,H,"L, 83-71",107.6,119.1,68,104.4,56.7,22.1,24.1,34.6,122,50.7,11.8,41.9,29.4,23.7,0
11,11,12/3/22,N,Loyola Chicago,A10,DePaul,H,"L, 78-72",107.4,108.6,61,105,60.4,23.3,28.6,24.5,113.7,55.5,13.1,9.7,34.5,46.9,6
12,12,1/21/23,C,Loyola Chicago,A10,St. Bonaventure,H,"W, 67-55",105.1,96.2,62.5,107.2,56.7,19.2,19.2,48.9,88,34.4,16,38.6,29.5,73.3,2
13,13,2/11/23,C,Loyola Chicago,A10,Richmond,A,"L, 74-71",105,110.5,68.6,103.5,61.5,21.9,14.8,21.2,107.8,60.4,23.3,16,39.6,35.8,-5
14,14,12/6/22,N,Loyola Chicago,A10,Green Bay,H,"W, 70-46",104.7,91.3,59.5,117.7,58.3,18.5,39.3,18.5,77.4,30.5,16.8,34.1,22,82.8,13
15,15,2/22/23,C,Loyola Chicago,A10,Fordham,H,"L, 71-69",101.6,104,70.3,98.2,47.2,17.1,26.5,54.7,101,48.1,19.9,26.5,55.8,43.2,0
16,16,12/18/22,N,Loyola Chicago,A10,Albany,H,"W, 68-56",99.4,97.3,61.5,110.5,56.2,21.1,37,41.7,91,39.8,17.9,28.2,33.3,56,9
17,17,2/14/23,C,Loyola Chicago,A10,Massachusetts,A,"W, 64-62",98.3,86.7,69.8,91.6,49,24.3,25,43.1,88.8,48.2,24.3,28.6,19.3,81,8
18,18,1/25/23,C,Loyola Chicago,A10,Duquesne,A,"L, 72-58",98.2,98.3,65.7,88.2,52.9,27.4,20.7,15.7,109.5,50.9,16.7,32.4,24.1,49.9,2
