#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Loyola MD,Pat,Lehigh,A,"W, 91-82",130,134.3,67.2,135.5,61.7,11.9,35.5,36.7,122.1,58.8,8.9,7.7,49,40.7,-3
2,2,2/15/23,C,Loyola MD,Pat,Lafayette,H,"W, 73-70",119.1,119.2,63.6,114.8,61.7,17.3,12.5,36.2,110.1,54.5,17.3,30.3,30.9,49.7,7
3,3,11/30/22,N,Loyola MD,Pat,Binghamton,A,"W, 84-70",115.5,114.1,67.5,124.5,65.8,17.8,25.9,21.1,103.8,52.5,22.2,38.7,18.6,53.5,1
4,4,1/14/23,C,Loyola MD,Pat,Navy,H,"W, 69-67",115.1,123.2,58.2,118.5,61.3,20.6,30.8,9.4,115.1,56.9,17.2,40,33.3,31.3,-5
5,5,2/22/23,C,Loyola MD,Pat,Holy Cross,H,"W, 90-68",112,101.1,75.5,119.3,57.9,17.2,33.3,14.3,90.1,49.2,21.2,24.4,20.6,76.4,14
6,6,2/25/23,C,Loyola MD,Pat,American,H,"W, 83-77",109.3,120.7,61.5,120,55.8,7.2,21.6,38.3,111.3,44.5,17.4,45.9,37.5,24.2,-2
7,7,11/26/22,N,Loyola MD,Pat,Louisiana Monroe,N,"W, 65-64",108.5,107.6,61.5,105.7,53.6,17.9,28.1,10.7,104.1,51.9,19.5,33.3,28.8,52.4,6
8,8,1/28/23,C,Loyola MD,Pat,Bucknell,H,"W, 80-66",106.2,103.2,70.1,114.2,59.8,17.1,23.1,49,94.2,50,28.6,34.2,18.6,58.1,5
9,9,11/10/22,N,Loyola MD,Pat,Penn St.,A,"L, 90-65",106.1,120,65,100,51.8,13.8,15.2,17.9,138.5,71.9,12.3,19.2,19.3,19.5,-12
10,10,2/4/23,C,Loyola MD,Pat,Boston University,H,"L, 68-67",103.1,117.7,63,106.3,55.5,20.6,33.3,20,107.9,58.5,22.2,25.9,15.1,18,1
11,11,3/2/23,CT,Loyola MD,Pat,Colgate,A,"L, 92-73",101.1,123.5,69.9,104.4,54.9,17.2,21.2,14.8,131.5,70.5,14.3,16.7,28.6,9.1,-16
12,12,2/8/23,C,Loyola MD,Pat,Army,A,"L, 76-70",100.7,107.7,69.5,100.7,55.6,18.7,18.5,27.8,109.3,57.3,20.1,33.3,41.8,31.6,0
13,13,1/11/23,C,Loyola MD,Pat,Bucknell,A,"W, 67-57",100.3,91.5,65,103.1,56.2,21.5,24.1,43.8,87.7,42.9,24.6,28.1,38.8,74.1,6
14,14,1/30/23,C,Loyola MD,Pat,Colgate,A,"L, 76-63",99.8,109.7,63.3,99.5,46.5,15.8,29.7,29.8,120,68.1,17.4,16.7,38.3,25.2,-7
15,15,12/13/22,N,Loyola MD,Pat,UMBC,H,"L, 72-69",99.7,111.1,64.9,106.3,50.8,20,37.8,16.1,110.9,51.7,13.9,35.3,28.8,22.3,0
16,16,11/13/22,N,Loyola MD,Pat,Brown,H,"W, 75-70",99.6,97,76.7,97.8,51,20.9,14.3,68,91.3,67,30,17.9,68.2,57.4,1
17,17,12/30/22,C,Loyola MD,Pat,Colgate,H,"L, 101-67",97.8,138.6,67.8,98.9,52.6,22.1,24.2,12.1,149,79.3,13.3,25,19,1.8,-18
18,18,2/28/23,CT,Loyola MD,Pat,Holy Cross,H,"W, 73-69",96.1,103.3,73.1,99.9,47.5,16.4,26.3,31.1,94.4,44.2,9.6,20,21.7,30.5,7
19,19,1/16/23,C,Loyola MD,Pat,Lehigh,H,"L, 74-70",95.2,111.3,71.8,97.5,46.8,18.1,29.7,24.2,103.1,52,20.9,14.3,48,14.2,-1
20,20,11/7/22,N,Loyola MD,Pat,DePaul,A,"L, 72-66",94.6,106.1,67.8,97.3,48.3,20.6,35,28.3,106.2,50,19.2,34.3,31,21.2,-9
21,21,1/8/23,C,Loyola MD,Pat,Holy Cross,A,"L, 63-55",91.9,115.6,58.7,93.7,45.3,23.9,38.9,26.4,107.3,55.8,11.9,20,19.2,6.7,-2
22,22,2/18/23,C,Loyola MD,Pat,Navy,A,"L, 65-53",91.8,102.4,62,85.6,40.2,19.4,30,43.1,104.9,47.1,14.5,27.3,42.3,22.3,-2
23,23,12/3/22,N,Loyola MD,Pat,Coppin St.,H,"L, 74-71",89.5,108.8,72.4,98.1,53.7,20.7,28.1,40.7,102.3,59.6,23.5,13.8,15.8,9.6,2
24,24,12/7/22,N,Loyola MD,Pat,Hampton,A,"L, 66-61",86,101.7,66.9,91.2,50.9,25.4,27.3,12.7,98.7,44.5,26.9,45.7,40,12.6,2
