#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Loyola Marymount,WCC,Pacific,H,"W, 90-88",126.5,131.5,67.2,134,63.3,11.9,38.7,36.7,131,69.2,11.9,12,44.2,39.1,-6
2,2,2/9/23,C,Loyola Marymount,WCC,Saint Mary's,H,"W, 78-74",123,101.4,62.5,111,55.4,19.9,30,35.7,105.3,46.9,17.1,41.7,26.2,90.2,-5
3,3,1/14/23,C,Loyola Marymount,WCC,San Diego,H,"W, 98-84",122.9,115.3,71.7,136.7,67.2,15.3,34.6,37.9,117.1,52.3,9.8,25,32.3,67.6,5
4,4,12/29/22,C,Loyola Marymount,WCC,Portland,A,"W, 92-72",119.9,89.6,75.1,122.5,66.9,14.6,18.8,40.7,95.9,46.8,12,20,43.5,96.6,13
5,5,11/12/22,N,Loyola Marymount,WCC,UC Davis,H,"W, 85-75",115.9,102.1,74.1,114.7,55,14.8,34.2,17.1,101.2,54.2,18.9,22.2,33.9,81.2,8
6,6,1/12/23,C,Loyola Marymount,WCC,Saint Mary's,A,"L, 76-62",113.9,110.2,63.3,98,48.1,14.2,18.8,34.6,120.1,51.7,9.5,32.4,36.2,59.4,-9
7,7,12/18/22,N,Loyola Marymount,WCC,Cleveland St.,H,"W, 70-59",113.4,93,62.6,111.9,50.8,16,43.6,25.8,94.3,37.3,11.2,37.2,28.6,90.7,10
8,8,11/25/22,N,Loyola Marymount,WCC,Bellarmine,H,"W, 80-59",111.2,96.3,66,121.2,56.5,13.6,25,46.3,89.4,48,22.7,25.9,25.5,84,8
9,9,2/11/23,C,Loyola Marymount,WCC,Santa Clara,A,"L, 71-69",111,101.8,65.2,105.8,42.7,16.9,43.2,27.4,108.8,56.7,16.9,8,53.3,73,-2
10,10,11/18/22,N,Loyola Marymount,WCC,Georgetown,N,"W, 84-66",110.8,101.4,70.4,119.4,56.7,15.6,35.1,16.4,93.8,40.5,15.6,22.9,34.5,73.5,1
11,11,2/4/23,C,Loyola Marymount,WCC,San Diego,A,"L, 87-79",110.4,117.7,68.4,115.5,54.6,16.1,43.6,23.1,127.2,62.5,19,22.2,68.8,32.4,-1
12,12,1/28/23,C,Loyola Marymount,WCC,Pepperdine,H,"W, 84-70",108.9,95.3,74.7,112.5,60.5,21.4,29.4,45.6,93.7,43.3,13.4,13.5,31.7,82.2,8
13,13,1/19/23,C,Loyola Marymount,WCC,Gonzaga,A,"W, 68-67",108.5,83.7,66.3,102.5,53.5,24.1,35.3,21.1,101,48.1,12.1,21.2,42.6,95.2,0
14,14,2/25/23,C,Loyola Marymount,WCC,Pepperdine,A,"W, 75-67",108.5,95.6,69.1,108.6,50.9,15.9,33.3,46.6,97,54.4,23.2,27.3,15.8,81.1,5
15,15,1/26/23,C,Loyola Marymount,WCC,Portland,H,"W, 79-60",107.5,92.9,66.3,119.1,60.7,22.6,42.9,30.4,90.5,42.7,18.1,27.8,32.7,84.3,3
16,16,1/7/23,C,Loyola Marymount,WCC,San Francisco,H,"L, 72-70",107.1,102.4,66.9,104.7,58.5,25.4,25,44.7,107.6,60,17.9,14.3,14.5,62.7,2
17,17,11/10/22,N,Loyola Marymount,WCC,UC Riverside,H,"L, 81-79",105.5,104.6,75.3,105,57.9,15.9,14.7,15.9,107.6,55.5,19.9,25,52.7,52.3,7
18,18,3/4/23,CT,Loyola Marymount,WCC,BYU,N,"L, 73-63",104.9,110.4,63.8,98.8,45.8,20.4,40.5,21.7,114.5,61.9,23.5,26.1,61.9,35.9,-7
19,19,11/30/22,N,Loyola Marymount,WCC,Colorado St.,A,"L, 87-71",104.8,112.4,70.2,101.2,50.8,12.8,19.4,19.4,124,61.3,5.7,9.4,25.8,31,-6
20,20,12/21/22,N,Loyola Marymount,WCC,Tulsa,H,"W, 76-64",103.7,101.7,68.2,111.5,51.5,16.1,42.1,17.6,93.9,47.3,17.6,22.9,28.6,55.4,5
21,21,12/10/22,N,Loyola Marymount,WCC,Utah St.,N,"L, 79-67",103.6,95.1,71.6,93.6,43,15.4,14.7,42.1,110.4,50,9.8,22.6,57.4,72.9,-1
22,22,12/3/22,N,Loyola Marymount,WCC,Nevada,H,"W, 64-52",103.3,80.7,63.9,100.2,48.2,20.4,34.4,28.6,81.4,38.2,14.1,13.9,29.4,94.5,4
23,23,12/7/22,N,Loyola Marymount,WCC,Grand Canyon,A,"W, 69-65",102.7,88.4,67.2,102.7,58.5,25.3,28.6,18.9,96.8,45.9,20.8,36.6,26.2,84.9,4
24,24,11/20/22,N,Loyola Marymount,WCC,Wake Forest,N,"W, 77-75",100.4,89.9,69.4,98.7,54.2,23.1,21.6,28.3,96.1,52.5,23.1,25.7,31.7,78.1,1
25,25,11/23/22,N,Loyola Marymount,WCC,Morgan St.,H,"W, 81-80",99.7,118.4,69.2,104,52.6,21.8,38.2,54.4,102.8,55,27,34.4,35,12.2,-4
