#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/18/22,N,Maine,AE,Columbia,H,"W, 93-70",128.5,121.8,66.2,140.6,72.3,12.1,26.1,26.8,105.8,49.2,21.2,37.8,21.3,65,10
2,2,11/30/22,N,Maine,AE,Fordham,A,"L, 72-67",110.4,107.6,65.8,101.8,54.6,24.3,27.3,24.1,109.4,52.9,19.8,35.5,42.3,57.3,3
3,3,11/14/22,N,Maine,AE,Boston College,A,"W, 69-64",109.8,95.4,66.1,104.4,49.1,16.6,26.5,25.9,96.9,45.7,9.1,21.6,32.8,83.4,6
4,4,1/22/23,C,Maine,AE,Binghamton,H,"W, 78-57",109.5,93.7,66.4,117.4,54,13.6,32.4,19,85.8,45.8,28.6,27.6,31.2,85.7,11
5,5,2/4/23,C,Maine,AE,UMBC,H,"W, 84-49",109.1,79.7,67.7,124,62.5,17.7,31,20,72.4,44,31,26.5,20,97.4,12
6,6,1/25/23,C,Maine,AE,UMass Lowell,H,"W, 75-70",109,99.8,68.7,109.2,59.2,18.9,20,44.9,101.9,45.8,24.7,42.1,35.6,73.4,3
7,7,12/28/22,N,Maine,AE,Harvard,H,"L, 74-73",108.5,115.6,60.9,106.6,50,10.2,25,11.9,108.1,53.3,17.5,32.4,24.6,32.7,-1
8,8,1/14/23,C,Maine,AE,UMBC,A,"L, 85-77",108.2,113.9,70.7,108.9,57.8,15.6,9.7,19,120.2,61.2,18.4,25,65.3,35.7,6
9,9,1/5/23,C,Maine,AE,UMass Lowell,A,"L, 72-70",104.4,104.4,67.2,104.1,50,17.8,26.5,29.8,107.1,55,22.3,33.3,48,50,-4
10,10,2/22/23,C,Maine,AE,New Hampshire,A,"L, 74-62",103.8,130.1,60.1,103.1,52.9,16.6,26.7,21.2,123.1,56.9,13.3,25,37.3,7,-6
11,11,1/8/23,C,Maine,AE,NJIT,H,"L, 91-83",103.8,125.6,68,108.6,53,13.1,22.5,23.9,119,57.6,11.8,28.2,42.4,10.1,1
12,12,2/8/23,C,Maine,AE,Vermont,H,"L, 74-65",103.1,116.5,62.1,104.7,54.9,14.5,10.7,21.6,119.2,48.3,4.8,30.8,38.3,19.8,-8
13,13,1/28/23,C,Maine,AE,Albany,A,"W, 72-68",101.4,116.6,63.2,113.9,55.5,11.1,17.9,21.8,107.6,59,23.7,26.9,24,16.8,-3
14,14,11/7/22,N,Maine,AE,Nebraska,A,"L, 79-66",100.4,111,69.7,94.7,58.2,21.5,15.2,18.2,113.4,51.5,18.7,42.1,24.6,23.9,-9
15,15,2/18/23,C,Maine,AE,Albany,H,"W, 74-72",100.2,111.1,67.8,109.1,53.9,17.7,20,45.1,106.1,63,22.1,8.3,20,23.4,7
16,16,11/27/22,N,Maine,AE,Brown,A,"L, 70-63",96.8,107.9,67.5,93.3,54.5,20.7,12.9,8.9,103.7,52.6,16.3,24.3,24.1,22.4,-7
17,17,12/21/22,N,Maine,AE,Ohio St.,A,"L, 95-61",96.1,121.2,68.6,88.9,43.8,19,25.6,9.4,138.5,67.2,10.2,37,10.4,6.5,-16
18,18,12/4/22,N,Maine,AE,Marist,N,"L, 62-61",95.6,107.7,62.2,98,44.7,19.3,37.1,24.6,99.6,54.9,24.1,28.6,15.7,20.1,-2
19,19,11/23/22,N,Maine,AE,Central Connecticut,A,"W, 66-58",93.8,93.1,66,100.1,51.8,21.2,30,20,87.9,56.4,30.3,20.7,25.5,52.1,6
20,20,2/28/23,C,Maine,AE,Bryant,H,"W, 66-64",89.9,90.9,71.5,92.4,51.8,22.4,18.8,23.2,89.6,44,16.8,31,14.9,46.8,3
21,21,3/4/23,CT,Maine,AE,UMass Lowell,A,"L, 85-54",89.5,125.2,63.6,84.9,43.8,23.6,36.4,17.9,133.6,63,18.9,52.2,37,2.1,-15
22,22,1/11/23,C,Maine,AE,New Hampshire,H,"L, 71-58",88.4,118.1,64.8,89.5,43.6,17,19.4,23.6,109.5,58.3,21.6,25.8,45.8,3.5,-6
23,23,2/25/23,C,Maine,AE,Binghamton,A,"W, 71-67",86.1,93.8,68.7,91.8,38.6,16.8,31.9,32.9,86.7,46.2,20.7,27.5,18.5,27.2,-5
24,24,12/19/22,N,Maine,AE,Akron,A,"L, 87-55",82.1,111.8,71.7,76.8,52.2,32.1,10.7,26.1,121.4,64,22.3,34.6,28.1,2.8,-15
25,25,12/11/22,N,Maine,AE,Merrimack,A,"W, 50-47",81,85.2,64.2,77.8,36.1,21.8,28.6,22.2,73.2,47.7,35.8,23.1,18.2,35.7,-1
26,26,1/19/23,C,Maine,AE,Vermont,A,"L, 66-45",78.8,99.3,60.8,74,42.9,23,15.6,8.2,108.6,53.8,16.4,23.3,22.6,6.5,-10
27,27,2/1/23,C,Maine,AE,Bryant,A,"L, 71-53",77.7,102.6,68.4,77.5,47.8,26.3,10,35.6,103.8,51.7,21.9,31.2,18.6,3.9,-9
28,28,2/11/23,C,Maine,AE,NJIT,A,"L, 65-50",72,101.7,66.9,74.7,42.3,19.4,14.7,25,97.1,50,26.9,34.5,26.4,1.8,-8
