#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/24/23,C,Marist,MAAC,Manhattan,A,"W, 81-58",122.2,108,61.3,132.1,62.5,16.3,44.8,32.1,94.6,35.9,9.8,37.8,26.6,80.5,5
2,2,3/9/23,CT,Marist,MAAC,Quinnipiac,N,"W, 75-59",114.3,93,64.7,116,56.4,20.1,33.3,27.3,91.3,39.2,12.4,31.9,20,91.5,8
3,3,3/4/23,C,Marist,MAAC,Quinnipiac,H,"L, 88-76",111.9,138.5,65.7,115.8,52.4,15.2,36.8,24.2,134,64.8,12.2,29,21.3,7.9,-10
4,4,1/15/23,C,Marist,MAAC,Niagara,A,"W, 66-64",111.8,111.5,58.3,113.3,61.1,12,0,31.1,109.8,61,17.2,18.2,8,50.6,2
5,5,3/2/23,C,Marist,MAAC,Iona,A,"L, 93-74",111,121.2,71.9,102.9,55.9,20.9,25.7,23.7,129.4,54.1,9.7,40.5,20.5,26.7,-11
6,6,1/13/23,C,Marist,MAAC,Canisius,A,"W, 76-58",108.4,94.4,65.9,115.4,63.3,18.2,12,34.7,88.1,42.2,13.7,20,24.1,83,4
7,7,12/19/22,C,Marist,MAAC,Manhattan,H,"L, 80-69",107.6,148.5,59.8,115.3,51.9,16.7,36.7,29.6,133.7,67.3,20.1,40,34.7,2.4,-9
8,8,3/10/23,CT,Marist,MAAC,Saint Peter's,N,"W, 69-57",105.7,93.6,64.4,107.1,45.5,18.6,36.4,95.5,88.5,30.9,9.3,38.5,33.8,80.1,11
9,9,2/5/23,C,Marist,MAAC,Canisius,H,"W, 75-67",104.3,100.6,69.1,108.6,48.3,15.9,35.3,39.7,97,42.5,10.1,21.4,16.4,60.4,6
10,10,12/22/22,C,Marist,MAAC,Rider,A,"L, 77-71",103,113.5,66.9,106.1,51.6,17.9,36.1,19.4,115.1,54.2,13.5,28.1,28.8,24.8,-4
11,11,1/31/23,C,Marist,MAAC,Quinnipiac,A,"L, 72-66",101.3,101.1,68.2,96.7,51.7,17.6,25.8,13.3,105.5,61.3,22,19.2,22.6,50.5,4
12,12,11/12/22,N,Marist,MAAC,Binghamton,H,"L, 78-75",101.2,124.1,68.7,109.2,48.3,13.1,20,34.5,113.6,54.5,20.4,37.8,44.6,8.7,-5
13,13,11/9/22,N,Marist,MAAC,American,H,"W, 73-69",99.8,109.2,67.5,108.1,62,17.8,19.4,25.9,102.2,54.1,22.2,29.4,8.2,26.2,0
14,14,12/10/22,N,Marist,MAAC,Boston University,H,"L, 72-70",99.2,119.2,67.1,104.3,46,8.9,21.1,25.4,107.3,51.7,14.9,28.6,27.6,10.9,-3
15,15,1/8/23,C,Marist,MAAC,Mount St. Mary's,H,"W, 63-56",98.2,100.6,61.8,102,50.9,19.4,33.3,22.2,90.7,48,25.9,27.6,15.7,43.2,1
16,16,12/4/22,N,Marist,MAAC,Maine,N,"W, 62-61",97.5,103.4,62.2,99.6,54.9,24.1,28.6,15.7,98,44.7,19.3,37.1,24.6,33.5,2
17,17,2/12/23,C,Marist,MAAC,Siena,A,"L, 73-65",97.5,111.7,67.4,96.4,44.9,13.3,27,32.2,108.3,49.1,19.3,36.1,49.1,17.3,-6
18,18,2/17/23,C,Marist,MAAC,Fairfield,H,"L, 70-61",96.1,113.1,64.3,94.9,50,17.1,21.2,24.1,108.9,57.6,23.3,29.6,52.2,13.4,0
19,19,3/7/23,CT,Marist,MAAC,Manhattan,N,"W, 61-50",93.9,82.9,63.7,95.8,44.6,14.1,23.1,30.4,78.6,36.1,18.9,34.1,18,80.8,9
20,20,11/22/22,N,Marist,MAAC,Maryland Eastern Sho,A,"L, 70-59",93.1,119.3,65.8,89.6,44,21.3,24.2,38,106.4,48.4,19.8,38.5,26.2,5.5,-8
21,21,1/6/23,C,Marist,MAAC,Iona,H,"L, 84-57",92.2,118.8,66.7,85.5,41.8,15,15.8,29.1,125.9,60.8,9,25.8,12.3,5.1,-13
