#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/29/22,N,Marquette,BE,Baylor,H,"W, 96-70",142.1,86.3,69.4,138.3,68.3,13,25,25,100.8,56.2,28.8,42.9,17.9,99.7,17
2,2,12/27/22,C,Marquette,BE,Seton Hall,H,"W, 83-69",138,105.1,65.8,126.1,61.5,10.6,27.6,18,104.8,52.8,22.8,38.2,40.7,95.8,8
3,3,3/10/23,CT,Marquette,BE,Connecticut,N,"W, 70-68",132.5,100.4,58.9,118.9,57.8,15.3,27.6,27.5,115.5,50,15.3,45.7,25.4,96,2
4,4,1/3/23,C,Marquette,BE,St. John's,A,"W, 96-85",131.9,110.7,76,126.3,61.3,18.4,35.3,41.9,111.8,57.6,21.1,36.1,21.2,88.3,1
5,5,12/6/22,N,Marquette,BE,North Carolina Centr,H,"W, 90-78",131.9,107.1,73.2,123,71.1,21.9,22.2,28.1,106.6,53.2,21.9,38.2,19,91.6,16
6,6,3/4/23,C,Marquette,BE,St. John's,H,"W, 96-94",130.9,114,78.9,121.6,58.6,10.1,22.2,43.8,119.1,60.9,24.1,36.7,28.1,83.1,7
7,7,1/28/23,C,Marquette,BE,DePaul,A,"W, 89-69",128.4,103.5,67.4,132,65.9,14.8,37.5,19,102.3,52.7,17.8,18.8,23.2,92.3,5
8,8,1/18/23,C,Marquette,BE,Providence,H,"W, 83-75",128,103.8,65.8,126.2,60,13.7,33.3,36.4,114,50.8,19.8,47.1,31.1,91.8,6
9,9,1/11/23,C,Marquette,BE,Connecticut,H,"W, 82-76",127.9,99.2,69.1,118.7,55.9,15.9,32.3,32.2,110,53.3,23.2,42.4,25,94.9,0
10,10,2/25/23,C,Marquette,BE,DePaul,H,"W, 90-84",125.7,109.1,73.2,123,58.1,12.3,29.4,37.1,114.8,57.5,23.2,43.3,36.7,83.5,12
11,11,2/28/23,C,Marquette,BE,Butler,A,"W, 72-56",125.5,90,63,114.3,62,20.6,29.2,9.3,88.9,45.1,20.6,22.6,27.5,97.9,12
12,12,12/11/22,N,Marquette,BE,Notre Dame,A,"W, 79-64",125.2,101.3,61.4,128.6,52.2,4.9,39.5,19.4,104.2,50.9,16.3,25.7,21.8,91.9,6
13,13,2/11/23,C,Marquette,BE,Georgetown,A,"W, 89-75",121.8,100.1,73.6,120.9,63.4,19,33.3,10.4,101.9,50,21.7,30.6,39.7,90.5,11
14,14,11/15/22,N,Marquette,BE,Purdue,A,"L, 75-70",121,95,66.4,105.4,45.1,12,34.1,9.7,112.9,56.2,9,20,32.1,94.2,2
15,15,12/20/22,C,Marquette,BE,Providence,A,"L, 103-98",120.1,105.9,68.5,114.4,56.7,15.2,28.6,25.3,120.3,52.3,18.7,46.2,75.4,80.9,0
16,16,1/21/23,C,Marquette,BE,Seton Hall,A,"W, 74-53",120.1,79.7,67.4,109.8,62,25.2,25.9,16.7,78.6,52.7,38.6,27.3,54.1,99.1,8
17,17,12/3/22,N,Marquette,BE,Wisconsin,H,"L, 80-77",119.5,118.3,61.2,111.9,59.4,17.4,24.1,37.7,116.2,61,21.8,34.5,22,52.7,-4
