#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Marshall,SB,Troy,H,"W, 88-78",125.1,108.1,72.9,120.8,57.9,17.8,37.5,28.6,107.1,51.4,12.4,30,18.6,84.3,10
2,2,12/17/22,N,Marshall,SB,Toledo,H,"W, 100-85",124,104.6,74,135.2,54.8,9.5,37.5,32.9,114.9,52.1,10.8,35.6,25.4,87.6,3
3,3,12/3/22,N,Marshall,SB,Ohio,H,"W, 83-69",120.9,92.5,68.5,121.1,51.3,8.8,42.2,14.5,100.7,48.5,19,35.9,9,95.6,16
4,4,1/28/23,C,Marshall,SB,Georgia St.,H,"W, 103-65",120.5,89.1,81,127.2,64.8,17.3,32.3,43.8,80.3,35.2,28.4,44.9,51.6,97,20
5,5,1/19/23,C,Marshall,SB,Texas St.,A,"W, 81-73",119.8,109.1,66.8,121.3,67,18,13,32,109.3,51.8,18,35.5,37.5,74.6,3
6,6,1/12/23,C,Marshall,SB,Southern Miss,H,"W, 89-67",119.6,91.8,74.6,119.4,55.7,14.8,35,27.1,89.9,43.9,20.1,37.2,25.8,95.5,8
7,7,12/8/22,N,Marshall,SB,Duquesne,A,"W, 82-71",115.7,92.4,73.3,111.8,50.7,12.3,36.6,22.2,96.8,42.5,23.2,49,23.3,93,7
8,8,11/14/22,N,Marshall,SB,Tennessee Tech,H,"W, 91-65",115.4,94.8,73,124.6,55.7,13.7,46.3,6.3,89,49.2,21.9,21.6,23.7,90.6,14
9,9,12/29/22,C,Marshall,SB,Appalachian St.,H,"W, 79-53",115.1,88.4,67.1,117.7,57.9,19.4,42.4,14.3,79,39.6,13.4,12.5,43.4,95.4,7
10,10,2/22/23,C,Marshall,SB,James Madison,A,"W, 92-83",114,99.1,83.6,110.1,51.6,14.4,21.6,54,99.3,47.9,16.7,25,26.4,83.3,2
11,11,2/11/23,C,Marshall,SB,Georgia St.,A,"W, 88-77",113.3,109.7,75.5,116.5,58.9,19.9,31.2,27.4,102,51.6,19.9,34.5,34.4,59,4
12,12,11/26/22,N,Marshall,SB,Morehead St.,H,"W, 83-59",112.4,93.8,70.2,118.3,60.3,18.5,33.3,14.3,84.1,39.2,24.2,35.7,28.3,88.9,6
13,13,3/4/23,CT,Marshall,SB,Texas St.,N,"L, 71-68",112.1,114.9,60.8,111.9,52.8,11.5,27.6,25.9,116.9,58.8,14.8,25,10.5,43.1,2
14,14,1/5/23,C,Marshall,SB,Georgia Southern,A,"L, 81-76",111.7,125,68.6,110.7,53.8,13.1,25.6,20,118,59.8,16,41.9,27.9,21.5,-8
15,15,1/21/23,C,Marshall,SB,Arkansas St.,A,"W, 87-78",111.5,108.3,66.9,115.5,54.7,10.6,20,32.8,103.6,50,22.6,40,20.6,58.3,4
16,16,2/9/23,C,Marshall,SB,Coastal Carolina,A,"W, 92-74",110.8,95.2,77.1,119.4,55.2,11.7,33.3,14.3,96,45.2,18.2,28.9,36.5,85,11
17,17,11/21/22,N,Marshall,SB,Chicago St.,H,"W, 82-70",110.4,110.1,67,122.5,50,14.9,50,18.3,104.5,50,16.4,31.4,16.1,50.7,5
18,18,11/7/22,N,Marshall,SB,Queens,A,"L, 83-82",109.3,109.2,73.3,111.9,50.6,10.9,33.3,5.1,113.2,55.1,23.2,44.7,17.6,50.1,1
19,19,1/14/23,C,Marshall,SB,Old Dominion,H,"W, 73-65",108.4,103.2,66.4,110,55.1,15.1,31.4,27.1,97.9,57.3,27.1,22.2,31.2,63.8,3
20,20,12/13/22,N,Marshall,SB,UNC Greensboro,A,"L, 75-67",108,106.2,68.9,97.2,41.7,13.1,38.8,22.2,108.8,52.4,21.8,40.5,17.5,54.9,-1
21,21,11/17/22,N,Marshall,SB,Miami OH,A,"W, 95-69",106.5,85.9,83.2,114.2,65.9,22.8,31.4,25.8,82.9,35.4,21.6,26.7,43.1,92.1,11
22,22,2/2/23,C,Marshall,SB,Appalachian St.,A,"W, 66-58",104.9,88.9,66.4,99.5,41.1,15.1,31,29,87.4,44.6,19.6,26.3,23.2,87.1,5
23,23,2/16/23,C,Marshall,SB,Georgia Southern,H,"W, 84-83",104.6,110,80.6,104.2,52.7,14.9,11.4,67.3,103,51.8,21.1,25.7,62.5,36,-3
24,24,1/7/23,C,Marshall,SB,Coastal Carolina,H,"W, 81-66",99.5,93.4,72.8,111.2,47,17.8,45.5,38.8,90.6,44.3,19.2,29.8,10,67.5,8
25,25,12/10/22,N,Marshall,SB,Robert Morris,A,"W, 69-60",98.5,80.6,74.4,92.7,53.6,29.6,31,23.6,80.6,38.5,20.2,27.3,21.5,90.8,12
26,26,11/30/22,N,Marshall,SB,Akron,H,"W, 68-57",98,75.4,71.2,95.5,47.5,15.5,21.1,24.6,80.1,37.3,14,30,15.5,95.3,10
27,27,2/24/23,C,Marshall,SB,Old Dominion,A,"L, 71-67",97.5,98.5,71.7,93.4,42.9,15.3,13.9,39.3,99,45.5,18.1,36.2,28.8,47.2,1
28,28,1/26/23,C,Marshall,SB,Louisiana Monroe,H,"L, 86-82",96.5,107.1,68.2,96.2,47.3,15.3,21.3,24.3,100.9,49.3,27,43.8,35.2,23.2,4
29,29,11/19/22,N,Marshall,SB,Coppin St.,H,"W, 86-67",96.1,93.4,79.1,108.8,48.1,13.9,40.4,20.3,84.7,47.3,25.3,14.3,32.1,58.1,9
30,30,2/4/23,C,Marshall,SB,Louisiana Lafayette,A,"L, 77-67",92.6,99.9,72.5,92.4,44.4,16.6,20.5,25.8,106.2,53.4,23.5,48.5,44.8,29.6,-10
31,31,12/31/22,C,Marshall,SB,James Madison,H,"L, 72-66",90.9,98.5,73.9,89.2,44.4,17.6,27.9,33.3,97.4,57.8,23,16.7,45.1,28.5,-5
