#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/25/23,C,Massachusetts,A10,Richmond,H,"W, 85-76",121.7,117.6,68.6,123.9,52.6,10.2,29.4,48.3,110.8,48.2,11.7,21.6,43.9,59.7,1
2,2,1/4/23,C,Massachusetts,A10,Saint Louis,H,"W, 90-81",115.9,99.8,77.4,116.3,53.8,11.6,23.1,41.5,104.7,58.3,18.1,20.6,35,84.7,5
3,3,2/4/23,C,Massachusetts,A10,Davidson,H,"L, 93-78",114,131.3,68.9,113.2,55.9,11.6,17.2,23.7,135,67.8,14.5,28,25.4,16.5,-6
4,4,11/7/22,N,Massachusetts,A10,Central Connecticut,H,"W, 94-67",110.5,107.2,73.3,128.3,59.9,17.7,44.4,16.9,91.4,47.7,17.7,22,9.1,58.8,7
5,5,1/11/23,C,Massachusetts,A10,La Salle,H,"L, 78-77",109.7,115.9,68.2,112.9,54.1,22,48.6,27.9,114.4,60.7,20.5,31,11.5,34.7,1
6,6,2/11/23,C,Massachusetts,A10,La Salle,A,"L, 86-72",109.1,118,69.1,104.2,45.1,20.3,41.7,31.1,124.5,62.5,14.5,25.8,25,28.9,1
7,7,2/8/23,C,Massachusetts,A10,Fordham,A,"L, 77-67",106.9,112,67.8,98.7,53.9,20.6,20,35.3,113.5,43.9,14.7,38.5,59.6,36.8,-2
8,8,12/2/22,N,Massachusetts,A10,Harvard,A,"W, 71-68",106.9,106.5,67.9,104.5,47.6,16.2,30.8,25.4,100.1,52.2,25,33.3,62.2,51,-4
9,9,1/28/23,C,Massachusetts,A10,Duquesne,H,"W, 87-79",106.5,94.3,82.2,105.8,44.5,18.2,38.1,60.9,96,46.4,15.8,24.4,30,80.1,5
10,10,3/1/23,C,Massachusetts,A10,Duquesne,A,"L, 88-79",106.5,113.8,75.2,105,50.8,27.9,48.6,29.7,117,56.7,16,26.5,40,31.8,-9
