#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/5/23,C,McNeese St.,Slnd,Northwestern St.,H,"W, 92-77",128.3,111.5,68.8,133.7,66.9,21.8,37,22,111.9,58.7,21.8,34.5,42.3,83.3,12
2,2,11/28/22,N,McNeese St.,Slnd,Tennessee Martin,A,"L, 86-83",113.6,128.1,69.3,119.8,59.5,14.4,39.5,42.9,124.1,57.8,11.5,27.8,50,20,-4
3,3,12/31/22,C,McNeese St.,Slnd,Lamar,A,"W, 81-62",113.1,103.7,65.8,123.1,61.1,18.2,37.1,14.3,94.2,46.6,21.3,18.8,63.6,73,10
4,4,3/5/23,CT,McNeese St.,Slnd,Texas A&M Commerce,N,"W, 79-78",109.6,121.6,66.7,118.4,54.2,13.5,38.2,39,116.9,52.5,12,27.8,33.3,23.2,1
5,5,2/11/23,C,McNeese St.,Slnd,New Orleans,A,"W, 79-78",107.9,127.2,66.7,118.4,56.7,19.5,31,46.2,116.9,62.3,24,42.3,32.1,13.1,-11
6,6,3/6/23,CT,McNeese St.,Slnd,Nicholls St.,N,"W, 77-71",107.6,109.1,69.2,111.3,60,33.2,55.2,52,102.6,56.5,18.8,19.4,31.5,45.8,3
7,7,12/15/22,N,McNeese St.,Slnd,Louisiana Lafayette,H,"L, 78-70",107.3,108.7,66.6,105.1,46.2,16.5,36.6,18.2,117.1,67.3,22.5,29.2,36.7,46.3,-2
8,8,1/7/23,C,McNeese St.,Slnd,Texas A&M Commerce,H,"L, 82-80",106.2,121.7,62.1,114.4,52.9,14.3,34.2,8.6,117.3,58.8,20,33.3,36.8,17.2,4
9,9,1/28/23,C,McNeese St.,Slnd,Texas A&M Corpus Chr,A,"L, 83-72",105.1,117.9,68.1,105.8,56.8,25,36.4,16.9,122,59.8,19.1,32.1,51,21,-6
10,10,1/14/23,C,McNeese St.,Slnd,Houston Christian,H,"L, 90-81",103.1,132.6,69.3,116.9,56.9,14.4,30.6,15.4,129.9,66,18.8,24,54,5.2,-1
11,11,2/25/23,C,McNeese St.,Slnd,Southeastern Louisia,A,"L, 78-75",102.7,106.5,63.6,104.8,47.7,19.6,35,22.7,109,45.1,9.8,37,26.8,39.8,5
12,12,1/12/23,C,McNeese St.,Slnd,Northwestern St.,A,"L, 89-75",101,112.4,75.3,99.6,48.2,22.6,27.8,56.4,118.2,62.7,31.9,58.6,45.5,22.5,-2
13,13,1/19/23,C,McNeese St.,Slnd,Nicholls St.,A,"L, 73-64",100.3,119.3,63.4,101,47.3,20.5,35.1,28.6,115.2,53.9,7.9,29.3,20.3,11.9,-4
14,14,11/23/22,N,McNeese St.,Slnd,Baylor,A,"L, 89-60",99.2,103.7,68.3,87.8,47.1,30.7,36.1,30.8,130.2,66.7,16.1,34.5,28.3,37.4,-8
15,15,3/1/23,C,McNeese St.,Slnd,New Orleans,H,"W, 80-73",98.5,114.5,71.8,111.5,48.5,19.5,50,40,101.7,55.4,19.5,12.9,23.2,15,-6
16,16,1/21/23,C,McNeese St.,Slnd,Nicholls St.,H,"L, 71-68",98.1,117.3,65.7,103.5,56,21.3,17.9,32,108.1,61.8,24.4,26.9,19.6,11.4,-4
17,17,2/23/23,C,McNeese St.,Slnd,Houston Christian,A,"L, 85-80",97.3,118.6,72.8,109.9,53.7,11,23.1,20.9,116.8,53.1,11,28.9,35.4,9.3,-2
18,18,12/18/22,N,McNeese St.,Slnd,Southern Miss,A,"L, 86-67",96.8,108.6,74.8,89.6,45,20.1,23.1,30,115,56.1,18.7,33.3,25.8,20.9,-8
19,19,11/18/22,N,McNeese St.,Slnd,Western Carolina,H,"L, 88-69",95.3,139.1,67.3,102.5,47.4,16.3,29.3,39.7,130.7,69,17.8,35.7,62,1.3,-16
20,20,3/7/23,CT,McNeese St.,Slnd,Texas A&M Corpus Chr,N,"L, 80-63",95.2,118,65.7,95.8,36.7,22.8,50,40,121.7,47.1,9.1,42.5,24.6,7.8,-7
21,21,2/16/23,C,McNeese St.,Slnd,Incarnate Word,H,"W, 78-76",95,111.6,66.9,103.6,52,21.3,29.2,62,101,49.1,19.9,25,47.4,13.5,-1
22,22,2/9/23,C,McNeese St.,Slnd,Southeastern Louisia,H,"W, 69-66",94.1,97.7,68.8,100.2,50,21.8,34.3,35.7,95.9,50.8,8.7,8.3,21.7,39.4,3
23,23,1/26/23,C,McNeese St.,Slnd,Incarnate Word,A,"L, 70-65",93.4,111.4,66.6,97.6,45.3,16.5,35.7,17.2,105.1,53.1,21,22.2,46.9,11.6,-2
24,24,12/21/22,N,McNeese St.,Slnd,Houston,A,"L, 83-44",91.2,112.6,61.6,71.5,42.9,26,18.2,10.2,134.8,63.9,19.5,50,16.4,8.1,-16
25,25,11/20/22,N,McNeese St.,Slnd,Lamar,H,"W, 66-57",90.3,98.2,65.5,100.8,52.8,22.9,32.4,30.2,87.1,42.6,22.9,34.2,11.5,27.5,4
26,26,2/2/23,C,McNeese St.,Slnd,Lamar,H,"L, 70-63",86.8,110.3,68.2,92.3,40.5,17.6,31.9,30.2,102.6,46.2,22,34.4,41.5,6,3
27,27,2/4/23,C,McNeese St.,Slnd,Texas A&M Commerce,A,"L, 60-58",84,92.9,65.5,88.5,36.6,12.2,26.8,48.2,91.6,42.9,16.8,23.5,23.2,23.9,1
28,28,11/11/22,N,McNeese St.,Slnd,Tulane,A,"L, 75-58",83.3,94.3,73.6,78.8,43,21.7,19.5,9.4,101.9,53.8,20.4,22.6,45.3,19.4,-7
29,29,12/9/22,N,McNeese St.,Slnd,Northern Iowa,A,"W, 52-49",81.4,77.5,63.4,82,50,33.1,30,16.7,77.2,35.5,28.4,42.9,30.9,63.6,1
30,30,11/19/22,N,McNeese St.,Slnd,Lindenwood,H,"L, 78-60",81.1,121.6,69.6,86.2,41.8,25.9,28.9,34.5,112.1,59.6,14.4,18.8,26.3,0.9,-8
31,31,11/30/22,N,McNeese St.,Slnd,Tennessee,A,"L, 76-40",80.7,100.5,65.7,60.9,30.4,36.5,43.9,19.6,115.7,52.8,16.7,45.9,63,7.5,-13
32,32,2/18/23,C,McNeese St.,Slnd,Texas A&M Corpus Chr,H,"L, 77-54",80,107.1,68.8,78.5,35.2,18.9,31.8,24.6,111.9,50.9,20.4,29,40,3.4,-7
33,33,12/11/22,N,McNeese St.,Slnd,Iowa St.,A,"L, 77-40",79.1,102.5,66,60.6,46.1,45.5,29.6,28.9,116.7,63.6,21.2,27.6,21.8,4.8,-11
