#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/11/23,C,Memphis,Amer,UCF,A,"L, 107-104",131,114.5,69.7,119.3,55.1,16.1,31.4,44.9,122.8,53.6,20.7,40.5,53.6,82.4,1
2,2,1/19/23,C,Memphis,Amer,Wichita St.,H,"W, 88-78",130.6,111.6,69.2,127.2,63.4,17.4,39.3,41.1,112.8,52.7,18.8,31.2,42.9,85.9,3
3,3,2/8/23,C,Memphis,Amer,South Florida,A,"W, 99-81",129.9,102.4,77.6,127.6,57.4,10.3,26.5,35.3,104.4,54.5,21.9,28.1,52.7,93.9,10
4,4,2/23/23,C,Memphis,Amer,Wichita St.,A,"W, 83-78",127.9,109.2,68.6,121,63.2,20.4,29.6,41.5,113.7,52.2,10.2,32.4,17.9,86,1
5,5,2/12/23,C,Memphis,Amer,Temple,H,"W, 86-77",125.6,108.4,69.9,123.1,63.3,12.9,25,26.7,110.2,61.1,22.9,22.2,24.1,84.5,5
6,6,12/13/22,N,Memphis,Amer,Alabama,A,"L, 91-88",124.7,96.8,83.4,105.5,43.7,12,33.3,31.6,109.1,57.4,22.8,30.3,74.1,94.8,-2
7,7,1/26/23,C,Memphis,Amer,SMU,H,"W, 99-84",123,101.9,82.5,120.1,61.1,15.8,21.9,47.6,101.9,43,13.3,32,46.5,89.7,13
8,8,12/17/22,N,Memphis,Amer,Texas A&M,H,"W, 83-79",121.6,94.9,75.5,110,60.6,19.9,21.4,57.7,104.7,44.8,22.5,42.9,56.9,94.5,5
9,9,3/10/23,CT,Memphis,Amer,UCF,N,"W, 81-76",120.8,99.7,72.3,112.1,55.1,12.5,18.8,33.9,105.1,48.5,22.1,43.2,26.2,90.2,4
10,10,11/7/22,N,Memphis,Amer,Vanderbilt,A,"W, 76-67",120.6,87.2,66.1,115,55.7,19.7,33.3,35.8,101.4,51.8,19.7,27.8,26.8,97.7,11
11,11,1/22/23,C,Memphis,Amer,Cincinnati,A,"W, 75-68",117,87.9,70.2,106.9,52.9,18.5,25.9,46.2,96.9,45,17.1,28.9,35,96.4,6
12,12,12/10/22,N,Memphis,Amer,Auburn,N,"W, 82-73",116.4,87,77.6,105.6,53.3,24.5,40,41.7,94,42.9,19.3,27.5,38.1,96.6,5
13,13,11/25/22,N,Memphis,Amer,Nebraska,N,"W, 73-61",115.9,91.8,66,110.7,56.8,19.7,33.3,18.6,92.5,52,30.3,36.7,23.5,93.6,7
