#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/21/22,N,Mercer,SC,Troy,A,"W, 82-79",128.6,115.7,67.6,121.4,64.2,20.7,37.5,34,117,54.2,13.3,30,30,77.2,4
2,2,12/17/22,N,Mercer,SC,Morehead St.,H,"W, 79-52",128.2,93.1,60.2,131.2,67.3,14.9,23.8,30.6,86.4,36,21.6,26.5,65.1,97.5,13
3,3,11/8/22,N,Mercer,SC,East Carolina,A,"L, 77-75",117.4,113.7,66.9,112,55.4,16.4,34.3,41.1,115,55.2,20.9,40,36.2,59,5
4,4,12/28/22,C,Mercer,SC,Samford,A,"L, 78-69",113.6,123.8,60.4,114.3,57.7,19.9,34.6,23.1,129.2,62.5,14.9,32.1,32.7,27.1,-6
5,5,11/19/22,N,Mercer,SC,Winthrop,H,"W, 77-68",106.9,103.2,64.8,118.8,59.8,13.9,25.8,26.8,104.9,50.9,17,23.5,33.3,60,5
6,6,1/28/23,C,Mercer,SC,The Citadel,A,"W, 74-65",106.4,110.6,64.2,115.3,50.9,9.3,36.7,53.7,101.3,48.2,7.8,8.6,28.6,39.1,2
7,7,2/25/23,C,Mercer,SC,The Citadel,H,"W, 72-50",105.8,92.2,61.2,117.7,61.5,18,31,26.9,81.8,36,14.7,26.8,24.6,82.9,10
8,8,11/21/22,N,Mercer,SC,Florida St.,A,"L, 81-72",104.8,116.2,68.5,105.1,47,10.2,26.3,22.7,118.2,52.5,10.2,35.3,41.7,23.2,-4
9,9,2/15/23,C,Mercer,SC,Wofford,A,"L, 70-67",104.6,109.4,60.3,111.2,53,19.9,37,34,116.2,60,14.9,17.4,48.9,37.5,0
10,10,11/15/22,N,Mercer,SC,Georgia St.,A,"L, 85-83",103.5,113.4,70.4,104.7,55.1,21.5,35.5,52.5,107.3,46.2,15.1,31.7,43.9,25.8,-1
11,11,2/4/23,C,Mercer,SC,VMI,H,"W, 80-54",103.3,94.6,65.5,122.1,54.5,3.1,24.4,19.4,82.4,49,29,20.7,12,73.4,9
12,12,1/14/23,C,Mercer,SC,East Tennessee St.,A,"W, 68-55",103.2,95.1,62.5,108.9,51.7,11.2,24.2,13.6,88.1,42.9,27.2,33.3,30.6,71.9,2
