#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/29/22,N,Miami OH,MAC,Jackson St.,H,"W, 95-78",135.9,125.8,66.1,143.7,72.7,10.6,18.2,30.9,118,55.7,21.2,47.1,24.6,70.9,12
2,2,12/14/22,N,Miami OH,MAC,Cincinnati,A,"L, 103-76",123.7,136.8,68,111.7,54.8,25,42.9,40.4,151.4,73.3,13.2,36.4,28.3,23.9,-13
3,3,1/24/23,C,Miami OH,MAC,Akron,A,"L, 73-68",119.7,114.7,59.3,114.7,58.7,18.6,26.9,43.5,123.1,54.7,15.2,35.5,32.1,61.9,-1
4,4,11/26/22,N,Miami OH,MAC,Little Rock,H,"W, 80-67",117.1,108.6,62.6,127.8,64.6,19.2,28,41.7,107.1,51.9,17.6,30,25.9,70.5,12
5,5,2/7/23,C,Miami OH,MAC,Western Michigan,H,"W, 85-78",113.2,119.8,67.2,126.4,52.7,10.4,32.3,51.8,116,57.3,16.4,33.3,19.4,34.3,6
6,6,2/28/23,C,Miami OH,MAC,Western Michigan,A,"W, 77-62",110.6,101.7,62.8,122.6,58,14.3,25,46,98.7,43.3,17.5,37.5,23.3,72.5,8
7,7,2/25/23,C,Miami OH,MAC,Ohio,H,"W, 85-68",110.5,96.1,71.3,119.2,70.6,29.5,36.8,31.4,95.4,43.7,14,31,33.3,83.3,4
8,8,1/31/23,C,Miami OH,MAC,Toledo,H,"L, 81-78",108.7,109.3,66.5,117.3,62.1,16.5,31,19,121.8,58.6,12,27.3,15.6,48.3,-5
9,9,12/22/22,N,Miami OH,MAC,Wright St.,H,"L, 88-80",108.3,124.9,72,111.2,59.8,22.2,29,13.1,122.3,60.5,16.7,30,24.2,16.3,-5
10,10,1/10/23,C,Miami OH,MAC,Buffalo,H,"W, 91-80",108,103.2,81,112.3,60.8,27.2,36.7,35,98.8,49.1,21,34.3,65.5,62.7,3
11,11,2/14/23,C,Miami OH,MAC,Toledo,A,"L, 89-71",106.1,119.1,64.5,110.1,55,14,22.6,10,138,56.7,7.8,32.3,69.2,20.9,-12
12,12,3/9/23,CT,Miami OH,MAC,Toledo,N,"L, 91-75",104.8,119,67.4,111.3,47.4,17.8,36.4,38.6,135,65.5,14.8,35.7,47.3,18.9,-12
13,13,12/17/22,N,Miami OH,MAC,Bellarmine,A,"W, 71-67",104.3,106,64.9,109.3,52.2,23.1,29,65.2,103.2,64.6,27.7,11.1,34.1,45.4,0
14,14,1/17/23,C,Miami OH,MAC,Northern Illinois,H,"L, 81-77",103.8,122,70.9,108.5,54.4,18.3,23.3,31.6,114.2,59.1,16.9,30,47.3,13.5,-5
15,15,1/7/23,C,Miami OH,MAC,Kent St.,H,"L, 69-66",102,96.3,69.6,94.9,50,27.3,30,25.9,99.2,47.4,17.2,29.7,34.5,65.9,0
16,16,2/4/23,C,Miami OH,MAC,Ohio,A,"L, 78-68",100.3,108.1,67.4,100.9,45.5,16.3,27.8,45.5,115.8,48.3,10.4,30.3,43.1,29.8,-5
17,17,3/3/23,C,Miami OH,MAC,Buffalo,A,"L, 68-63",100,101.5,65.1,96.8,52,15.4,6.9,25.5,104.5,44.1,15.4,36.1,32.2,45.6,1
18,18,11/14/22,N,Miami OH,MAC,Georgia,A,"L, 77-70",97.5,110.2,71.5,97.9,50.9,22.4,25,21.1,107.7,45.7,25.2,48.6,51.7,19.6,-9
19,19,2/11/23,C,Miami OH,MAC,Central Michigan,H,"L, 66-60",97.1,117.6,61.6,97.5,48.9,13,10,42.6,107.2,46.8,21.1,44.1,74.5,10,5
20,20,11/7/22,N,Miami OH,MAC,Evansville,H,"L, 78-74",93.9,126.6,73,101.4,48.3,17.8,25.7,33.3,106.8,52.5,16.4,27.3,33.3,3.1,-6
21,21,2/21/23,C,Miami OH,MAC,Bowling Green,H,"W, 74-65",93.7,96.5,71,104.2,52.7,22.5,32.3,32.1,91.5,47.2,22.5,27.3,40.7,41.6,2
22,22,1/21/23,C,Miami OH,MAC,Bowling Green,A,"L, 83-73",93.6,120.6,71,102.8,51.6,16.9,25.7,26.2,116.9,63.5,25.4,30.4,50,5.1,-12
23,23,11/20/22,N,Miami OH,MAC,Indiana,N,"L, 86-56",89.6,107.6,70.9,79,39.7,19.7,30.4,7.4,121.3,54.8,15.5,40,38.1,10.8,-11
24,24,1/28/23,C,Miami OH,MAC,Eastern Michigan,H,"L, 74-69",88.9,107.7,71.3,96.8,52.7,26.7,29.4,29.1,103.8,49.1,15.4,21.9,36.8,10,-1
25,25,11/17/22,N,Miami OH,MAC,Marshall,H,"L, 95-69",87.3,107.5,83.2,82.9,35.4,21.6,26.7,43.1,114.2,65.9,22.8,31.4,25.8,8.4,-11
26,26,2/18/23,C,Miami OH,MAC,Northern Illinois,A,"W, 66-65",86,93.3,65.7,89.3,49.1,23,20.6,25,87.9,49.2,24.4,21.6,22,28.2,-9
27,27,1/3/23,C,Miami OH,MAC,Central Michigan,A,"L, 68-56",85.9,105,68.1,82.2,38.1,20.5,30.2,28.8,99.8,39.3,22,45,57.1,9.1,3
28,28,1/14/23,C,Miami OH,MAC,Ball St.,A,"L, 75-61",85.2,106.1,69,88.4,43.4,13,17.9,24.6,108.7,50,10.1,25.6,42.4,7.4,-12
29,29,12/3/22,N,Miami OH,MAC,Indiana St.,H,"L, 88-61",80.2,112.5,76,80.3,36.6,21.1,17.5,44.6,115.8,62.3,17.1,19.4,24.6,2,-19
