#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/4/23,C,Michigan St.,B10,Ohio St.,H,"W, 84-78",135,108.5,64.6,130,66,12.4,21.4,37.7,120.7,57.8,12.4,23.3,20.7,92.6,7
2,2,2/25/23,C,Michigan St.,B10,Iowa,A,"L, 112-106",134,115.6,72.4,130.1,69.4,18.4,17.4,66.7,137.4,62,11,36.6,33.3,84.5,1
3,3,2/18/23,C,Michigan St.,B10,Michigan,A,"L, 84-72",126.1,114.2,64.9,111,53.4,12.3,20,16.9,129.5,56.8,13.9,42.4,35.6,75.7,2
4,4,2/21/23,C,Michigan St.,B10,Indiana,H,"W, 80-65",125.9,97.9,64.8,123.4,56.4,15.4,34.5,34.5,100.3,53,20.1,17.9,32,94.8,3
5,5,1/10/23,C,Michigan St.,B10,Wisconsin,A,"W, 69-65",123.6,104.7,61.4,112.3,60.2,22.8,21.1,38.6,105.8,53.6,8.1,9.4,14.5,87.1,1
6,6,11/18/22,N,Michigan St.,B10,Villanova,H,"W, 73-71",122.2,101.6,63.4,115.1,63.9,18.9,21.4,11.1,111.9,52.8,9.5,13.8,35.8,89.3,7
7,7,2/28/23,C,Michigan St.,B10,Nebraska,A,"W, 80-67",122.1,106.4,65.7,121.7,57.8,15.2,34.3,10.9,101.9,58.2,21.3,15.4,30.6,83.1,-5
8,8,1/19/23,C,Michigan St.,B10,Rutgers,H,"W, 70-57",121.6,95.1,63.2,110.7,58.2,15.8,20,12.7,90.2,35.9,17.4,39.1,23.4,94.4,2
9,9,11/27/22,N,Michigan St.,B10,Portland,A,"W, 78-77",121.5,114.1,63,123.9,59.3,12.7,35.7,18.6,122.3,53.3,7.9,24.2,19.7,67.3,1
10,10,1/3/23,C,Michigan St.,B10,Nebraska,H,"W, 74-56",120.6,86.5,64.2,115.3,53.8,14,40,9.2,87.3,43.6,14,20,36.4,97.9,12
