#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/2/23,C,Middle Tennessee,CUSA,UTEP,H,"W, 84-72",122.5,110.6,70,120,64.9,20,34.6,26.3,102.8,48.2,20,34.4,40.4,76.4,6
2,2,2/9/23,C,Middle Tennessee,CUSA,Western Kentucky,A,"L, 93-89",122.4,133.8,71.2,125,63.5,19.7,40.6,22.2,130.6,60,16.9,34.6,52.7,26.5,-8
3,3,3/9/23,CT,Middle Tennessee,CUSA,Charlotte,N,"W, 66-65",113.9,110.2,58.3,113.2,53.8,12,28.6,22.6,111.5,63,18.9,16.7,8,59.4,-2
4,4,12/21/22,N,Middle Tennessee,CUSA,Murray St.,H,"W, 83-67",113.6,98.5,68.6,121,63.2,17.5,29.2,24.6,97.7,56.7,27.7,20,44.4,83.8,9
5,5,11/15/22,C,Middle Tennessee,CUSA,Rice,H,"W, 81-46",113.6,71.7,65.6,123.5,63.4,15.2,29,32.1,70.1,41.9,27.4,10.3,37.2,99.5,19
6,6,12/29/22,C,Middle Tennessee,CUSA,Charlotte,A,"L, 82-67",113,120.4,63.5,105.4,48.3,17.3,34.5,19,129,66,17.3,30.4,53.2,32.6,-3
7,7,2/16/23,C,Middle Tennessee,CUSA,Florida Atlantic,H,"W, 74-70",112.6,91.1,71.2,103.9,49.2,12.6,28.9,26.6,98.3,58.5,21.1,14.7,11.9,92,5
8,8,1/26/23,C,Middle Tennessee,CUSA,Florida Atlantic,A,"L, 85-67",112.3,110.4,68.2,98.2,52.4,22,27,6.5,124.6,60.3,10.3,23.3,34.5,55,-5
9,9,1/21/23,C,Middle Tennessee,CUSA,Louisiana Tech,A,"W, 68-51",109.7,78.7,63,108,63.5,22.2,12.5,16.7,81,41.8,23.8,22.6,26.5,97.9,12
10,10,3/10/23,CT,Middle Tennessee,CUSA,Florida Atlantic,N,"L, 68-65",109,104.1,62.5,104,42.1,12.8,36.6,22.2,108.8,52.2,17.6,25,56.5,63.1,-7
11,11,2/11/23,C,Middle Tennessee,CUSA,UAB,A,"L, 92-69",108.3,129.6,66.5,103.8,48.2,18.1,25.7,38.2,138.4,61.1,13.5,50,33.3,11.3,-18
12,12,11/25/22,N,Middle Tennessee,CUSA,Hofstra,N,"W, 64-54",106.9,76.2,65,98.4,45.3,16.9,37.8,10.9,83.1,42.3,21.5,20,23.1,98,11
13,13,11/27/22,N,Middle Tennessee,CUSA,Montana St.,N,"W, 72-71",106.9,98.5,71.5,100.7,54.1,23.8,25,49,99.3,62,32.2,26.3,34.8,72,0
14,14,1/5/23,C,Middle Tennessee,CUSA,UTSA,A,"L, 75-72",106.8,121,63.7,113,60.6,22,34.5,30.8,117.7,50,12.6,37.5,49.1,19.3,-4
15,15,11/30/22,N,Middle Tennessee,CUSA,St. Bonaventure,A,"L, 71-64",105.5,107.6,65.4,97.9,48.3,18.3,38.9,31,108.6,55.6,22.9,32,66.7,44.3,2
16,16,11/26/22,N,Middle Tennessee,CUSA,Stephen F. Austin,N,"W, 75-63",105.1,85,73.7,101.7,60.2,29.8,29.2,65.9,85.5,42.6,27.1,33.3,23,92,8
17,17,12/10/22,N,Middle Tennessee,CUSA,Belmont,A,"W, 85-75",104.7,92.4,69.6,108.6,50.7,15.3,41.5,43.5,95.8,50,21.7,27.9,42.6,80.8,0
18,18,12/15/22,N,Middle Tennessee,CUSA,Chattanooga,H,"L, 82-73",104.3,123.8,66,110.6,52.4,7.6,18.2,17.7,124.2,67.4,25.7,40,58.7,12.3,-8
19,19,2/4/23,C,Middle Tennessee,CUSA,UTSA,H,"W, 84-59",103.4,92,71.8,117,50.7,16.7,47.6,23.6,82.2,42.7,27.9,33.3,32.7,79.4,5
20,20,1/28/23,C,Middle Tennessee,CUSA,FIU,A,"L, 82-74",101.8,114.1,72.5,102,55.6,22.1,23.5,38.9,113.1,59.6,26.2,34.4,29.8,21.1,-6
21,21,2/25/23,C,Middle Tennessee,CUSA,Louisiana Tech,H,"W, 63-49",101.4,74.8,63.2,99.8,49,17.4,27.3,34.6,77.6,29.7,12.7,36,14.5,97.1,14
22,22,1/16/23,C,Middle Tennessee,CUSA,UAB,H,"W, 74-73",100.9,90.2,67.9,96.8,48.3,20.9,25,35,95.5,34.8,15.7,45.8,31.6,78.3,1
23,23,1/11/23,C,Middle Tennessee,CUSA,Rice,A,"W, 71-68",100.7,103.6,65.7,108.1,57.1,16.7,29,23.2,103.5,50.8,21.3,33.3,22,41.9,-4
24,24,3/4/23,C,Middle Tennessee,CUSA,UTEP,A,"L, 77-65",97.9,113.6,70.3,92.5,49.1,27,37.8,33.9,109.6,59.6,27,32.1,34.6,15.4,-7
25,25,1/7/23,C,Middle Tennessee,CUSA,North Texas,H,"L, 56-51",96.9,87.3,59.7,85.5,47.6,26.8,16,31,93.9,51.2,28.5,28,35.7,76.9,5
26,26,3/2/23,C,Middle Tennessee,CUSA,North Texas,A,"L, 64-50",95.8,94.5,61.3,81.6,42.5,24.5,29.4,13.2,104.4,45.3,22.8,35.7,69.8,53.8,-2
27,27,2/18/23,C,Middle Tennessee,CUSA,FIU,H,"W, 69-58",95.6,98.7,65.6,105.2,39.3,16.8,44.2,42.6,88.4,45.6,25.9,31.4,10.5,41.1,-8
28,28,1/19/23,C,Middle Tennessee,CUSA,Charlotte,H,"W, 62-58",93.9,88.6,65.6,94.5,46.2,25.9,33.3,36.5,88.4,57.5,32,20,37.5,66.1,1
