#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Mississippi St.,SEC,Arkansas,A,"W, 70-64",122.2,87.7,66,106.1,52.6,18.2,30.3,28.1,97,47.9,19.7,25.8,54.2,97.8,6
2,2,1/28/23,N,Mississippi St.,SEC,TCU,H,"W, 81-74",121,96.5,64.6,111.4,56,19.3,37.5,39.7,101.8,44.1,13.8,30.2,29.4,93.1,4
3,3,2/15/23,C,Mississippi St.,SEC,Kentucky,H,"L, 71-68",117.8,110.1,59.3,114.7,56.2,16.9,25.9,39.6,119.8,50.9,20.2,54.5,36.4,68.5,-4
4,4,12/3/22,N,Mississippi St.,SEC,Mississippi Valley S,H,"W, 82-52",117,101.6,62.1,132,52.3,12.9,52.8,32.3,83.7,46.9,22.5,22.6,18.4,83.5,11
5,5,2/25/23,C,Mississippi St.,SEC,Texas A&M,H,"W, 69-62",115.5,90,64.3,107.3,47.1,15.6,32.4,57.7,96.4,48.8,24.9,28.6,60.5,94.6,2
6,6,3/4/23,C,Mississippi St.,SEC,Vanderbilt,A,"L, 77-72",114.8,112.6,62.3,115.6,49.2,22.5,59,34.4,123.7,60.4,14.5,26.7,34,55.5,-7
7,7,1/17/23,C,Mississippi St.,SEC,Tennessee,H,"L, 70-59",114,98.8,63.8,92.5,39.5,15.7,33.3,38.6,109.7,54.9,26.7,39.3,29.4,83.9,1
8,8,11/17/22,N,Mississippi St.,SEC,South Dakota,H,"W, 79-42",113.2,75,61.6,128.3,52.1,9.7,51.2,12.5,68.2,34.3,27.6,31.6,11.1,99.1,17
9,9,1/25/23,C,Mississippi St.,SEC,Alabama,A,"L, 66-63",112.4,83.8,68.1,92.5,49.1,22,25,21.4,97,41.2,17.6,32.4,38.6,96.7,4
10,10,11/11/22,N,Mississippi St.,SEC,Akron,N,"W, 73-54",112,85,63.8,114.4,59.1,21.9,36.7,23.6,84.7,38.8,14.1,15.8,49,96,6
11,11,11/13/22,N,Mississippi St.,SEC,Arkansas Pine Bluff,H,"W, 80-47",109.8,81,68.2,117.3,52.4,17.6,42.9,30.6,68.9,34.4,26.4,31.1,11.5,97.1,15
12,12,2/28/23,C,Mississippi St.,SEC,South Carolina,H,"W, 74-68",108.9,109.8,64.7,114.3,52.9,13.9,28.6,46.2,105,50,21.6,31,32.7,47.8,1
13,13,12/11/22,N,Mississippi St.,SEC,Minnesota,A,"W, 69-51",106,84.4,63.6,108.5,52.8,18.9,28.1,32.1,80.2,35.6,23.6,30.8,32.7,93.2,6
14,14,1/3/23,C,Mississippi St.,SEC,Tennessee,A,"L, 87-53",103.1,127.7,62.2,85.1,43.4,19.3,27,32.1,139.8,80.8,24.1,43.8,5.8,7.9,-20
15,15,12/28/22,C,Mississippi St.,SEC,Alabama,H,"L, 78-67",101.6,92.7,76.3,87.8,44.5,19.7,25,65.5,102.2,56.1,24.9,22.9,31.6,74.3,-6
16,16,2/8/23,C,Mississippi St.,SEC,LSU,H,"W, 64-53",101.6,88.2,61.2,104.5,58,18,25.9,26,86.6,50,24.5,14.8,19.1,83.7,4
17,17,1/31/23,C,Mississippi St.,SEC,South Carolina,A,"W, 66-51",101,83.6,63.2,104.5,55.9,25.3,44,23.5,80.7,41.5,28.5,37.1,26.4,89.9,5
18,18,1/7/23,C,Mississippi St.,SEC,Mississippi,H,"W, 64-54",100,86.7,63.7,100.5,44,14.1,42.5,44.8,84.8,39.6,23.5,30.6,32.1,83.9,3
19,19,11/28/22,N,Mississippi St.,SEC,Nebraska Omaha,H,"W, 74-54",99.9,91.8,65.7,112.6,48.5,13.7,39.5,23.1,82.2,46.3,27.4,29.4,13,72.3,7
20,20,2/18/23,C,Mississippi St.,SEC,Mississippi,A,"W, 69-61",99.1,84,63.7,96.3,49,26.5,30,40.4,85.1,34.7,11.2,22.9,41.9,87,2
21,21,1/21/23,C,Mississippi St.,SEC,Florida,H,"L, 61-59",98.8,102.5,61.5,96,42.6,16.3,32.5,18,99.2,50.9,13,23.5,18.2,39.7,-7
22,22,3/9/23,CT,Mississippi St.,SEC,Florida,N,"W, 69-68",98.6,83,69.5,88.2,40.6,25.6,40.9,43.8,87,46.8,20.5,24.3,27.4,87.8,5
23,23,1/14/23,C,Mississippi St.,SEC,Auburn,A,"L, 69-63",97.8,90.5,70.7,89.1,37.5,22.6,40.5,50,97.5,53.6,28.3,30.3,23.6,70.9,-6
24,24,12/14/22,N,Mississippi St.,SEC,Jackson St.,N,"W, 69-59",97.1,101.1,64.9,106.4,55.1,24.7,31,40.8,91,53,30.8,42.3,22,38.7,0
25,25,2/21/23,C,Mississippi St.,SEC,Missouri,A,"L, 66-64",95.9,83.4,60.7,93.7,42.5,20.5,32.5,30,96.7,47.4,17.6,28.2,33.3,83.2,0
26,26,11/21/22,N,Mississippi St.,SEC,Marquette,N,"W, 58-55",95.8,72.5,65.9,88,42.7,24.3,37.5,38.2,83.5,49,24.3,15.6,15.7,96.1,3
27,27,2/4/23,C,Mississippi St.,SEC,Missouri,H,"W, 63-52",94.3,70.5,65.9,95.6,45,19.7,25.7,50,78.9,38,22.8,25,42,96.6,7
28,28,11/23/22,N,Mississippi St.,SEC,Utah,N,"W, 52-49",92.5,77.4,61.6,84.4,32.1,9.7,34.5,23.9,79.6,36.5,22.7,33.3,34.6,88.7,2
29,29,12/17/22,N,Mississippi St.,SEC,Nicholls St.,H,"W, 68-66",92.1,99.5,70.9,95.8,40.8,25.4,40.6,71.4,93,46.9,21.1,30,14.1,29,1
30,30,12/20/22,N,Mississippi St.,SEC,Drake,N,"L, 58-52",91.1,82.7,64.1,81.2,45.2,26.5,25.7,17.3,90.5,44.8,20.3,27,10.3,75.3,1
