#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/11/22,N,Mississippi,SEC,Florida Atlantic,H,"W, 80-67",131.3,96.1,65.3,122.4,55.9,15.3,45.2,35.6,102.5,48.4,18.4,35,19.4,97.3,8
2,2,12/10/22,N,Mississippi,SEC,Valparaiso,H,"W, 98-61",122,89.2,76.1,128.8,58.9,6.6,27.8,21.9,80.2,43,27.6,23.7,28.1,97.3,19
3,3,2/22/23,C,Mississippi,SEC,Auburn,A,"L, 78-74",120.1,105,68.3,108.3,46.6,17.6,44.7,55.2,114.2,53.8,17.6,25,46.2,82.5,-4
4,4,2/25/23,C,Mississippi,SEC,LSU,H,"W, 82-69",119.7,106.8,66.2,123.9,62.9,15.1,23.1,15.5,104.2,50.9,19.6,26.7,27.8,78.7,4
5,5,1/10/23,C,Mississippi,SEC,Auburn,H,"L, 82-73",116.9,109.8,69,105.8,51.8,15.9,18.8,32.7,118.8,52.5,14.5,35.3,36.1,67.2,-3
6,6,3/4/23,C,Mississippi,SEC,Missouri,A,"L, 82-77",113.2,102.3,69.4,111,55.5,23.1,32.1,32.7,118.2,61.2,15.9,25.9,22.4,76.1,-2
7,7,2/7/23,C,Mississippi,SEC,Georgia,A,"W, 78-74",112.2,106.4,70.3,110.9,45.9,11.4,29.7,44.3,105.2,48.2,14.2,28.6,47.4,64.9,-1
8,8,2/4/23,C,Mississippi,SEC,Vanderbilt,A,"L, 74-71",110.4,100.8,65.4,108.5,43.2,7.6,37.8,9.5,113.1,49.2,10.7,36.1,32.3,74.1,-1
9,9,11/24/22,N,Mississippi,SEC,Stanford,N,"W, 72-68",109.9,90.1,67.4,106.9,53.4,16.3,25.8,25.9,100.9,46.5,13.4,20.6,28.1,90.7,6
10,10,1/31/23,C,Mississippi,SEC,Kentucky,H,"L, 75-66",109.5,106.4,63.3,104.2,47.5,12.6,29.4,16.4,118.4,53.8,14.2,32.1,44.2,58.1,-4
11,11,1/24/23,C,Mississippi,SEC,Missouri,H,"L, 89-77",109.5,116.4,68.9,111.8,52.5,23.2,42.1,29.5,129.2,69.6,16,20,23.2,33.1,-9
12,12,3/9/23,CT,Mississippi,SEC,Tennessee,N,"L, 70-55",109.2,102.9,61.7,89.2,44.3,11.3,14.7,22.6,113.5,56.9,22.7,34.6,27.5,66.6,-5
13,13,2/15/23,C,Mississippi,SEC,Florida,A,"L, 79-64",108.9,114,66.1,96.9,42.1,16.7,38.1,28.6,119.6,69.4,18.2,15.4,36.7,37.1,-6
14,14,1/28/23,N,Mississippi,SEC,Oklahoma St.,A,"L, 82-60",108.7,119.8,64.6,93,39.8,13.9,33.3,17.2,127,58.8,20.1,42.3,49,24.7,-10
15,15,12/28/22,C,Mississippi,SEC,Tennessee,H,"L, 63-59",107.3,88,65.9,89.5,45.1,22.7,20.6,35.3,95.5,45.9,21.2,34.4,53.1,90.7,2
16,16,11/27/22,N,Mississippi,SEC,Oklahoma,N,"L, 59-55",105.2,95,57.8,95.2,51,20.8,21.4,5.9,102.1,58.1,20.8,18.2,30.2,76.5,1
17,17,11/25/22,N,Mississippi,SEC,Siena,N,"W, 74-62",105.2,95.4,69.2,107,55.2,23.1,40,24.1,89.6,47.3,24.6,27.3,21.4,75.4,4
18,18,2/28/23,C,Mississippi,SEC,Texas A&M,H,"L, 69-61",105,95.8,64.9,94,47.5,27.7,40,15.3,106.3,41.7,7.7,39,30.3,74.1,-2
19,19,3/8/23,CT,Mississippi,SEC,South Carolina,N,"W, 67-61",102,97.3,64,104.7,50,17.2,36.1,22,95.3,46.7,15.6,22.2,10,63.3,3
20,20,1/17/23,C,Mississippi,SEC,South Carolina,A,"W, 70-58",101.5,84.1,68.8,101.8,56,17.5,21.2,52,84.3,41.7,13.1,12.2,21.7,89.6,8
21,21,1/3/23,C,Mississippi,SEC,Alabama,A,"L, 84-62",100.6,102,73,85,36.2,17.8,36.2,24.6,115.1,53.2,9.6,22.5,39.7,45.9,-13
22,22,11/15/22,N,Mississippi,SEC,Chattanooga,H,"W, 70-58",100.5,91.1,64.8,108,56.8,23.1,40,10.2,89.5,44.8,18.5,25,17.2,75.7,3
23,23,11/7/22,N,Mississippi,SEC,Alcorn St.,H,"W, 73-58",100.3,93.9,67.3,108.5,44.9,23.8,51.2,47.5,86.2,43,26.8,35.1,19.3,68.1,4
24,24,1/7/23,C,Mississippi,SEC,Mississippi St.,A,"L, 64-54",100.3,97.2,63.7,84.8,39.6,23.5,30.6,32.1,100.5,44,14.1,42.5,44.8,58.7,-3
25,25,12/14/22,N,Mississippi,SEC,UCF,H,"L, 72-61",97.4,114,63.4,96.3,50,23.7,35.3,32.7,113.6,48.4,17.4,45.9,22.2,14.1,-13
26,26,2/18/23,C,Mississippi,SEC,Mississippi St.,H,"L, 69-61",97.2,96.4,63.7,85.1,34.7,11.2,22.9,41.9,96.3,49,26.5,30,40.4,52.4,-2
27,27,1/21/23,C,Mississippi,SEC,Arkansas,A,"L, 69-57",96.6,91.7,68.1,83.7,49,25,23.3,25,101.3,52.6,16.1,25.8,29.8,64.4,-5
28,28,12/17/22,N,Mississippi,SEC,Temple,H,"W, 63-55",95.5,86.8,64.9,97,41.8,16.9,35.9,45.5,84.7,34.2,13.9,22,33.3,75,-1
29,29,1/14/23,C,Mississippi,SEC,Georgia,H,"L, 62-58",94.7,98.7,62.7,92.5,44.9,17.5,29.4,13.6,98.8,41.5,17.5,38.5,23.7,38.1,1
30,30,2/11/23,C,Mississippi,SEC,South Carolina,H,"L, 64-61",92.3,98.2,65.5,93.2,42.6,16.8,28.6,40.7,97.7,51,22.9,27.3,40,32.9,3
31,31,11/18/22,N,Mississippi,SEC,Tennessee Martin,H,"W, 72-68",91.8,100.6,72.1,99.9,43.5,23.6,43.6,70.4,94.3,50.9,26.4,33.3,25.9,25.8,-1
32,32,12/3/22,N,Mississippi,SEC,Memphis,A,"L, 68-57",90.3,94.8,66.9,85.2,37.3,23.9,46.3,20.6,101.7,39.9,16.4,50,23.2,36.5,-12
33,33,12/20/22,N,Mississippi,SEC,North Alabama,H,"L, 66-65",85.8,93.6,70.9,91.7,43.4,21.2,37.5,31.1,93.1,50,21.2,22.2,20.3,26.8,1
