#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/21/23,C,Missouri St.,MVC,Murray St.,H,"W, 84-69",122.7,105.6,65,129.3,61.7,12.3,36.7,10.9,106.2,52.8,16.9,19.4,30.2,84.9,10
2,2,12/16/22,N,Missouri St.,MVC,Oral Roberts,A,"L, 80-77",121.8,117.7,63.8,120.7,65.4,18.8,30.8,23.1,125.4,61.5,12.5,21.4,48.1,59.8,-8
3,3,3/2/23,CT,Missouri St.,MVC,Illinois Chicago,N,"W, 74-57",120.7,106.2,58.4,126.6,56.8,10.3,42.4,22,97.5,44,12,30.6,20.7,81.2,7
4,4,12/28/22,C,Missouri St.,MVC,Northern Iowa,A,"W, 79-67",120.4,99.9,66.2,119.4,65.1,16.6,22.2,26.4,101.3,52.7,22.7,28.1,25.5,89.6,9
5,5,11/19/22,N,Missouri St.,MVC,Middle Tennessee,H,"W, 75-51",116.8,82.2,63.7,117.8,60.7,18.9,25.9,12.5,80.1,37.2,25.1,31.2,44.7,98.3,12
6,6,1/4/23,C,Missouri St.,MVC,Evansville,H,"W, 85-62",116.6,106.1,68.6,124,56.2,17.5,44.4,27.7,90.4,55.3,23.3,13.8,38.3,74.9,13
7,7,12/18/22,N,Missouri St.,MVC,Central Michigan,H,"W, 79-58",113.9,107.3,64.2,123,59.6,24.9,51.7,50,90.3,42.7,20.2,31.6,27.3,66.4,8
8,8,2/26/23,C,Missouri St.,MVC,Indiana St.,A,"W, 66-62",111.5,87.3,64,103.2,49.1,15.6,31.4,38.9,97,43,17.2,21.2,46,94.4,8
9,9,1/15/23,C,Missouri St.,MVC,Indiana St.,H,"W, 64-62",110.7,94.2,60.9,105.2,46.2,23,38.7,32.7,101.9,55.1,18.1,25.9,28.6,86.5,6
10,10,2/18/23,C,Missouri St.,MVC,Northern Iowa,H,"L, 69-66",109.5,117.1,59.5,110.9,49.1,13.4,34.3,41.5,115.9,54.8,15.1,30,30.8,31.6,1
11,11,1/21/23,C,Missouri St.,MVC,Southern Illinois,H,"L, 61-57",109.3,121.4,53.8,106,48.1,20.5,42.9,23.1,113.4,54.9,14.9,27.6,11.8,23,-5
12,12,11/27/22,N,Missouri St.,MVC,Oakland,N,"W, 76-64",108.8,106.3,63.5,119.7,59,14.2,31.2,11.5,100.8,56,22,20.7,24,56.6,2
13,13,1/28/23,C,Missouri St.,MVC,Murray St.,A,"L, 74-71",107.2,112.2,64.3,110.5,49.2,14,41.7,24.2,115.2,52,18.7,31,47.1,37.2,-1
14,14,11/16/22,N,Missouri St.,MVC,BYU,A,"L, 66-64",104,94.6,66.3,96.5,45.1,13.6,26.8,24.6,99.5,49.1,19.6,31.6,35.7,74.8,-2
15,15,2/5/23,C,Missouri St.,MVC,Southern Illinois,A,"L, 73-53",103.3,121.2,58.9,90,53.6,27.2,32,38.1,124,53.5,15.3,40,22.8,13.8,-4
16,16,1/18/23,C,Missouri St.,MVC,Drake,A,"W, 65-62",102.7,89,59.7,96.8,58.5,22.3,14.3,31.9,92.4,44.4,20.9,19.4,27.8,83.9,-5
17,17,2/1/23,C,Missouri St.,MVC,Valparaiso,H,"W, 76-67",101.2,107.3,62.3,108.5,53.5,17.1,29.4,40.4,95.6,46.2,18.6,33.3,16.9,33.8,0
18,18,2/8/23,C,Missouri St.,MVC,Belmont,H,"W, 61-59",101.1,96.4,58.6,104.2,50,17.1,35.3,10.3,100.7,47.3,10.2,22.9,16.1,63.3,1
19,19,1/7/23,C,Missouri St.,MVC,Belmont,A,"L, 74-61",98.6,108.6,62.6,97.4,52,27.1,39.4,38.8,118.2,56.2,19.2,33.3,19.6,24.8,-6
20,20,11/26/22,N,Missouri St.,MVC,Ball St.,N,"L, 67-64",97.1,98,65.3,98,50.9,21.4,32.4,29.6,102.6,52.9,21.4,31,41.2,47.5,2
21,21,1/11/23,C,Missouri St.,MVC,Illinois St.,A,"L, 76-66",96.9,110,61.1,96,40.3,21.8,43.5,41.9,110.5,47,18.9,32.3,64,18.8,1
22,22,2/15/23,C,Missouri St.,MVC,Bradley,A,"L, 64-54",95,106.9,59.5,90.7,39.2,16.8,38.1,18.3,107.5,49.2,13.4,33.3,9.8,20.3,-10
23,23,12/10/22,N,Missouri St.,MVC,Fort Wayne,H,"L, 65-61",94.1,105.4,64.2,95.1,45.2,12.5,27.5,15.9,101.3,51.9,20.3,31.2,30.2,21.4,0
24,24,2/12/23,C,Missouri St.,MVC,Evansville,A,"W, 66-60",94,99.2,68.3,96.6,50.9,26.3,30.3,25.9,87.8,46.7,21.9,6.9,41.3,35.2,4
25,25,11/30/22,C,Missouri St.,MVC,Illinois Chicago,A,"W, 66-51",93.6,81.8,67.6,97.6,41.1,11.8,38.8,17.8,75.4,36.8,22.2,24.4,35.8,82.6,5
26,26,1/1/23,C,Missouri St.,MVC,Drake,H,"W, 52-49",92.6,75.4,61,85.2,48,24.6,24.2,18,80.3,39.5,16.4,27,14,91.5,4
27,27,12/7/22,N,Missouri St.,MVC,Saint Mary's,A,"L, 66-46",92.4,94.7,61.2,75.1,43.6,21.2,13.3,21.3,107.8,54.5,11.4,18.5,18.2,43.2,-7
28,28,3/3/23,CT,Missouri St.,MVC,Southern Illinois,N,"L, 54-51",91.2,89.6,61,83.5,42.3,27.8,36.4,21.2,88.5,44.6,16.4,26.7,54.3,55.1,3
29,29,11/25/22,N,Missouri St.,MVC,UNC Wilmington,N,"L, 68-54",90.8,102.7,65.1,83,40,23.1,32.4,75.6,104.5,48.1,18.4,28.1,39.6,19.4,-2
30,30,1/24/23,C,Missouri St.,MVC,Illinois Chicago,H,"W, 63-59",88.8,94.9,67.5,93.3,42.2,20.7,31.6,31,87.4,45.8,23.7,23.5,45.8,31.9,1
31,31,12/3/22,C,Missouri St.,MVC,Bradley,H,"L, 58-40",71.8,90.5,61.6,65,33.3,21.1,18.9,21.6,94.2,51.9,26,31,7.7,6.5,-7
