#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Missouri,SEC,Tennessee,A,"W, 86-85",163,119.4,64.4,133.6,64.9,10.9,24.1,29.8,132,56.6,15.5,46.9,62.3,97.3,4
2,2,12/22/22,N,Missouri,SEC,Illinois,N,"W, 93-71",148.7,96.6,68.8,135.2,67.8,14.5,33.3,30.5,103.2,46,24.7,50,30.6,99.3,16
3,3,12/28/22,C,Missouri,SEC,Kentucky,H,"W, 89-75",137.4,97.8,68.3,130.2,57.9,11.7,28.1,49.1,109.7,53.6,20.5,42.4,42.9,98,11
4,4,1/24/23,C,Missouri,SEC,Mississippi,A,"W, 89-77",136.2,107.5,68.9,129.2,69.6,16,20,23.2,111.8,52.5,23.2,42.1,29.5,93.8,9
5,5,1/28/23,N,Missouri,SEC,Iowa St.,H,"W, 78-61",135.2,91.5,64.7,120.5,62.3,18.5,24.1,26.4,94.2,50,29.4,47.1,13.8,98.9,10
6,6,3/10/23,CT,Missouri,SEC,Tennessee,N,"W, 79-71",131.7,99.2,68.9,114.6,61.4,16,14.3,22.8,103,53.6,20.3,27.3,25,96.3,-1
7,7,11/15/22,N,Missouri,SEC,SIU Edwardsville,H,"W, 105-80",128.8,107.1,79.4,132.2,66,18.9,41.9,18.1,100.8,43.1,26.4,44.7,60.3,89.3,16
8,8,2/7/23,C,Missouri,SEC,South Carolina,H,"W, 83-74",127.4,123,62.5,132.9,62.3,16,38.5,39.6,118.4,61,22.4,40,42,59.8,4
9,9,2/25/23,C,Missouri,SEC,Georgia,A,"W, 85-63",127.2,103.7,64.9,131,70.2,20,33.3,15.8,97.1,52.2,29.3,34.5,43.5,91.2,3
10,10,11/11/22,N,Missouri,SEC,Penn,H,"W, 92-85",127.1,117.7,70.3,130.9,59,12.8,33.3,42.6,120.9,62.7,27,43.3,18.6,70.8,2
11,11,2/1/23,C,Missouri,SEC,LSU,H,"W, 87-77",125.7,105.6,70.4,123.6,66.9,14.2,17.9,20.3,109.4,49.2,17,35.7,25.8,88.1,12
12,12,1/4/23,C,Missouri,SEC,Arkansas,A,"L, 74-68",121.2,99.7,65.9,103.1,50,15.2,26.5,38.9,112.2,53.7,25.8,51.7,42.6,90.4,3
13,13,3/1/23,C,Missouri,SEC,LSU,A,"W, 81-76",120.2,116.8,65.8,123.1,54,10.6,30.3,20.6,115.5,57.1,24.3,34.5,44.9,58.4,-7
14,14,11/26/22,N,Missouri,SEC,Houston Christian,H,"W, 105-69",119.8,97.9,74.6,140.7,72.4,14.7,30.8,14.9,92.5,49.1,30.8,41.2,35.7,91.1,20
