#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/27/23,C,Montana St.,BSky,Eastern Washington,A,"W, 79-74",126.4,103.8,63.9,123.7,59.1,17.2,34.6,29.1,115.9,59.6,18.8,28.6,28.8,90.7,10
2,2,3/8/23,CT,Montana St.,BSky,Northern Arizona,N,"W, 85-78",120.2,110.8,67.8,125.5,56.2,16.2,40,77.1,115.1,51.8,19.2,37.5,40.4,71.8,7
3,3,3/5/23,CT,Montana St.,BSky,Northern Colorado,N,"W, 84-73",119,96.9,69.9,120.1,51.7,11.4,26.5,46.6,104.4,48.3,15.7,23.3,29.3,91.3,16
4,4,2/4/23,C,Montana St.,BSky,Northern Colorado,H,"W, 75-62",116,96.3,62,121,58.8,12.9,28.6,39.2,100,50,19.4,19.4,41.7,89.5,13
5,5,12/10/22,N,Montana St.,BSky,Nebraska Omaha,H,"W, 82-54",115.8,91.9,64.1,127.9,58.5,12.5,35.3,32.2,84.2,45,26.5,30,26,93.5,14
6,6,11/20/22,N,Montana St.,BSky,North Dakota,A,"W, 81-71",115.3,105.8,66.8,121.3,54.2,13.5,37.5,37.3,106.3,50,15,27.3,25.4,73,7
7,7,1/28/23,C,Montana St.,BSky,Sacramento St.,A,"W, 72-65",115.2,105.8,61.5,117.2,49,13,32.1,57.1,105.8,53.1,24.4,38.5,32.7,72.6,6
8,8,1/12/23,C,Montana St.,BSky,Idaho St.,H,"W, 81-68",113.7,106.9,67.2,120.6,56,14.9,23.1,56,101.2,58,20.8,21.4,38,67.1,6
9,9,11/30/22,N,Montana St.,BSky,Southern Utah,A,"W, 86-83",113.2,99.6,77.7,110.7,60.8,20.6,21.9,26.7,106.9,56.2,19.3,20,55.4,81.3,4
10,10,12/8/22,N,Montana St.,BSky,St. Thomas,H,"W, 82-65",111.1,92,70.4,116.5,58.5,19.9,26.9,39.6,92.4,35.3,11.4,20.9,50,89.7,10
11,11,1/14/23,C,Montana St.,BSky,Weber St.,H,"W, 67-52",109.2,85.4,63.6,105.4,51,15.7,21.9,42,81.8,46.7,25.2,11.1,28.9,94.4,12
12,12,1/26/23,C,Montana St.,BSky,Portland St.,A,"W, 75-66",109.1,103,66,113.7,52.7,16.7,33.3,41.8,100,50,18.2,24.2,35.8,66,2
13,13,1/21/23,C,Montana St.,BSky,Montana,A,"W, 67-64",108.5,98.9,61.3,109.3,53.2,13,8,40.4,104.4,51,22.8,37,32.7,74.4,3
14,14,2/25/23,C,Montana St.,BSky,Portland St.,H,"W, 91-78",108.4,103.4,79.1,115,51.8,12.6,27.8,75.4,98.6,48.2,15.2,2.8,47.4,63.2,5
15,15,11/13/22,N,Montana St.,BSky,Long Beach St.,A,"W, 70-57",107.8,82.3,67,104.5,48,26.9,42.4,54,85.1,42.1,19.4,27.8,26.3,95.7,10
16,16,2/9/23,C,Montana St.,BSky,Weber St.,A,"L, 73-63",107.1,113.9,64.2,98.2,58.2,23.4,14.8,20.4,113.8,64.1,18.7,13,39.1,33.1,0
17,17,2/18/23,C,Montana St.,BSky,Montana,H,"W, 72-68",105.7,96.1,67.3,107,51.3,20.8,25,105.1,101.1,53,22.3,18.5,34,75.1,7
18,18,2/2/23,C,Montana St.,BSky,Northern Arizona,H,"W, 69-68",105.6,114.5,59.8,115.3,46.4,10,31.2,38.2,113.6,51.8,18.4,43.8,21.4,28.2,-4
19,19,1/5/23,C,Montana St.,BSky,Northern Colorado,A,"W, 77-56",104,77,70.7,108.9,60.8,18.4,21.4,49,79.2,41.7,24,31.7,26.7,97,13
20,20,11/25/22,N,Montana St.,BSky,UNC Greensboro,N,"L, 77-66",102.5,106.5,71.1,92.8,49,22.5,25.8,49,108.3,53.1,23.9,28.6,57.1,39.2,-2
21,21,12/29/22,C,Montana St.,BSky,Idaho,H,"W, 72-58",102.4,92.7,64.7,111.3,57.3,12.4,16.7,23.6,89.6,44.5,17,17.6,20,76,10
22,22,11/27/22,N,Montana St.,BSky,Middle Tennessee,N,"L, 72-71",101.5,99.4,71.5,99.3,62,32.2,26.3,34.8,100.7,54.1,23.8,25,49,55.9,0
23,23,12/31/22,C,Montana St.,BSky,Eastern Washington,H,"L, 70-67",96.8,99.7,66.8,100.2,50,10.5,20.5,21.3,104.7,53.1,26.9,30,40.8,41.5,-1
24,24,1/7/23,C,Montana St.,BSky,Northern Arizona,A,"W, 69-54",96.2,73.5,69.6,99.2,61.4,24.4,14.8,56.8,77.6,30.6,17.2,10.5,57.1,95.7,11
25,25,12/20/22,N,Montana St.,BSky,Arizona,A,"L, 85-64",95,92.5,76.6,83.5,45.5,26.1,27,39.3,110.9,51.6,17,33.3,46.8,57.3,-8
26,26,2/23/23,C,Montana St.,BSky,Sacramento St.,H,"W, 60-56",93.3,94.8,61.1,98.1,39.5,13.1,16.1,76.7,91.6,50,27.8,37.9,34,45.4,3
27,27,11/7/22,N,Montana St.,BSky,Grand Canyon,A,"L, 60-54",92.7,85.8,61.1,88.4,41.3,16.4,27.8,34.6,98.2,49.1,16.4,24.2,26.4,71.1,7
28,28,2/11/23,C,Montana St.,BSky,Idaho St.,A,"W, 58-52",88.3,85.1,63.2,91.8,37.3,15.8,31.6,54.9,82.3,44.6,28.5,26.7,37,60.7,1
29,29,1/16/23,C,Montana St.,BSky,Idaho,A,"L, 74-70",87.4,105.1,73.2,95.6,39.6,16.4,27,64.2,101,51.8,17.7,18.9,45.6,10.6,-6
30,30,11/15/22,N,Montana St.,BSky,Oregon,A,"L, 81-51",84.5,100.2,69.2,73.7,35.6,20.2,21.6,15.3,117,63.3,20.2,34.4,21.7,12.3,-9
31,31,3/7/23,CT,Montana St.,BSky,Weber St.,N,"W, 60-58",82.1,82.6,59.8,80.3,39.4,22.8,16.7,50,77.7,37.1,20.1,21.1,32.8,48.4,0
32,32,11/26/22,N,Montana St.,BSky,Quinnipiac,N,"L, 70-53",78.9,98.7,69.4,76.4,37.7,15.9,15.4,29.8,100.9,47,14.4,33.3,17.9,7.1,-6
