#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,Montana,BSky,Weber St.,A,"W, 74-69",122.7,109.2,64.3,115,65.4,24.9,32,11.5,107.3,55.2,15.5,19.4,13.8,79.2,6
2,2,3/6/23,CT,Montana,BSky,Idaho St.,N,"W, 83-74",122.3,119.9,64.6,128.5,63,15.5,29.2,33.3,114.6,59.6,10.8,12,30.8,55.7,2
3,3,12/6/22,N,Montana,BSky,South Dakota St.,H,"W, 81-56",121.9,85.9,65.7,123.3,64.2,15.2,29.2,37.7,85.3,35.4,18.3,18.2,52.1,98.2,17
4,4,1/14/23,C,Montana,BSky,Idaho St.,H,"W, 84-55",120.6,93.2,64.4,130.5,67.6,20.2,33.3,35.3,85.5,39,10.9,19,22,95.1,12
5,5,12/17/22,N,Montana,BSky,Prairie View A&M,N,"W, 81-76",119.5,118.4,70.6,114.8,67.6,19.8,11.1,27.5,107.7,52.6,14.2,22.2,38.6,52.8,6
6,6,12/10/22,N,Montana,BSky,North Dakota St.,A,"W, 82-75",119.1,114.7,66.6,123.1,61.3,15,26.9,39.6,112.6,47.2,13.5,32.4,59.3,60.7,1
7,7,12/20/22,N,Montana,BSky,Gonzaga,A,"L, 85-75",116.8,100.9,68.9,108.9,57.1,17.4,20,28.6,123.4,56.7,13.1,30,65.4,84.3,-5
8,8,1/28/23,C,Montana,BSky,Portland St.,A,"W, 73-67",114,104.4,63.6,114.7,62,20.4,23.1,26,105.3,47.5,9.4,28.9,27.9,73.2,6
9,9,2/9/23,C,Montana,BSky,Idaho St.,A,"W, 69-61",112.6,103.4,59.9,115.1,54,11.7,16.1,36,101.8,47.4,18.4,40.6,12.1,72.8,5
10,10,2/25/23,C,Montana,BSky,Sacramento St.,H,"W, 74-72",112.2,122.5,61.8,119.8,56.6,11.3,23.3,37.7,116.5,65.6,24.3,30.4,37.8,26.7,-1
11,11,11/17/22,N,Montana,BSky,St. Thomas,H,"W, 78-59",111.6,86.8,67.1,116.3,50,13.4,33.3,45.6,87.9,39,17.9,18.9,54,94.8,13
12,12,12/29/22,C,Montana,BSky,Eastern Washington,H,"L, 87-80",110.7,114.5,71.1,112.6,54.1,12.7,22,34.4,122.4,52.8,19.7,40.6,63,40.4,0
13,13,1/21/23,C,Montana,BSky,Montana St.,H,"L, 67-64",108.6,110.5,61.3,104.4,51,22.8,37,32.7,109.3,53.2,13,8,40.4,45.1,-3
14,14,11/11/22,N,Montana,BSky,Xavier,A,"L, 86-64",106.3,114.5,64.6,99.1,52.9,24.8,31,25,133.1,72,13.9,21.1,38,29.8,-12
15,15,1/7/23,C,Montana,BSky,Northern Colorado,A,"W, 79-74",105.9,97,72.7,108.6,56.1,19.3,28.1,36.8,101.8,50.9,19.3,12.9,41.5,73.4,7
