#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/14/22,N,Morehead St.,OVC,Georgia Southern,A,"W, 74-71",122,105.4,66,112.1,61.8,21.2,13,92.1,107.5,38.2,9.1,39.1,32.4,84.4,9
2,2,1/21/23,C,Morehead St.,OVC,Lindenwood,A,"W, 72-63",117.6,113.3,58.7,122.7,58.7,18.7,46.4,30.8,107.4,53,15.3,14.8,20,60.7,8
3,3,1/14/23,C,Morehead St.,OVC,Southeast Missouri S,H,"L, 91-86",117.3,130.9,71.6,120.1,57.6,15.4,39.4,47.5,127.1,66,18.2,18.2,43.4,22.1,4
4,4,2/18/23,C,Morehead St.,OVC,Lindenwood,H,"W, 71-58",117,107.6,57.4,123.8,61.5,8.7,19.2,21.2,101.1,43.9,10.5,23.3,40.8,72.3,13
5,5,12/29/22,C,Morehead St.,OVC,Tennessee St.,A,"W, 83-75",116.3,110.4,69.3,119.8,59.5,15.9,28.1,31,108.2,52.5,8.7,14.3,31.7,64.4,6
6,6,1/19/23,C,Morehead St.,OVC,SIU Edwardsville,A,"W, 67-58",111.7,97.8,60.7,110.5,57.6,21.4,30.8,37,95.6,45.2,24.7,32.3,21.2,82.1,8
7,7,2/22/23,C,Morehead St.,OVC,Eastern Illinois,A,"W, 69-63",109.5,106.3,62.3,110.7,55.1,12.8,21.2,6.8,101,58.2,19.2,8.3,16.3,58.3,10
8,8,1/5/23,C,Morehead St.,OVC,Southern Indiana,H,"W, 84-80",106.6,115.7,72.1,116.6,61.2,16.7,11.1,63.3,111,51.7,19.4,37.8,40,28.2,1
9,9,1/7/23,C,Morehead St.,OVC,Eastern Illinois,H,"W, 69-59",104,98.6,64.2,107.6,55.2,21.8,32.1,43.8,92,42.7,18.7,30,11.3,64.7,13
10,10,2/16/23,C,Morehead St.,OVC,Tennessee St.,H,"W, 74-64",103.7,102.6,66.5,111.3,52,19.6,33.3,60,96.3,50.8,12,20,20,52.9,4
11,11,2/11/23,C,Morehead St.,OVC,Southeast Missouri S,A,"W, 65-59",103.1,94.8,62.8,103.6,50,11.2,31.2,31.6,94,42.9,14.3,16.1,42.9,72.3,6
12,12,2/25/23,C,Morehead St.,OVC,Tennessee Martin,H,"W, 72-58",102.3,94.5,65.2,110.5,53.4,12.3,27.3,25.4,89,43.8,16.9,22.2,23.2,71.3,7
13,13,1/12/23,C,Morehead St.,OVC,Tennessee Tech,A,"L, 79-62",101.2,119.6,63.4,97.8,52,20.5,20.7,25.5,124.6,64.4,14.2,18.5,26.9,12.8,0
14,14,2/4/23,C,Morehead St.,OVC,Southern Indiana,A,"W, 71-66",100.6,102.2,58.6,107.7,49.1,15.2,25,36.4,100.1,50,15.2,28.9,7.8,45.4,1
15,15,1/26/23,C,Morehead St.,OVC,Little Rock,H,"W, 76-72",100.3,110.7,67.9,111.9,61.8,19.1,28.6,25.5,106.1,50.8,17.7,27.3,25.4,24.3,3
16,16,12/3/22,N,Morehead St.,OVC,North Alabama,H,"L, 81-75",98.7,107.5,73.4,102.1,51.7,16.3,22.2,31.7,110.3,53.7,15,14.3,50,27.3,7
17,17,12/11/22,N,Morehead St.,OVC,East Tennessee St.,H,"W, 61-57",94.9,104,59.9,101.9,52.1,23.4,37,38.3,95.2,48.1,16.7,24.2,25,25.7,-4
18,18,11/12/22,N,Morehead St.,OVC,Bellarmine,H,"W, 62-55",94.7,88.9,62.9,98.5,37.3,20.7,41,62.7,87.4,35.8,9.5,24.4,23.3,67.5,7
19,19,11/26/22,N,Morehead St.,OVC,Marshall,A,"L, 83-59",93.8,105.9,70.2,84.1,39.2,24.2,35.7,28.3,118.3,60.3,18.5,33.3,14.3,19.8,-6
20,20,12/17/22,N,Morehead St.,OVC,Mercer,A,"L, 79-52",91.7,134.6,60.2,86.4,36,21.6,26.5,65.1,131.2,67.3,14.9,23.8,30.6,1.2,-13
21,21,11/15/22,N,Morehead St.,OVC,West Virginia,A,"L, 75-57",90.8,90.3,70.9,80.4,44,28.2,20,30,105.8,50,14.1,25,25.8,51.8,-6
22,22,3/3/23,CT,Morehead St.,OVC,Southeast Missouri S,N,"L, 65-58",90.7,100.8,64.5,89.9,41.8,15.5,22,34.5,100.8,49,17.1,27.3,40.4,23,3
23,23,2/2/23,C,Morehead St.,OVC,Tennessee Tech,H,"W, 64-45",90.6,71,66.3,96.5,49,22.6,30,34.6,67.9,35.6,24.1,12.9,42.2,94.2,12
24,24,2/9/23,C,Morehead St.,OVC,Little Rock,A,"L, 72-68",89.3,99.9,71.7,94.9,42.5,19.5,31,40,100.5,44.4,16.7,35.9,37.1,21.7,3
25,25,11/7/22,N,Morehead St.,OVC,Indiana,A,"L, 88-53",88.1,105.3,71.7,73.9,45.4,29.3,20.6,9.3,122.8,64.4,14,22.2,35.6,11.4,-10
26,26,12/31/22,C,Morehead St.,OVC,Tennessee Martin,A,"L, 64-57",84.2,92.1,68,83.9,34.6,17.7,18.9,44.2,94.2,42.4,11.8,21.1,32.2,26.3,3
27,27,1/28/23,C,Morehead St.,OVC,SIU Edwardsville,H,"W, 55-50",80.9,87,63.7,86.3,42.5,26.7,36.8,30.2,78.5,36.4,17.3,24.4,13.6,30.3,-2
28,28,11/18/22,N,Morehead St.,OVC,Vanderbilt,A,"L, 76-43",64.9,94.9,69.9,61.5,29.4,11.4,13,14.3,108.7,55.9,18.6,27,30.5,1.3,-16
