#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/20/23,C,Morgan St.,MEAC,Howard,H,"W, 89-76",115.7,110.2,72.8,122.3,60.9,12.4,25.8,60,104.5,43.9,20.6,45.5,40.9,63.5,3
2,2,1/18/23,N,Morgan St.,MEAC,Hartford,H,"W, 92-84",112,137.4,71.7,128.3,61.7,18.1,48.5,29.7,117.2,54.2,18.1,32.4,43.3,8.7,5
3,3,1/7/23,C,Morgan St.,MEAC,North Carolina Centr,H,"W, 78-73",111.1,111.3,62.9,110.3,50.8,22.6,44.4,42.4,103.2,53.5,22.6,30.3,28.1,49.6,0
4,4,12/22/22,N,Morgan St.,MEAC,Arizona,A,"L, 93-68",109.3,106,72.1,94.3,54.4,20.8,12.5,14,129,64.4,19.4,44.4,40.7,58.6,-7
5,5,1/9/23,C,Morgan St.,MEAC,South Carolina St.,H,"W, 90-85",109,119.4,75.3,119.6,60,15.9,30.3,45,112.9,49.3,21.3,47.8,46.3,25.8,7
6,6,11/18/22,N,Morgan St.,MEAC,Utah Valley,N,"W, 73-72",108,94.6,66.1,98.2,51.6,17.5,29.7,27.9,96.8,37.9,26.9,43.6,60.3,82,2
7,7,1/23/23,C,Morgan St.,MEAC,Norfolk St.,H,"W, 77-71",107.9,99.2,69.3,111.1,55.2,18.8,20,31,102.5,36.8,13,43.9,66.7,72.3,9
8,8,11/23/22,N,Morgan St.,MEAC,Loyola Marymount,A,"L, 81-80",106,97.7,69.2,102.8,55,27,34.4,35,104,52.6,21.8,38.2,54.4,72,4
9,9,12/3/22,N,Morgan St.,MEAC,Bowling Green,A,"L, 86-76",101.9,110.8,74.1,102.6,53.1,21.6,35.9,20.3,116.1,51.9,20.3,37.1,77.8,27.6,5
10,10,11/7/22,N,Morgan St.,MEAC,Xavier,A,"L, 96-73",95.8,102,81.3,89.8,40.7,22.1,37,31.4,118.1,55.6,24.6,60,58.1,32.8,-13
11,11,1/14/23,C,Morgan St.,MEAC,Coppin St.,A,"W, 83-66",94.9,84.4,81.3,102,51.8,27,35.1,62.5,81.1,35.1,20.9,25.6,66.7,79.6,13
12,12,2/11/23,C,Morgan St.,MEAC,North Carolina Centr,A,"L, 83-63",93.4,118.8,71.6,88,44.2,19.6,17.1,46.2,115.9,58.3,27.9,50,53.7,5.9,-11
13,13,11/15/22,N,Morgan St.,MEAC,Akron,A,"L, 65-59",92.9,94.7,65.1,90.7,42.2,23.1,42.5,10.9,99.9,41,16.9,43.5,44.3,44.4,-4
14,14,2/27/23,C,Morgan St.,MEAC,Maryland Eastern Sho,A,"W, 68-61",92.5,87.1,77.5,87.7,45.9,27.1,27,24.6,78.7,37.1,16.8,22.9,40.3,66.8,5
15,15,2/4/23,C,Morgan St.,MEAC,Delaware St.,N,"W, 75-65",90.4,96,77.5,96.8,42.9,14.2,34.7,19.5,83.9,44.5,27.1,30.6,45.5,33.4,6
16,16,1/28/23,C,Morgan St.,MEAC,Delaware St.,A,"L, 64-62",90,113.5,64.4,96.2,50.9,26.4,36.1,28.3,99.3,46,20.2,44.4,15.9,6.5,-3
17,17,11/12/22,N,Morgan St.,MEAC,VCU,A,"L, 69-54",86.1,87.8,74.1,72.9,37.3,28.3,32.6,14.3,93.1,57.3,32.4,33.3,52.1,44.4,-4
18,18,1/30/23,C,Morgan St.,MEAC,Maryland Eastern Sho,H,"L, 72-58",86,119.4,68.9,84.2,40.4,14.5,13.2,26.3,104.5,53.4,27.6,44.4,23.7,2.3,-9
19,19,3/9/23,CT,Morgan St.,MEAC,Maryland Eastern Sho,N,"L, 80-64",85.8,115.9,77.6,82.5,48.3,29.7,27.8,15,103.2,55.5,23.2,28.6,49.1,3,-9
20,20,11/20/22,N,Morgan St.,MEAC,Queens,N,"L, 74-64",82.1,106.3,71.2,89.8,46.6,15.4,21.1,32.8,103.9,57.7,30.9,40,42.3,4.9,-13
21,21,3/2/23,C,Morgan St.,MEAC,Coppin St.,H,"L, 77-65",80.5,118.3,71.3,91.1,39,16.8,26.8,42.4,107.9,64.5,26.6,28,14.5,1.2,-9
22,22,12/10/22,N,Morgan St.,MEAC,UMBC,A,"L, 75-63",78.6,100.9,74.7,84.4,38.5,18.8,27.9,26.2,100.5,54,21.4,27.8,17.5,5.4,-10
23,23,12/30/22,N,Morgan St.,MEAC,Hartford,A,"W, 61-54",78,86.9,70.5,86.6,43.4,31.2,41.7,43.4,76.6,40.6,31.2,28.1,39.6,22.5,5
24,24,1/21/23,C,Morgan St.,MEAC,Howard,A,"L, 88-55",76.7,106.5,77.9,70.6,39.8,28.3,26.8,27.1,113,64.2,24.4,27.6,25,2.2,-9
25,25,2/18/23,C,Morgan St.,MEAC,Norfolk St.,A,"L, 72-50",72.8,98.3,69.3,72.1,37.5,27.4,25,26.9,103.9,56.9,24.5,29.6,41.2,3.1,-9
26,26,2/13/23,C,Morgan St.,MEAC,South Carolina St.,A,"L, 74-62",68.3,94.1,83,74.7,35.2,25.3,26.7,34.4,89.2,57.1,35,37.5,35.7,2.5,-8
