#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/17/22,N,Murray St.,MVC,Texas A&M,N,"W, 88-79",130,94.8,75.2,117,60,22.6,29,72,105.1,42.3,14.6,41.7,39.4,97.4,6
2,2,1/1/23,C,Murray St.,MVC,Evansville,A,"W, 78-61",118.6,98.4,66.6,117.2,54.1,7.5,21.2,23,91.7,44.1,16.5,14.7,43.1,89.5,17
3,3,1/14/23,C,Murray St.,MVC,Illinois Chicago,H,"W, 81-64",116.4,104.9,66.3,122.2,62,21.1,36,33.3,96.6,45.4,13.6,20.5,38.9,76.8,9
4,4,1/28/23,C,Murray St.,MVC,Missouri St.,H,"W, 74-71",115.7,112.5,64.3,115.2,52,18.7,31,47.1,110.5,49.2,14,41.7,24.2,57.9,1
5,5,2/7/23,C,Murray St.,MVC,Drake,H,"L, 92-68",114.6,141,62.8,108.2,45.8,4.8,23.1,30,146.4,69.6,11.1,29.2,26.8,8.5,-16
6,6,1/21/23,C,Murray St.,MVC,Indiana St.,H,"W, 82-73",114.6,102.6,70.6,116.2,44.3,11.3,36.8,54.1,103.4,48.4,15.6,34.2,31.7,78.1,0
7,7,2/1/23,C,Murray St.,MVC,Belmont,H,"W, 83-82",113.9,108.8,71.4,116.2,59.4,15.4,31.4,21.9,114.8,58.2,16.8,21.2,21.3,62.9,2
8,8,2/15/23,C,Murray St.,MVC,Illinois St.,A,"W, 76-75",113,120.7,64.7,117.5,60.9,13.9,21.4,23.6,116,61.5,20.1,26.1,25,31.8,-1
9,9,2/21/23,C,Murray St.,MVC,Missouri St.,A,"L, 84-69",108.9,128.8,65,106.2,52.8,16.9,19.4,30.2,129.3,61.7,12.3,36.7,10.9,12.6,-10
10,10,3/3/23,CT,Murray St.,MVC,Drake,N,"L, 74-62",108.4,110.4,62.7,99,45.7,14.4,30.3,24.1,118.1,60.6,14.4,22.2,26.9,44.8,-6
11,11,12/29/22,C,Murray St.,MVC,Southern Illinois,H,"L, 63-57",106.2,116.9,56.6,100.8,45.7,17.7,32.3,42.6,111.4,51.9,7.1,22.6,26.4,24.8,-3
12,12,1/4/23,C,Murray St.,MVC,Bradley,H,"W, 67-58",105.3,89.1,66,101.5,46.1,21.2,35.5,47.1,87.9,40.5,19.7,30,27.6,87.2,3
13,13,1/24/23,C,Murray St.,MVC,Southern Illinois,A,"L, 68-64",104.2,105.9,66.1,96.9,44.6,24.2,40.5,35.7,103,57.4,24.2,19.2,34,45.4,-3
14,14,1/17/23,C,Murray St.,MVC,Belmont,A,"L, 80-65",103.3,113.2,64.4,101,39.4,7.8,40,21.1,124.2,59.3,14,34.4,23.7,25.7,-5
15,15,12/4/22,C,Murray St.,MVC,Valparaiso,A,"W, 77-70",102.4,105.9,64.1,106.8,52.5,18,28.6,35,97.1,45.6,18,35.7,16.2,40.6,-2
16,16,2/18/23,C,Murray St.,MVC,Evansville,H,"W, 74-58",101.9,105.4,66.6,111.2,49.1,21,40.6,37.5,87.2,45.5,16.5,22.2,26.8,40.2,4
17,17,12/21/22,N,Murray St.,MVC,Middle Tennessee,A,"L, 83-67",101.6,117.7,68.6,97.7,56.7,27.7,20,44.4,121,63.2,17.5,29.2,24.6,15.6,-9
18,18,3/2/23,CT,Murray St.,MVC,Valparaiso,N,"W, 78-50",101.2,76.3,73.1,106.7,50,8.2,23.1,20.6,68.4,34.5,26,18.9,29.1,96.2,12
19,19,1/7/23,C,Murray St.,MVC,Drake,A,"L, 82-64",101.1,110,69.4,92.2,49.1,14.4,6.2,19.6,118.1,57.3,17.3,32.4,22.6,27.6,-11
20,20,11/26/22,N,Murray St.,MVC,Chattanooga,A,"L, 69-66",100.7,98.9,65.7,100.5,43.3,9.1,29.3,16.4,105.1,46.6,13.7,26.8,28.8,55.1,2
21,21,11/20/22,N,Murray St.,MVC,Tulsa,N,"W, 77-60",99.7,85.3,73.8,104.3,48.4,17.6,35.9,34.4,81.3,41.8,10.8,13,16.4,85.8,11
22,22,12/1/22,C,Murray St.,MVC,Illinois St.,H,"W, 70-67",99.6,101.8,60.4,103,49.2,11.8,26.3,24.6,98.5,51.7,20.6,20.6,10,43.7,6
23,23,11/18/22,N,Murray St.,MVC,Massachusetts,N,"L, 71-69",98.9,101.8,71.6,96.4,50,15.4,17.6,29.8,99.2,39.9,9.8,32.1,25.7,41.8,3
24,24,1/10/23,C,Murray St.,MVC,Northern Iowa,A,"L, 75-67",98.3,104,70.1,95.6,49.2,17.1,19.4,20.3,107,50.8,11.4,20,32.8,34.3,0
25,25,2/4/23,C,Murray St.,MVC,Indiana St.,A,"L, 99-56",98.2,127,67.4,83,42.2,17.8,10.3,33.3,146.8,71.5,5.9,23.1,12.3,4.9,-10
26,26,11/7/22,N,Murray St.,MVC,Saint Louis,A,"L, 91-68",97,111.5,74,91.9,42.7,13.5,22,35.5,122.9,54.1,12.2,39,21.6,16.8,-9
27,27,2/11/23,C,Murray St.,MVC,Bradley,A,"L, 83-48",94.4,116.7,63,76.2,34.9,15.9,15.2,62.8,131.7,62.9,12.7,25,19,8.1,-6
28,28,2/26/23,C,Murray St.,MVC,Valparaiso,H,"W, 77-76",94.2,106.1,69.5,98.5,50.8,17.9,20.6,32.8,97.2,51.4,16.6,18.9,8.6,20.4,-2
29,29,12/16/22,N,Murray St.,MVC,Austin Peay,H,"W, 68-60",91.4,102.5,67,101.5,50,14.9,25,24.1,89.6,47.4,22.4,24.2,12.3,21.1,0
30,30,12/10/22,N,Murray St.,MVC,Bellarmine,A,"L, 69-58",88.7,111.3,63,92.1,41.7,23.8,33.3,45.8,109.5,50.9,17.5,29,34,6.8,-8
31,31,12/13/22,N,Murray St.,MVC,Chicago St.,H,"W, 66-65",88.3,108,65.3,101.1,47.4,19.9,38.5,36.8,99.6,47.3,19.9,31.4,28.6,9,-11
