#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,NJIT,AE,Vermont,H,"L, 82-80",119,112.3,61.2,116.3,61.2,16,23.1,20.7,119.2,56.5,8.7,27,37.1,66,4
2,2,1/8/23,C,NJIT,AE,Maine,A,"W, 91-83",113.9,117.4,68,119,57.6,11.8,28.2,42.4,108.6,53,13.1,22.5,23.9,41.3,-1
3,3,11/22/22,N,NJIT,AE,Sacred Heart,A,"W, 85-75",113.9,112.8,71.4,119.1,62,12.6,12.9,46.3,105.1,45.1,9.8,20.5,41,52.9,7
4,4,2/22/23,C,NJIT,AE,Bryant,H,"L, 79-78",109.2,113.7,70,111.4,51.5,10,18.9,16.4,112.9,56.8,14.3,37.1,15.2,38.6,5
5,5,1/22/23,C,NJIT,AE,Vermont,A,"L, 85-69",109.1,122.1,65.2,105.9,52.6,10.7,18.2,22.8,130.4,63.6,12.3,25.9,22,21.5,-10
6,6,12/22/22,N,NJIT,AE,South Florida,A,"L, 92-73",108.7,126.7,69.9,104.5,51.6,17.2,28.2,24.2,131.7,63.6,12.9,38.2,24.2,14.7,-9
7,7,1/19/23,C,NJIT,AE,Bryant,A,"L, 87-75",105.1,121.2,71.2,105.4,52.3,15.5,23.5,12.5,122.2,61.2,16.9,25,31,16.3,-6
8,8,11/30/22,N,NJIT,AE,Cincinnati,A,"L, 86-60",100.6,115.2,66.9,89.7,51,22.4,13.3,22,128.6,57.8,13.5,43.8,28.1,17.5,-11
9,9,2/15/23,C,NJIT,AE,Binghamton,A,"L, 86-67",100.3,131.3,66.8,100.3,40.8,4.5,23.9,33.8,128.7,63.3,13.5,33.3,21.7,4.3,-6
10,10,2/28/23,C,NJIT,AE,New Hampshire,A,"L, 59-58",99.8,105,58.9,98.5,47.2,13.6,22.6,20.8,100.2,43.8,6.8,23.8,32.1,35.8,3
11,11,2/4/23,C,NJIT,AE,UMass Lowell,A,"L, 90-61",96,126.1,66.9,91.2,45.7,16.4,25.7,24.1,134.6,60.9,12,40,23.4,4.2,-14
12,12,12/31/22,C,NJIT,AE,UMass Lowell,H,"L, 67-64",95.7,98,66.9,95.7,45.7,16.5,22.9,24.1,100.2,54.7,26.9,40.6,32.1,43.3,-1
13,13,1/14/23,C,NJIT,AE,Albany,H,"W, 74-67",95,106.6,68.7,107.7,49.1,11.6,21.1,48.2,97.5,48.3,17.5,23.7,27.6,20.9,3
14,14,11/27/22,N,NJIT,AE,Wagner,H,"L, 62-57",94.8,114.2,60.3,94.5,48,19.9,32.4,42.9,102.8,44.4,11.6,35.7,19,10.5,0
15,15,2/25/23,C,NJIT,AE,Albany,A,"L, 82-68",94.4,129.9,66.2,102.7,51.7,13.6,20,22.4,123.8,51.8,13.6,38.2,49.1,2.5,-7
16,16,11/13/22,N,NJIT,AE,San Diego,A,"L, 74-64",94.4,107.7,64.2,99.7,45.3,12.5,24.3,49.1,115.3,48.3,9.4,30.8,35,18.1,-5
17,17,1/25/23,C,NJIT,AE,UMBC,H,"W, 69-65",93.5,98.2,67.8,101.8,52.5,20.7,31.4,13.3,95.9,48.4,13.3,22.5,19,36.1,1
18,18,1/11/23,C,NJIT,AE,Binghamton,H,"L, 72-71",92.3,113.9,62.4,101.2,49.2,18.5,31.6,22.2,102.6,48.4,14.3,28.9,21.9,8.2,-6
19,19,2/11/23,C,NJIT,AE,Maine,H,"W, 65-50",92.3,81.4,66.9,97.1,50,26.9,34.5,26.4,74.7,42.3,19.4,14.7,25,80.8,8
20,20,2/8/23,C,NJIT,AE,UMBC,A,"L, 72-63",91.9,98,68.9,91.4,48.3,20.3,23.1,15,104.4,54.5,13.1,9.4,29.1,32.3,5
21,21,3/4/23,CT,NJIT,AE,Vermont,A,"L, 84-57",91.7,114.9,66.6,85.6,44.8,18,14.3,8.6,126.2,59.5,10.5,29,15.9,7,-12
22,22,12/11/22,N,NJIT,AE,Fairleigh Dickinson,A,"L, 73-71",91.2,100.7,70.1,101.2,52.8,17.1,18.2,35.2,104.1,46.4,22.8,39.5,53.6,24.3,0
23,23,12/7/22,N,NJIT,AE,Army,A,"L, 63-62",91.1,98.6,65.4,94.8,40.7,7.6,26.1,7.1,96.4,45.5,22.9,45,7.6,28.6,-3
24,24,12/18/22,N,NJIT,AE,Niagara,H,"W, 62-53",88.5,80.2,68,91.1,37.7,22.1,34.3,49.1,77.9,40.2,20.6,22.2,21.4,75.6,8
25,25,12/3/22,N,NJIT,AE,Bucknell,H,"L, 79-63",85.6,122.1,69.5,90.6,37.9,8.6,16.7,48.3,113.6,61,17.3,23.3,16.9,1.7,-10
26,26,11/11/22,N,NJIT,AE,Cal Baptist,A,"L, 59-43",85.2,101.1,55.7,77.2,47.6,30.5,16,17.1,105.9,56,19.7,28,40.5,12.2,-4
27,27,2/1/23,C,NJIT,AE,New Hampshire,H,"L, 74-67",83.5,101.3,70.2,84.8,42.3,13.9,19.6,18.3,93.7,44.6,13.9,23.4,44.6,9.8,-3
28,28,11/7/22,N,NJIT,AE,Saint Peter's,A,"L, 73-59",80.6,123.2,66.9,88.2,38.9,19.4,30.6,50,109.1,49.2,13.4,32.4,32.2,0.8,-17
29,29,11/19/22,N,NJIT,AE,American,H,"L, 58-53",78.1,97.7,63,84.1,43.5,20.6,20.6,54.3,92.1,46.1,17.5,21.2,29.4,7,-4
