#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,12/29/22,C,Nebraska Omaha,Sum,Oral Roberts,H,"L, 92-89",114.2,110.5,78.4,113.5,51.5,17.9,30.8,29.4,117.3,61.4,17.9,18.8,45.6,59.3,-4
2,2,2/2/23,C,Nebraska Omaha,Sum,St. Thomas,H,"L, 89-83",114.2,126.9,69.5,119.4,62,18.7,29.2,56,128,56.4,14.4,31,52.7,23,-3
3,3,1/5/23,C,Nebraska Omaha,Sum,Western Illinois,A,"W, 78-74",114.1,105.1,68.1,114.6,59.8,19.1,22.2,45.1,108.7,41.1,8.8,25,57.1,72,11
4,4,12/19/22,C,Nebraska Omaha,Sum,Denver,H,"W, 83-66",112,113.4,65.9,125.9,57.3,12.1,33.3,22.6,100.1,57,22.7,15.4,22,46.3,-1
5,5,3/3/23,CT,Nebraska Omaha,Sum,UMKC,N,"W, 73-61",111.7,100.4,64.8,112.7,52.8,9.3,20,45.3,94.2,43.3,15.4,30.8,25,77.4,12
6,6,11/26/22,N,Nebraska Omaha,Sum,Southern,N,"W, 88-78",110.7,113.7,77.1,114.1,60.2,20.7,15.4,69.4,101.2,54,22,27,27.4,42.2,2
7,7,11/13/22,N,Nebraska Omaha,Sum,Idaho,H,"W, 79-72",110.1,104.5,68.4,115.4,52.7,17.5,31.2,41.1,105.2,55.3,24.8,23.1,44.7,64.6,12
8,8,11/7/22,N,Nebraska Omaha,Sum,Kansas,A,"L, 89-64",108,112.7,70.1,91.3,43,18.6,22.9,33.3,127,58.7,12.8,44.4,21.7,37.8,-11
9,9,2/16/23,C,Nebraska Omaha,Sum,South Dakota,H,"W, 80-72",105.9,115,66.9,119.5,50.9,12,32.4,56.4,107.6,55.5,12,9.1,27.3,27.7,-1
10,10,12/7/22,N,Nebraska Omaha,Sum,Drake,A,"L, 78-65",105.7,102.7,69.2,93.9,49.2,14.4,9.1,10,112.7,51.6,13,31.4,25.4,58.2,-4
11,11,2/4/23,C,Nebraska Omaha,Sum,Western Illinois,H,"L, 75-72",105.7,119.6,64.3,112,56.6,17.1,32.1,35.8,116.6,53.3,14,34.3,26.7,19.5,4
12,12,1/21/23,C,Nebraska Omaha,Sum,South Dakota,A,"L, 84-68",104.6,129.9,63.2,107.6,55.3,15.8,22.6,10.5,132.9,68.9,15.8,28,30.2,7.7,-4
13,13,2/18/23,C,Nebraska Omaha,Sum,South Dakota St.,H,"L, 91-70",102.3,140.9,66.4,105.4,47.7,15.1,32.5,18.8,137.1,61.1,7.5,33.3,27,2.5,-15
14,14,11/28/22,N,Nebraska Omaha,Sum,Mississippi St.,A,"L, 74-54",99,107.8,65.7,82.2,46.3,27.4,29.4,13,112.6,48.5,13.7,39.5,23.1,27.4,-7
15,15,11/25/22,N,Nebraska Omaha,Sum,Louisiana Monroe,N,"W, 63-56",98.1,100,61.9,101.8,53.5,27.5,29.2,44.2,90.5,41.1,19.4,40,12.9,44.7,0
16,16,1/7/23,C,Nebraska Omaha,Sum,St. Thomas,A,"L, 80-68",96.7,110,69.7,97.5,45,20.1,28.2,30,114.8,52.6,12.9,29.7,43.1,18.6,-5
17,17,1/26/23,C,Nebraska Omaha,Sum,UMKC,A,"L, 64-61",96.2,110.6,62.5,97.7,43,16,26.5,48,102.5,39.8,19.2,46.2,33.9,16.7,-1
18,18,1/14/23,C,Nebraska Omaha,Sum,North Dakota St.,H,"L, 78-65",95.8,117.3,66.7,97.4,53.6,24,25,12.7,116.9,61.2,18,30.6,25.9,8.9,-4
19,19,2/11/23,C,Nebraska Omaha,Sum,North Dakota,A,"L, 76-73",95.5,102.1,65.2,99.5,52,21.8,17.9,45.1,103.5,47.6,12.3,21.4,40.3,31.7,1
20,20,12/31/22,C,Nebraska Omaha,Sum,UMKC,H,"L, 75-59",94.2,128.5,62.6,94.2,51.1,20.8,11.5,33.3,119.8,67.4,27.2,36.4,37,2.7,-3
21,21,1/28/23,C,Nebraska Omaha,Sum,Oral Roberts,A,"L, 73-64",94.1,90.7,72.2,88.7,41.9,12.5,23.3,16.2,101.2,44.8,11.1,27.5,25.4,60.6,-3
22,22,1/19/23,C,Nebraska Omaha,Sum,South Dakota St.,A,"L, 84-61",94,122.6,66.9,91.2,44.8,17.9,27,24.1,125.6,64.3,12,16.7,30.4,4.5,-11
23,23,1/12/23,C,Nebraska Omaha,Sum,North Dakota,H,"W, 69-63",93.4,100,66.4,103.9,58,25.6,32,26,94.9,40.2,9,24.4,21.2,31.4,-1
24,24,11/10/22,N,Nebraska Omaha,Sum,Nebraska,A,"L, 75-61",93.2,107.6,68.7,88.7,45.7,23.3,25,17.2,109.1,57,16,23.5,62,16.1,-11
25,25,12/10/22,N,Nebraska Omaha,Sum,Montana St.,A,"L, 82-54",92.7,123.3,64.1,84.2,45,26.5,30,26,127.9,58.5,12.5,35.3,32.2,3.6,-14
26,26,11/21/22,N,Nebraska Omaha,Sum,Iowa,A,"L, 100-64",92.3,111.9,73.9,86.6,46.8,18.9,18.9,12.7,135.3,64.6,12.2,31.2,32.3,9.8,-15
27,27,12/3/22,N,Nebraska Omaha,Sum,North Texas,A,"L, 75-45",83.4,103.5,65.1,69.1,33.3,18.4,15.8,31.4,115.2,52.5,21.5,42.9,27.1,7.7,-10
28,28,3/4/23,CT,Nebraska Omaha,Sum,South Dakota St.,N,"L, 63-55",81.5,91,68.4,80.4,43.3,19,16.2,5,92.1,36.8,8.8,17.5,45.6,22,-2
29,29,11/16/22,N,Nebraska Omaha,Sum,Ball St.,H,"L, 71-61",79.6,96.1,73.1,83.4,40,23.2,34.1,35,97.1,46.2,23.2,29.4,52.8,10.3,-7
30,30,2/25/23,C,Nebraska Omaha,Sum,Denver,A,"L, 72-61",77.9,103.1,73.6,82.8,35.1,17.7,18.6,45.6,97.8,56.1,25.8,23.1,46.9,3.8,-11
31,31,2/9/23,C,Nebraska Omaha,Sum,North Dakota St.,A,"L, 84-58",77.3,120.8,71.2,81.5,37,5.6,11.4,11.6,118,59.2,12.6,23.3,30,0.6,-21
