#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/14/23,C,Nebraska,B10,Rutgers,A,"W, 82-72",137.2,105.8,68.5,119.8,69.1,20.4,15.4,16.4,105.2,52.5,16.1,29.7,23,95.2,3
2,2,11/30/22,N,Nebraska,B10,Boston College,H,"W, 88-67",135.4,115.6,62.8,140,73.1,15.9,29.2,34.6,106.6,51.9,15.9,29,27.8,86,5
3,3,3/5/23,C,Nebraska,B10,Iowa,A,"W, 81-77",122.6,101.4,65.9,122.8,71.7,22.7,28,15.1,116.8,44.6,9.1,41.2,23,89.8,0
4,4,2/5/23,C,Nebraska,B10,Penn St.,H,"W, 72-63",118.3,90.3,62.2,115.7,60.8,11.2,14.3,35.3,101.2,51.7,12.9,21.6,6.7,95.7,7
5,5,1/7/23,C,Nebraska,B10,Minnesota,A,"W, 81-79",117.6,116.9,61.2,117.6,55.1,16,34.4,35.6,114.7,56.2,10.2,20.6,15.6,51.9,0
6,6,2/28/23,C,Nebraska,B10,Michigan St.,H,"L, 80-67",116.8,107.4,65.7,101.9,58.2,21.3,15.4,30.6,121.7,57.8,15.2,34.3,10.9,72.4,5
7,7,11/20/22,N,Nebraska,B10,Arkansas Pine Bluff,H,"W, 82-58",116.4,108.1,64.4,127.4,60.2,15.5,43.3,48.1,90.1,50.9,28,25,5.6,70.1,5
8,8,2/8/23,C,Nebraska,B10,Michigan,A,"L, 93-72",110.8,121,70.6,101.9,54.3,11.3,14.7,29.3,131.7,69.5,18.4,25,22,26.7,-12
9,9,1/28/23,C,Nebraska,B10,Maryland,A,"L, 82-63",109.7,111.6,65.2,96.6,60,23,16.7,33.3,125.7,51.8,15.3,34.4,46.4,45,-7
10,10,11/7/22,N,Nebraska,B10,Maine,H,"W, 79-66",109.1,101.5,69.7,113.4,51.5,18.7,42.1,24.6,94.7,58.2,21.5,15.2,18.2,69.6,9
11,11,2/11/23,C,Nebraska,B10,Wisconsin,H,"W, 73-63",103.7,92.5,64.3,100.8,53.7,20.7,22.9,42.6,87,42.8,15.2,22.2,8.7,78.8,-4
12,12,2/25/23,C,Nebraska,B10,Minnesota,H,"W, 78-67",103.5,92.2,74.6,104.6,52.5,13.4,17.6,34.4,89.8,47.5,25.5,25.7,18.6,79.1,8
13,13,2/19/23,C,Nebraska,B10,Maryland,H,"W, 70-66",102.4,86.1,64.4,96.6,44,13.8,25,43.1,91.1,38.4,16.6,30.6,27.5,88,1
14,14,1/25/23,C,Nebraska,B10,Northwestern,H,"L, 78-63",102.2,112.7,67.8,93,55.7,23.6,16.1,15.1,115.1,61.6,22.1,33.3,21.4,24.6,-10
15,15,11/25/22,N,Nebraska,B10,Memphis,N,"L, 73-61",101.7,100.4,66,92.5,52,30.3,36.7,23.5,110.7,56.8,19.7,33.3,18.6,53.9,-7
16,16,1/21/23,C,Nebraska,B10,Penn St.,A,"L, 76-65",101.7,98.9,67,97,51,13.4,14.7,47.1,113.4,59.1,14.9,13.3,25.5,58,-5
17,17,12/29/22,C,Nebraska,B10,Iowa,H,"W, 66-50",101.5,64.6,65.7,100.4,47.5,21.3,37.8,23.7,76.1,30.8,9.1,29.8,11,99.4,13
18,18,11/10/22,N,Nebraska,B10,Nebraska Omaha,H,"W, 75-61",101.5,93.3,68.7,109.1,57,16,23.5,62,88.7,45.7,23.3,25,17.2,72.6,11
19,19,11/24/22,N,Nebraska,B10,Oklahoma,N,"L, 69-56",101.2,108.3,60.2,93,45,18.3,36.7,38,114.6,58.8,11.6,14.3,5.3,31.5,-7
20,20,3/8/23,CT,Nebraska,B10,Minnesota,N,"L, 78-75",101,109.9,73.2,102.4,48.4,10.9,16.7,33.9,106.5,61.5,20.5,15.4,38.5,27.4,-3
21,21,11/27/22,N,Nebraska,B10,Florida St.,N,"W, 75-58",100.8,84.9,70.8,106,54.5,19.8,38.2,7.6,82,41.5,26.9,34.2,25.4,87.8,6
22,22,12/10/22,C,Nebraska,B10,Purdue,H,"L, 65-62",100.5,88.5,58.8,93.8,38.2,13.6,37.3,13.9,98.3,45.7,18.1,35.9,34.5,81.3,-4
23,23,1/13/23,C,Nebraska,B10,Purdue,A,"L, 73-55",100.4,103.7,61,90.2,50,16.4,13.3,5.7,119.7,54.8,19.7,44.4,38.5,40.7,-12
24,24,12/20/22,N,Nebraska,B10,Queens,H,"W, 75-65",100,85.4,73.1,102.6,57.6,17.8,17.2,16.9,88.9,39.2,13.7,23.4,33.8,86,11
25,25,12/7/22,C,Nebraska,B10,Indiana,A,"L, 81-65",97.4,103.7,71.7,90.6,48.2,18.1,12.5,25,112.9,62.5,20.9,25,13.3,32.8,-12
26,26,12/4/22,N,Nebraska,B10,Creighton,A,"W, 63-53",97.2,68.7,71.3,88.3,50,18.2,15.6,11.9,74.3,38.5,21,21.3,7.7,98.2,3
27,27,1/3/23,C,Nebraska,B10,Michigan St.,A,"L, 74-56",95,106.1,64.2,87.3,43.6,14,20,36.4,115.3,53.8,14,40,9.2,21.9,-12
28,28,1/31/23,C,Nebraska,B10,Illinois,A,"L, 72-56",89.8,89,72.6,77.1,48,26.2,10,20,99.2,45.8,17.9,25.7,36.7,52.7,-3
29,29,12/17/22,N,Nebraska,B10,Kansas St.,A,"L, 71-56",88.8,92.3,71.2,78.6,35.7,25.3,31.7,39.3,99.7,48.3,19.7,31.6,31.7,39,-9
30,30,1/18/23,C,Nebraska,B10,Ohio St.,H,"W, 63-60",88.3,76.1,72.5,86.9,46.4,17.9,11.1,30.4,82.8,40.2,15.2,14.6,41.1,84.7,2
31,31,1/10/23,C,Nebraska,B10,Illinois,H,"L, 76-50",85,103.8,67.4,74.2,40.7,25.2,24.3,20.4,112.8,52.5,16.3,35.1,29.5,9.2,-8
32,32,11/17/22,N,Nebraska,B10,St. John's,A,"L, 70-50",82.5,88.1,71.2,70.3,33.6,23.9,36.7,21.9,98.4,42.6,18.3,42.9,18.9,32.1,-2
