#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/22/22,N,Nevada,MWC,Kansas St.,N,"L, 96-87",135.3,119.5,65.4,118.3,60.2,15,20.7,50,130.5,61.7,20.4,44.8,46.7,80.7,-1
2,2,1/31/23,C,Nevada,MWC,San Diego St.,H,"W, 75-66",131.9,101.4,63,119.1,55,9.5,14.8,46,104.8,51,17.5,18.5,39.6,95.4,1
3,3,1/13/23,C,Nevada,MWC,Utah St.,H,"W, 85-70",126.5,100.9,66.7,127.4,62.5,10.5,22.2,32.1,104.9,45.6,18,32.4,40.4,93,-2
4,4,11/28/22,N,Nevada,MWC,Sam Houston St.,H,"W, 78-60",125.6,96.2,65.8,118.6,53.1,15.2,27.3,69.4,91.3,38.7,19.8,32.5,49.1,95.5,5
5,5,1/4/23,C,Nevada,MWC,Colorado St.,H,"W, 80-69",120.8,104.4,64.1,124.9,65.6,21.9,33.3,51.1,107.7,58.8,23.4,24.1,25.5,84.2,3
6,6,2/7/23,C,Nevada,MWC,New Mexico,A,"W, 77-76",120.5,101.3,66.5,115.7,59.5,16.5,20,17.2,114.2,50,15,32.3,53.8,88,1
7,7,12/21/22,N,Nevada,MWC,Norfolk St.,H,"W, 78-66",120.1,99.1,63.6,122.6,56.6,11,27.6,41.5,103.8,52.7,18.9,23.3,18.2,90.1,14
8,8,2/10/23,C,Nevada,MWC,Fresno St.,H,"W, 77-66",119.6,110.1,63.8,120.7,61.4,15.7,13.6,59.1,103.5,50,12.5,19.4,19,72,0
9,9,12/31/22,C,Nevada,MWC,Air Force,A,"W, 75-69",118.6,96.7,67,112,51,19.4,31,51,103,54.8,19.4,19.4,30.8,91.3,9
10,10,12/28/22,C,Nevada,MWC,Boise St.,H,"W, 74-72",116.4,102,68.7,107.7,56,17.5,12.5,46,104.8,51.8,18.9,29.4,40,82,-2
11,11,1/23/23,C,Nevada,MWC,New Mexico,H,"W, 97-94",113.6,101,68.5,113.3,51.3,10.5,26.2,34.7,109.8,60.3,22.2,21.9,36.5,79.5,0
12,12,3/9/23,CT,Nevada,MWC,San Jose St.,N,"L, 81-77",112.7,111.2,61.9,110.5,44.2,12.9,35,46.7,116.2,53.8,8.6,22.2,26.2,53.8,-3
13,13,2/3/23,C,Nevada,MWC,Air Force,H,"W, 72-52",112.6,90.7,61,118.1,52.2,11.5,25.9,69.6,85.3,52.2,23,12.9,26.7,92.3,5
14,14,1/17/23,C,Nevada,MWC,Boise St.,A,"L, 77-62",112,111.1,63.7,97.4,51,23.6,32.3,25,121,60,12.6,23.1,27.3,52.3,-6
15,15,2/21/23,C,Nevada,MWC,San Jose St.,H,"W, 66-51",110.8,94,56.5,116.7,51.9,8.8,23.3,28.8,90.2,45.5,15.9,25.7,3.6,86.9,0
16,16,12/6/22,N,Nevada,MWC,Pepperdine,A,"W, 85-77",110.6,105.9,74.3,114.5,53.3,13.5,23.5,39.3,103.7,49.2,17.5,26.2,23.1,62.2,-2
17,17,1/10/23,C,Nevada,MWC,San Diego St.,A,"L, 74-65",110.1,107.8,65.5,99.2,44,12.2,23.5,31,112.9,58,18.3,25,40,56.2,-13
18,18,11/7/22,N,Nevada,MWC,Utah Tech,H,"W, 84-71",109.6,97,73.6,114.1,55.2,16.3,29,44.8,96.5,44.8,21.7,30.8,43.1,80.3,4
19,19,2/18/23,C,Nevada,MWC,Utah St.,A,"L, 75-66",109.2,89.8,69.3,95.2,50,15.9,11.1,27.3,108.2,52.7,18.8,25,36.4,90.4,8
20,20,11/21/22,N,Nevada,MWC,Tulane,N,"W, 75-66",108,93.1,69.3,108.2,50,23.1,29,86.4,95.2,43,11.5,24.4,25,84.7,2
21,21,2/27/23,C,Nevada,MWC,Wyoming,A,"L, 80-71",104.3,104,71.2,99.7,46.7,12.6,18.4,27.9,112.4,59.6,23.9,23.1,59.6,50.6,1
22,22,1/7/23,C,Nevada,MWC,San Jose St.,A,"W, 67-40",100.4,63.7,65,103.1,47.7,15.4,35,13.8,61.5,40,30.8,15.2,22.2,99.5,7
23,23,2/24/23,C,Nevada,MWC,Fresno St.,A,"W, 60-56",97.7,88.8,63.8,94.1,50,12.5,14.8,25.5,87.8,45.5,26.7,30,8.9,75.1,0
24,24,11/23/22,N,Nevada,MWC,Akron,N,"W, 62-58",97.4,89.9,63.2,98.1,44.7,14.2,27,22.8,91.8,50,22.2,20.7,21.6,71.4,-1
25,25,12/10/22,N,Nevada,MWC,Oregon,A,"L, 78-65",97.4,103.3,69.3,93.7,38.6,10.1,22.7,21.2,112.5,55.1,15.9,27.8,32.2,33.6,-11
26,26,3/4/23,C,Nevada,MWC,UNLV,H,"L, 69-67",92.4,91.2,66.6,89.4,40.7,16,20.5,64.8,92.1,42.4,16,29.2,15.3,53.9,-2
27,27,12/14/22,N,Nevada,MWC,UC San Diego,H,"W, 64-56",91.1,90.2,65.4,97.9,50,15.3,15.6,46.9,85.7,41.5,12.2,12.8,13.6,52.6,1
28,28,11/12/22,N,Nevada,MWC,Grand Canyon,H,"W, 59-46",90.1,77.1,60.1,98.2,42.2,10,17.6,39.2,76.5,33.6,15,24.4,21.8,85.8,1
29,29,1/28/23,C,Nevada,MWC,UNLV,A,"L, 68-62",88.9,85.4,75.4,82.2,42.7,25.2,16.7,30.9,90.2,52,22.5,13.9,59.2,61.5,-2
30,30,11/18/22,N,Nevada,MWC,UT Arlington,A,"W, 62-43",87.4,65,70.3,88.1,47.1,24.2,24.2,42.3,61.1,20.5,19.9,29.4,53.6,96.8,9
31,31,12/3/22,N,Nevada,MWC,Loyola Marymount,A,"L, 64-52",85.5,93,63.9,81.4,38.2,14.1,13.9,29.4,100.2,48.2,20.4,34.4,28.6,27.5,-4
