#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/11/22,N,New Hampshire,AE,Fairfield,H,"W, 83-71",126.8,118.8,64,129.7,65.1,12.5,20.7,34,110.9,52,12.5,15.6,43.1,67.8,8
2,2,2/22/23,C,New Hampshire,AE,Maine,H,"W, 74-62",117.1,112.1,60.1,123.1,56.9,13.3,25,37.3,103.1,52.9,16.6,26.7,21.2,62.2,6
3,3,1/14/23,C,New Hampshire,AE,Bryant,H,"L, 87-81",115.4,135.1,66.8,121.3,53.4,7.5,25.7,39,130.3,65.2,21,36,76.1,14,-6
4,4,12/19/22,N,New Hampshire,AE,Holy Cross,H,"W, 78-60",112.7,108.8,63.6,122.6,63,15.7,22.2,40,94.3,48.2,17.3,22.9,17.9,60,8
5,5,1/8/23,C,New Hampshire,AE,Vermont,H,"W, 67-60",108.3,87.4,63.9,104.9,46.6,12.5,26.3,27.1,94,45.4,12.5,17.6,27.8,92.2,8
6,6,1/25/23,C,New Hampshire,AE,Albany,H,"W, 84-65",108.2,103.7,68.6,122.5,58.5,11.7,24.1,28.8,94.8,43.2,16,26.3,32.2,61.9,10
7,7,12/6/22,N,New Hampshire,AE,Boston College,A,"W, 74-71",107.4,101.8,62.8,104.8,48.4,21.2,41.5,33.9,100.5,40.8,14.2,36.2,43.1,65.1,1
8,8,1/11/23,C,New Hampshire,AE,Maine,A,"W, 71-58",106.3,95.5,64.8,109.5,58.3,21.6,25.8,45.8,89.5,43.6,17,19.4,23.6,77.4,6
9,9,12/31/22,C,New Hampshire,AE,Albany,A,"W, 67-51",105.5,84.4,60.3,111,53.7,16.6,35.3,27.8,84.5,38,21.5,35.9,33.3,92.8,16
10,10,3/7/23,CT,New Hampshire,AE,UMass Lowell,A,"L, 75-64",103.3,105.9,65.7,97.5,48.2,18.3,28.9,36.4,114.2,58.9,21.3,26.1,60,42.9,-2
11,11,1/21/23,C,New Hampshire,AE,UMBC,A,"L, 80-69",99.6,125.8,64.2,107.5,47.7,12.5,38.1,23.1,124.7,62.7,12.5,28.6,18.6,6.4,-11
12,12,2/18/23,C,New Hampshire,AE,UMBC,H,"W, 75-66",98.6,98.7,69.2,108.4,52.5,14.5,22.6,25.4,95.4,50.8,21.7,28.1,15.3,49.9,3
13,13,3/4/23,CT,New Hampshire,AE,Bryant,H,"W, 67-60",97.1,99.7,64.1,104.5,35.7,6.2,28.6,57.1,93.6,48.1,21.8,34.3,35.2,42.5,-2
14,14,2/8/23,C,New Hampshire,AE,Binghamton,H,"L, 66-64",96.1,110.3,63.5,100.7,48,18.9,32.3,57.1,103.9,51.7,12.6,26.7,13.6,17.1,1
15,15,1/28/23,C,New Hampshire,AE,UMass Lowell,H,"W, 69-65",95.8,93.4,70.1,98.5,47.5,17.1,22.9,25.4,92.8,42.2,20,30,36.2,57.3,-2
16,16,2/25/23,C,New Hampshire,AE,UMass Lowell,A,"L, 92-55",92.2,126.2,66.2,83.1,44.1,25.7,24.2,29.4,139,64.6,6,31,16.9,2.6,-12
17,17,2/28/23,C,New Hampshire,AE,NJIT,H,"W, 59-58",91.7,108.3,58.9,100.2,43.8,6.8,23.8,32.1,98.5,47.2,13.6,22.6,20.8,12.9,-3
18,18,2/1/23,C,New Hampshire,AE,NJIT,A,"W, 74-67",88.5,90.6,70.2,93.7,44.6,13.9,23.4,44.6,84.8,42.3,13.9,19.6,18.3,43.3,3
19,19,11/20/22,N,New Hampshire,AE,Boston University,H,"L, 64-57",88,107.1,64.1,89,38.1,12.5,26.8,23.7,99.9,39.8,9.4,25,37.3,9.5,-1
20,20,11/30/22,N,New Hampshire,AE,Sacred Heart,H,"L, 66-61",87.1,106.1,67,91.1,43.9,17.9,23.7,22.8,98.5,45.3,16.4,29.4,54.7,9.4,3
21,21,11/15/22,N,New Hampshire,AE,Fordham,A,"L, 79-61",86.7,108.3,73.9,82.5,34.1,9.5,20.8,24.6,106.8,54.6,20.3,25,50,7.2,-11
22,22,11/26/22,N,New Hampshire,AE,George Washington,A,"L, 75-54",86.5,115.8,60.4,89.3,37.3,8.3,31.9,11.9,124.1,56.7,14.9,34.6,32.7,3.4,-11
23,23,12/10/22,N,New Hampshire,AE,St. John's,A,"L, 64-51",81,85.8,69.8,73.1,37.1,18.6,25,3,91.7,39.7,17.2,34.8,20.6,34,-4
24,24,12/21/22,N,New Hampshire,AE,Brown,A,"L, 67-51",80.7,101.8,67.2,75.9,39.4,19.4,13.2,26.9,99.8,45.2,14.9,29.3,22.2,6.4,-9
25,25,2/15/23,C,New Hampshire,AE,Vermont,A,"L, 80-51",80,109.8,67.2,75.9,42.9,16.4,10.8,12.5,119,55.8,10.4,22.6,28.3,2.6,-15
26,26,1/5/23,C,New Hampshire,AE,Binghamton,A,"L, 68-50",79.8,112.8,62.1,80.5,43.6,11.3,11.8,46.8,109.5,51.7,14.5,26.5,20.7,1.8,-8
27,27,12/3/22,N,New Hampshire,AE,Columbia,A,"L, 56-52",77.2,91.2,65.8,79,34.2,24.3,37,28.3,85.1,47,21.3,20.6,32,12.8,0
28,28,2/4/23,C,New Hampshire,AE,Bryant,A,"L, 70-46",69.4,93.6,70.8,65,30.1,14.1,26.3,8.2,98.9,49.2,21.2,33.3,19.4,3.1,-7
