#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/26/23,C,Nicholls St.,Slnd,Texas A&M Corpus Chr,A,"L, 96-86",126.5,131.6,69.1,124.5,64.3,15.9,21.4,32.1,139,62.7,11.6,29.6,72.5,38.9,0
2,2,2/4/23,C,Nicholls St.,Slnd,Houston Christian,A,"W, 92-91",113.3,127,72.3,127.3,56.2,11.1,38.5,17.8,125.9,61.4,23.5,40.6,42.1,21.2,3
3,3,12/15/22,C,Nicholls St.,Slnd,Southeastern Louisia,H,"W, 88-73",112.3,99.6,74,118.9,61.8,21.6,33.3,56.4,98.6,50,18.9,23.5,47.3,79.9,12
4,4,2/18/23,C,Nicholls St.,Slnd,Incarnate Word,H,"W, 84-74",110,116.3,70.2,119.6,62.9,19.9,34.5,12.9,105.4,56.6,25.6,24.1,26.4,34.5,5
5,5,12/17/22,N,Nicholls St.,Slnd,Mississippi St.,A,"L, 68-66",107,95,70.9,93,46.9,21.1,30,14.1,95.8,40.8,25.4,40.6,71.4,79.6,-1
6,6,2/11/23,C,Nicholls St.,Slnd,Southeastern Louisia,A,"W, 88-77",106.9,106.8,75.5,116.5,55.4,19.9,38.2,29.2,102,55.5,25.2,25.8,34.5,50.2,-2
7,7,11/19/22,N,Nicholls St.,Slnd,BYU,A,"L, 87-73",106.4,103.8,76.9,94.9,45,14.3,27.1,27.1,113.1,54.8,27.3,51.4,43.5,57.2,-2
8,8,12/7/22,N,Nicholls St.,Slnd,Texas Tech,A,"L, 78-71",105.2,93,75.5,94.1,47.6,18.6,19.4,27.4,103.4,58.3,23.9,26.7,109.5,80.4,2
9,9,1/14/23,C,Nicholls St.,Slnd,Northwestern St.,H,"W, 77-63",104.8,92.5,69.3,111.1,52.3,11.5,33.3,26.6,90.9,44.8,26,35.1,31,80.7,8
10,10,1/19/23,C,Nicholls St.,Slnd,McNeese St.,H,"W, 73-64",104.3,108.8,63.4,115.2,53.9,7.9,29.3,20.3,101,47.3,20.5,35.1,28.6,38.1,4
11,11,1/21/23,C,Nicholls St.,Slnd,McNeese St.,A,"W, 71-68",102.5,106.4,65.7,108.1,61.8,24.4,26.9,19.6,103.5,56,21.3,17.9,32,39.5,4
12,12,11/26/22,N,Nicholls St.,Slnd,San Diego,N,"W, 72-70",98.7,99.1,67.5,106.7,65.2,23.7,23.8,41.3,103.7,41.9,19.3,50,37.1,49,1
13,13,1/28/23,C,Nicholls St.,Slnd,Incarnate Word,A,"L, 69-67",97.1,107.7,66.9,100.1,55.7,20.9,29,32.1,103.1,47.1,14.9,17.1,52.9,23.3,4
14,14,11/7/22,N,Nicholls St.,Slnd,Arizona,A,"L, 117-75",96.1,111.5,88.2,85,45.1,18.1,22.9,30.6,132.6,82.1,27.2,33.3,75.5,15.3,-21
15,15,2/9/23,C,Nicholls St.,Slnd,New Orleans,H,"W, 84-59",95.9,83.9,78.6,106.9,55.6,20.4,23.5,28.6,75.1,37.2,33.1,22.6,76.7,82.4,10
16,16,3/6/23,CT,Nicholls St.,Slnd,McNeese St.,N,"L, 77-71",95.4,116.7,69.2,102.6,56.5,18.8,19.4,31.5,111.3,60,33.2,55.2,52,9,-3
17,17,2/23/23,C,Nicholls St.,Slnd,New Orleans,A,"L, 88-82",95.1,122.5,78.2,104.8,44.5,21.7,39.5,50,112.5,55.8,23,40,46.7,5.2,-11
18,18,2/20/23,C,Nicholls St.,Slnd,Texas A&M Commerce,H,"L, 72-71",95.1,110,68.6,103.5,52.4,19,34.2,20.6,105,49.2,17.5,35.9,31.1,15.8,1
19,19,1/5/23,C,Nicholls St.,Slnd,Texas A&M Commerce,A,"W, 66-63",92.8,105.6,63.9,103.3,54.6,17.2,25,24.1,98.6,53.9,23.5,25,27.5,18.4,-8
20,20,1/12/23,C,Nicholls St.,Slnd,Lamar,A,"L, 69-66",92.3,113.4,66.2,99.7,36.6,6,35.8,41.8,104.2,43.6,24.2,40,72.3,8.6,-2
21,21,2/16/23,C,Nicholls St.,Slnd,Texas A&M Corpus Chr,H,"L, 78-74",91.4,102.7,76.8,96.4,47.7,23.4,28.9,21.9,101.6,54.5,20.8,18.2,41.8,20.8,-5
22,22,11/10/22,N,Nicholls St.,Slnd,Wyoming,A,"L, 79-68",87.5,97.9,77.8,87.4,47.7,21.9,18.4,7.6,101.6,50.9,25.7,36.8,61.8,21.5,-8
23,23,3/1/23,C,Nicholls St.,Slnd,Lamar,H,"W, 64-60",84.8,104.3,66.2,96.7,39.4,15.1,42.6,14.1,90.6,42.7,24.2,31.4,25.5,8.4,-3
24,24,11/25/22,N,Nicholls St.,Slnd,UC Irvine,N,"L, 83-56",83.4,100.2,76.4,73.3,31.4,15.7,12.5,37.3,108.6,52.4,23.6,50,41.3,10.7,-7
25,25,2/25/23,C,Nicholls St.,Slnd,Houston Christian,H,"W, 68-64",80,96.5,71.2,95.5,51.8,14,18.9,41.1,89.9,46.2,28.1,25.6,37.7,10.3,-2
26,26,12/28/22,N,Nicholls St.,Slnd,Baylor,A,"L, 85-56",78.7,86.7,79.1,70.8,38.7,25.3,25.6,25.8,107.4,52.6,22.8,36.1,60.3,24.6,-11
27,27,1/7/23,C,Nicholls St.,Slnd,Northwestern St.,A,"L, 68-48",72.5,104.9,64.1,74.9,38.9,31.2,48.6,25.9,106.1,59,28.1,39.3,36,1.4,-13
