#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,11/29/22,N,North Carolina Centr,MEAC,UNC Asheville,H,"W, 79-66",118.5,101.8,66.8,118.2,61.8,23.9,32,33.3,98.7,62,29.9,26.9,34.8,85.2,8
2,2,11/7/22,N,North Carolina Centr,MEAC,Virginia,A,"L, 73-61",114.3,115.1,59.5,102.6,49.1,13.5,22.9,26.4,122.8,54.3,13.5,34.5,63.8,48.1,-8
3,3,2/11/23,C,North Carolina Centr,MEAC,Morgan St.,H,"W, 83-63",112.1,100.6,71.6,115.9,58.3,27.9,50,53.7,88,44.2,19.6,17.1,46.2,77.6,11
4,4,1/30/23,C,North Carolina Centr,MEAC,Norfolk St.,A,"L, 77-71",112.1,125.1,60.6,117.1,44.8,13.2,42.1,41.4,127,57.4,19.8,42.3,53.2,22.1,-5
5,5,12/6/22,N,North Carolina Centr,MEAC,Marquette,A,"L, 90-78",110.5,111.3,73.2,106.6,53.2,21.9,38.2,19,123,71.1,21.9,22.2,28.1,47.7,-16
6,6,2/13/23,C,North Carolina Centr,MEAC,Coppin St.,H,"W, 85-52",108.2,83.1,69.3,122.6,61.3,18.7,41.4,19.4,75,36.7,26,18.9,42.9,95.4,17
7,7,3/8/23,CT,North Carolina Centr,MEAC,Delaware St.,N,"W, 89-59",108.2,96.3,74,120.2,63.9,17.6,27.3,31.1,79.7,41.2,23,23.1,33.3,79.2,11
8,8,12/1/22,N,North Carolina Centr,MEAC,Radford,A,"L, 80-78",107.7,114.5,71.3,109.4,56.1,22.4,37.1,7.6,112.2,64.6,19.6,19.2,62.5,33.1,-6
9,9,2/27/23,C,North Carolina Centr,MEAC,Norfolk St.,H,"W, 76-75",105.3,95.7,64.8,104.3,51.6,20.6,39,31.7,102.9,52.8,23.3,32.3,56.6,75,12
10,10,1/7/23,C,North Carolina Centr,MEAC,Morgan St.,A,"L, 78-73",105,119.7,62.9,103.2,53.5,22.6,30.3,28.1,110.3,50.8,22.6,44.4,42.4,18.1,0
11,11,11/10/22,N,North Carolina Centr,MEAC,Appalachian St.,A,"L, 79-74",101.1,99.4,70.3,93.6,46.3,17.7,20.6,19.1,99.9,50,10.1,14.6,35.9,54.8,1
12,12,12/17/22,N,North Carolina Centr,MEAC,Gardner Webb,A,"L, 72-70",100.8,106.4,71.7,97.6,51.8,25.1,26.7,32.7,100.4,51.9,22.3,39.4,50,35,-3
13,13,11/14/22,N,North Carolina Centr,MEAC,Liberty,A,"L, 79-63",100.1,114.4,65.8,95.8,51.9,19.8,16.1,25,120.2,61.5,16.7,32.3,11.5,17.7,-15
14,14,1/21/23,C,North Carolina Centr,MEAC,Delaware St.,H,"W, 74-55",99.9,96.9,67.3,110,49,20.8,39.4,63.5,81.8,44.9,17.8,20,10.2,58.5,9
15,15,1/28/23,C,North Carolina Centr,MEAC,Howard,A,"L, 71-67",99.4,105.1,67.3,99.6,57.3,28.2,28.6,43.8,105.5,60,26.8,37,32,34.6,-2
16,16,12/20/22,N,North Carolina Centr,MEAC,The Citadel,H,"W, 81-74",98.9,106.4,75.6,107.1,52.7,19.8,34.4,61.8,97.8,52.5,22.5,24.2,25,30.2,5
17,17,2/25/23,C,North Carolina Centr,MEAC,Howard,H,"W, 68-60",97.9,92.4,67,101.5,46.6,22.4,41.2,29.3,89.6,39.6,20.9,44.7,5.6,65.9,4
18,18,2/20/23,C,North Carolina Centr,MEAC,Maryland Eastern Sho,A,"W, 68-63",95.1,86.6,77.8,87.4,45.5,28.3,44.8,52.7,81,47.5,24.4,13.3,13.6,74.6,8
19,19,1/14/23,C,North Carolina Centr,MEAC,South Carolina St.,H,"W, 71-67",92.5,104.5,68.9,103,52.1,30.5,42.9,61.7,97.2,52.8,26.1,36.7,27.8,19.7,3
20,20,3/2/23,C,North Carolina Centr,MEAC,South Carolina St.,A,"W, 71-64",88.9,92.4,73.1,97.1,40.2,17.8,33.3,42.6,87.6,39,30.1,48.8,45.8,39.1,4
21,21,2/18/23,C,North Carolina Centr,MEAC,Delaware St.,A,"W, 66-58",86.9,89.9,72.4,91.2,53.4,26.2,14.8,61.4,80.1,37.5,22.1,23.7,37.5,40.3,5
22,22,1/9/23,C,North Carolina Centr,MEAC,Coppin St.,A,"W, 64-59",86.8,86.2,69.8,91.6,44.7,28.6,41,33.3,84.5,42.7,20,16.7,25.5,52,7
23,23,1/23/23,C,North Carolina Centr,MEAC,Maryland Eastern Sho,H,"L, 59-58",86.2,91,71.4,81.3,46.2,33.6,34.4,30.8,82.7,38.5,18.2,27.5,24.6,34.8,8
24,24,3/10/23,CT,North Carolina Centr,MEAC,Norfolk St.,N,"L, 72-65",85,97.4,64.9,89,43.3,21.9,21.4,30,98.6,41.7,21.9,35.3,81.2,17.4,-4
25,25,11/26/22,N,North Carolina Centr,MEAC,Gardner Webb,H,"W, 58-53",84.9,85,68.3,84.9,41.4,21.9,28.2,20.7,77.6,38.9,26.3,33.3,38.9,49.5,0
26,26,12/13/22,N,North Carolina Centr,MEAC,LSU,A,"L, 67-57",84.7,95.7,68.2,83.6,50,20.5,11.8,14.5,98.3,44.4,16.1,35.7,28.6,19.6,-6
