#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/8/23,CT,North Carolina St.,ACC,Virginia Tech,N,"W, 97-77",146.1,101.4,68.4,141.9,70.6,11.7,34.6,19,112.6,56.5,17.6,20,35.2,98.5,16
2,2,2/1/23,C,North Carolina St.,ACC,Florida St.,H,"W, 94-66",132.5,95,69.2,135.8,56.7,11.6,43.2,34.3,95.3,50.9,18.8,21.9,33.3,97.8,20
3,3,2/22/23,C,North Carolina St.,ACC,Wake Forest,H,"W, 90-74",131,107.9,67.2,133.9,64.5,10.4,28.6,22.6,110.1,63.5,20.8,14.8,19.2,90.3,4
4,4,2/11/23,C,North Carolina St.,ACC,Boston College,A,"W, 92-62",130.5,93.2,70.3,130.9,66.4,15.7,36.7,7.5,88.2,45.9,24.2,32.5,21.3,98,11
5,5,1/4/23,C,North Carolina St.,ACC,Duke,H,"W, 84-60",130.4,78,71.2,117.9,54.3,8.4,31,21.4,84.2,44.8,29.5,26.5,54.2,99.7,17
6,6,11/15/22,N,North Carolina St.,ACC,FIU,H,"W, 107-74",124.8,94.2,82.6,129.5,61.2,15.7,37.8,22.4,89.6,56.8,26.6,18.8,25.4,96.2,17
7,7,11/7/22,N,North Carolina St.,ACC,Austin Peay,H,"W, 99-50",120.4,79.2,74.1,133.6,70,18.9,34.6,15.4,67.5,31.7,27,21.6,38.5,99.2,23
8,8,11/25/22,N,North Carolina St.,ACC,Butler,N,"W, 76-61",119.4,94.5,67.8,112.2,48.5,7.4,27.8,24.6,90,46.8,20.7,27,6.5,93.6,8
9,9,1/28/23,C,North Carolina St.,ACC,Wake Forest,A,"W, 79-77",117.4,105.2,68.5,115.3,52.2,7.3,31,23.2,112.4,49.2,8.8,21.6,36.7,77.9,-3
10,10,2/19/23,C,North Carolina St.,ACC,North Carolina,H,"W, 77-69",117.2,98.1,68.6,112.3,48.6,4.4,25,14.1,100.6,41.1,19,42.9,38.7,88.5,1
11,11,12/13/22,N,North Carolina St.,ACC,Furman,H,"W, 92-73",115.9,84.2,79.2,116.1,56.1,18.9,32.5,36.4,92.1,50.8,25.2,28.2,27.4,97.5,15
12,12,1/24/23,C,North Carolina St.,ACC,Notre Dame,H,"W, 85-82",115.3,111.8,71.4,119,45.6,2.8,25,39.7,114.8,60.2,21,27.6,38.9,58.8,2
13,13,11/24/22,N,North Carolina St.,ACC,Dayton,N,"W, 76-64",114.8,91.1,68.8,110.4,54.4,23.3,41.9,33.3,93,50.9,26.2,32.3,30.2,93.4,3
14,14,2/28/23,C,North Carolina St.,ACC,Duke,A,"L, 71-67",114.6,101.6,64.8,103.4,44.1,9.3,30.2,11.8,109.6,43.6,15.4,38.9,52.7,80.1,-4
15,15,11/23/22,N,North Carolina St.,ACC,Kansas,N,"L, 80-74",113.9,98.6,74.1,99.8,45.2,17.5,29.3,35.5,107.9,50,17.5,27.8,50,84,-2
16,16,12/10/22,C,North Carolina St.,ACC,Miami FL,A,"L, 80-73",113.3,96.6,69.4,105.2,51.6,11.5,24.3,18.8,115.3,50,8.6,28.6,25.8,86.3,6
17,17,1/7/23,C,North Carolina St.,ACC,Virginia Tech,A,"W, 73-69",113.2,88.2,68.4,106.7,45.7,16.1,34.3,43.1,100.8,50,16.1,18.8,39.6,94.7,8
18,18,12/6/22,N,North Carolina St.,ACC,Coppin St.,H,"W, 94-72",112.9,103.3,75,125.3,61.6,16,34.2,23.2,96,42.4,18.7,37.8,36.4,73.5,15
19,19,1/14/23,C,North Carolina St.,ACC,Miami FL,H,"W, 83-81",112.5,98.3,65.8,112.2,47.3,5.4,32.6,26.7,109.5,62.7,23,16,43.1,82.5,1
20,20,1/17/23,C,North Carolina St.,ACC,Georgia Tech,A,"W, 78-66",110.2,95.8,70.8,110.2,57.5,21.2,30.8,37.7,93.3,40.8,14.1,36.7,26.8,83.3,2
21,21,12/17/22,N,North Carolina St.,ACC,Vanderbilt,N,"W, 70-66",110.1,97.2,62.6,111.9,47.4,11.2,41.9,34.5,105.5,46.7,14.4,32.4,23.3,80.7,-1
22,22,1/21/23,C,North Carolina St.,ACC,North Carolina,A,"L, 80-69",109.5,103.1,70.6,97.7,46,11.3,8.8,19.4,113.3,40.7,9.9,31.4,72.2,66.6,-3
23,23,11/29/22,N,North Carolina St.,ACC,William & Mary,H,"W, 85-64",106.4,96.2,72.3,117.6,58.7,19.4,38.9,30.2,88.6,44.7,23.5,28.2,35.1,76.1,10
24,24,2/25/23,C,North Carolina St.,ACC,Clemson,H,"L, 96-71",105,132.8,70,101.5,48.3,14.3,27.5,33.3,137.2,68.4,15.7,26.9,38.6,6.3,-18
25,25,2/4/23,C,North Carolina St.,ACC,Georgia Tech,H,"W, 72-64",103.5,98.9,68,105.9,47.6,13.2,30.8,27.4,94.2,50.8,25,29.4,10.2,62.9,1
26,26,12/22/22,C,North Carolina St.,ACC,Louisville,H,"W, 76-64",102.6,98.7,68.7,110.6,50,11.6,30.8,33.9,93.2,55.6,27.7,22.2,53.3,60.8,6
27,27,2/14/23,C,North Carolina St.,ACC,Syracuse,A,"L, 75-72",102.3,99.7,70.7,101.8,47.9,17,37.2,6.9,106,47.6,14.1,25,27.4,57.3,-1
28,28,12/30/22,C,North Carolina St.,ACC,Clemson,A,"L, 78-64",100.6,101.1,70.5,90.8,36.8,11.4,29.2,26.5,110.7,46.7,9.9,22.9,40,48.6,-5
29,29,11/19/22,N,North Carolina St.,ACC,Elon,H,"W, 74-63",99,96.9,70,105.7,50,10,22,8.7,90,44.9,14.3,13.5,22,56.2,7
