#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/8/23,CT,North Carolina,ACC,Boston College,N,"W, 85-61",136.8,98.3,63.3,134.3,62.9,11.1,34.5,16.1,96.4,51.9,20.5,23.3,15.1,97.8,15
2,2,2/11/23,C,North Carolina,ACC,Clemson,H,"W, 91-71",134.2,100,69.8,130.3,59,10,29.7,22.4,101.7,51.9,18.6,17.9,34,96.7,8
3,3,11/11/22,N,North Carolina,ACC,College of Charlesto,H,"W, 102-86",134.1,113.8,76.2,133.9,64.7,10.5,28.6,65.5,112.9,54.8,18.4,38.5,12.3,86.8,0
4,4,1/4/23,C,North Carolina,ACC,Wake Forest,H,"W, 88-79",121.9,106.6,71.4,123.2,59.5,12.6,23.3,41.4,110.6,57.9,21,32.3,35.1,82.5,2
5,5,11/25/22,N,North Carolina,ACC,Iowa St.,N,"L, 70-65",119.3,101.4,64,101.6,47,21.9,38.7,50,109.4,51.8,15.6,29.4,26.3,86.6,2
6,6,2/25/23,C,North Carolina,ACC,Virginia,H,"W, 71-63",118.1,87,67.3,105.4,57.4,17.8,11.5,46.8,93.6,42.6,5.9,20.9,16.2,97.1,9
7,7,11/24/22,N,North Carolina,ACC,Portland,N,"W, 89-81",117.4,109.3,71.7,124.1,62.9,18.1,40,44.8,112.9,58.6,16.7,15.6,25.9,69.4,1
8,8,11/27/22,N,North Carolina,ACC,Alabama,N,"L, 103-101",116.9,91,67.5,99.8,45.6,17.8,31.5,22,101.7,50,21.7,36.2,23.3,94.7,0
9,9,12/21/22,N,North Carolina,ACC,Michigan,N,"W, 80-76",116.4,96.6,73.4,109,56,16.3,22.2,46.6,103.5,49.2,13.6,23.8,33.9,89.5,3
10,10,12/13/22,N,North Carolina,ACC,The Citadel,H,"W, 100-67",114.7,100.5,77.1,129.7,60.8,15.6,37.1,41.5,86.9,45.8,15.6,20.9,6.9,82,12
11,11,1/21/23,C,North Carolina,ACC,North Carolina St.,H,"W, 80-69",114.5,92.9,70.6,113.3,40.7,9.9,31.4,72.2,97.7,46,11.3,8.8,19.4,91.8,3
12,12,1/7/23,C,North Carolina,ACC,Notre Dame,H,"W, 81-64",113.4,92.6,68.3,118.5,53.8,11.7,34.2,29.2,93.7,47.5,11.7,17.9,23.3,91.1,8
13,13,1/17/23,C,North Carolina,ACC,Boston College,H,"W, 72-64",110.6,99.6,65.9,109.3,50.8,18.2,38.9,27.9,97.2,48.1,13.7,17.9,25.9,77,6
14,14,11/20/22,N,North Carolina,ACC,James Madison,H,"W, 80-64",110.6,84.1,75.2,106.3,50.8,15.9,30.6,39.3,85.1,39.9,12,18.8,24.6,95.9,12
15,15,2/27/23,C,North Carolina,ACC,Florida St.,A,"W, 77-66",110.4,92.6,69.7,110.5,56.6,20.1,27.3,45.3,94.7,44.2,11.5,20.5,35,88.3,9
16,16,12/10/22,C,North Carolina,ACC,Georgia Tech,H,"W, 75-59",110.1,90.2,67.6,110.9,50,16.3,36.4,42.1,87.3,49.1,16.3,3.1,14.8,90.9,8
17,17,2/19/23,C,North Carolina,ACC,North Carolina St.,A,"L, 77-69",109.1,99.5,68.6,100.6,41.1,19,42.9,38.7,112.3,48.6,4.4,25,14.1,74.2,-1
18,18,12/17/22,N,North Carolina,ACC,Ohio St.,N,"W, 89-84",108.8,95.1,73.1,108.2,48.6,15.8,36.4,37.5,102.1,52,19.5,30.4,18.9,82.5,-4
19,19,11/7/22,N,North Carolina,ACC,UNC Wilmington,H,"W, 69-56",108.5,91.9,64.3,107.3,47.9,14,25,62.5,87.1,32.8,17.1,39,41.4,87.2,7
20,20,3/9/23,CT,North Carolina,ACC,Virginia,N,"L, 68-59",108,102.9,61.5,95.9,43.4,17.9,29.4,34,110.6,53.1,9.8,17.2,44.9,63.4,-3
21,21,12/30/22,C,North Carolina,ACC,Pittsburgh,A,"L, 76-74",107.6,94.4,71.5,103.5,49.1,15.4,23.5,36.2,106.3,50,11.2,18.9,27,81.7,4
22,22,11/15/22,N,North Carolina,ACC,Gardner Webb,H,"W, 72-66",105.5,98,70.9,101.6,45,14.1,23.1,35,93.1,46.8,15.5,20.5,15.9,69.9,6
23,23,1/10/23,C,North Carolina,ACC,Virginia,A,"L, 65-58",105.5,93.3,63.4,91.5,47.2,20.5,23.5,22.6,102.6,51.9,12.6,17.6,36.5,80.4,0
24,24,12/4/22,C,North Carolina,ACC,Virginia Tech,A,"L, 80-72",104.4,107.7,69,104.4,50,14.5,12.1,52.9,116,56.6,14.5,32.3,24.6,41.2,-9
25,25,1/14/23,C,North Carolina,ACC,Louisville,A,"W, 80-59",103.3,88.3,71.6,111.7,53.5,19.5,32.3,40.4,82.4,38,19.5,25,51.9,85.9,6
26,26,11/30/22,N,North Carolina,ACC,Indiana,A,"L, 77-65",102,100,69.7,93.3,38.1,14.3,27.9,45.8,110.5,52.4,11.5,25,29,55.7,-7
27,27,1/24/23,C,North Carolina,ACC,Syracuse,A,"W, 72-68",101.1,88.9,71.7,100.5,50,14,16.7,39.7,94.9,57.9,23.7,17.2,5.3,81.3,4
28,28,2/4/23,C,North Carolina,ACC,Duke,A,"L, 63-57",100.3,85.3,65.8,86.7,39.3,10.6,29.8,4.3,95.8,42.6,18.2,33.3,24.6,86.6,0
29,29,2/7/23,C,North Carolina,ACC,Wake Forest,A,"L, 92-85",100.1,106.9,83.2,102.2,43.2,14.4,32.6,35.1,110.6,47.6,6,10.3,67.7,31.9,-14
30,30,2/13/23,C,North Carolina,ACC,Miami FL,H,"L, 80-72",99,97.6,73.2,98.3,47.7,12.3,22,22.7,109.2,51.8,17.8,25.8,46.4,53.9,-5
