#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/9/23,C,North Dakota,Sum,Denver,H,"W, 86-63",119.1,99.6,67.6,127.2,62.7,19.2,42.9,25.4,93.2,44.5,19.2,24.2,30.9,88.7,12
2,2,11/27/22,N,North Dakota,Sum,Cal St. Fullerton,H,"W, 73-57",117.9,103.1,60.6,120.5,60.4,21.5,35.7,43.8,94.1,52.1,21.5,25,27.1,82.5,-1
3,3,3/3/23,CT,North Dakota,Sum,Denver,N,"W, 83-68",114.3,109.4,67.3,123.4,60.8,11.9,27,13.8,101.1,50.8,22.3,36.7,15.3,62.3,3
4,4,11/17/22,N,North Dakota,Sum,Elon,A,"W, 77-73",114.1,114.4,65.9,116.9,51.7,16.7,36.4,34.5,110.8,53.1,19.7,32.3,62.5,49.2,5
5,5,2/4/23,C,North Dakota,Sum,South Dakota,A,"W, 86-72",112.9,101.3,71.5,120.3,60.5,14,18.8,35.1,100.7,43.5,12.6,21.6,32.3,77.5,9
6,6,1/21/23,C,North Dakota,Sum,Oral Roberts,H,"L, 84-72",112.9,112.5,67.3,106.9,47,8.9,29.5,19.4,124.7,61.8,17.8,29.6,36.4,51,-1
7,7,3/4/23,CT,North Dakota,Sum,Oral Roberts,N,"L, 96-80",111.8,129.2,70.7,113.1,60,21.2,31,16.7,135.7,57.5,2.8,28.6,16.4,15.8,-17
8,8,11/20/22,N,North Dakota,Sum,Montana St.,H,"L, 81-71",111.1,122.1,66.8,106.3,50,15,27.3,25.4,121.3,54.2,13.5,37.5,37.3,25.4,-7
9,9,1/27/23,C,North Dakota,Sum,North Dakota St.,A,"L, 91-75",110,131.5,68.2,110,48.6,5.9,20.9,12.9,133.4,60.8,5.9,31,23.1,11.4,-7
10,10,12/19/22,C,North Dakota,Sum,St. Thomas,A,"L, 75-62",108.8,123.3,57.5,107.8,52.9,24.4,50,15.4,130.5,61.3,8.7,19.2,24.5,19.1,-4
11,11,2/18/23,C,North Dakota,Sum,UMKC,A,"W, 81-73",107.6,111,72.6,111.6,46.2,8.3,14.3,73.6,100.6,43.5,22,38.2,61.1,41.3,2
12,12,2/25/23,C,North Dakota,Sum,St. Thomas,H,"W, 82-74",106.9,104,72.1,113.8,60.7,15.3,21.2,42.9,102.7,49.3,9.7,19.5,17.6,57.8,2
13,13,2/2/23,C,North Dakota,Sum,South Dakota St.,A,"L, 96-73",106.8,133.5,70.2,103.9,51.6,8.5,13.2,17.2,136.7,73.3,14.2,16.7,15,7.2,-11
14,14,12/10/22,N,North Dakota,Sum,Seattle,H,"L, 80-78",106.8,107.7,68.5,101.2,58.3,24.6,27.8,50,103.7,45,11.7,26.7,34.3,47.6,4
15,15,1/23/23,C,North Dakota,Sum,Western Illinois,A,"L, 92-80",105.9,122.8,74.2,107.9,57,13.5,12.1,17.2,124.1,75.5,20.2,14.3,32.1,15.5,-1
16,16,1/19/23,C,North Dakota,Sum,UMKC,H,"W, 77-60",105.8,98.3,68.8,111.9,58.9,20.4,26.5,28.6,87.2,41.7,20.4,25,38.9,70.1,9
17,17,2/16/23,C,North Dakota,Sum,Oral Roberts,A,"L, 73-70",102.8,105.8,66.6,105.2,50.8,16.5,30.8,7.7,109.7,55,9,12.5,16.7,41.9,-12
18,18,1/14/23,C,North Dakota,Sum,Denver,A,"L, 78-71",102.2,119.7,67.2,105.7,48.5,14.9,30.2,13.4,116.1,53.4,13.4,33.3,28.8,14.1,-5
19,19,11/10/22,N,North Dakota,Sum,Creighton,A,"L, 96-61",101.3,123.8,69,88.4,53.7,20.3,6.7,11.1,139.1,59.5,15.9,53.8,14.9,9,-19
20,20,12/3/22,N,North Dakota,Sum,Portland,A,"L, 90-69",95.7,116.2,71.6,96.3,48.4,18.2,25.6,19,125.7,63.3,15.4,30.8,30,9.7,-10
21,21,11/7/22,N,North Dakota,Sum,Incarnate Word,A,"W, 65-57",94.9,96.9,64,101.6,47,20.3,38.7,54,89.1,38.5,18.8,38.1,24.6,43.8,2
22,22,12/6/22,N,North Dakota,Sum,Idaho,A,"L, 76-66",94.2,110.1,68,97,51.7,20.6,27,24.1,111.7,54.7,11.8,15.2,45.3,14.2,-1
23,23,2/11/23,C,North Dakota,Sum,Nebraska Omaha,H,"W, 76-73",94,107.5,65.2,103.5,47.6,12.3,21.4,40.3,99.5,52,21.8,17.9,45.1,17.5,-1
24,24,11/25/22,N,North Dakota,Sum,Utah Tech,H,"W, 67-52",93,80.4,67.3,99.5,55.2,28.2,28,31.2,77.2,37.7,16.3,23.7,31.6,84.3,2
25,25,1/12/23,C,North Dakota,Sum,Nebraska Omaha,A,"L, 69-63",92,105.2,66.4,94.9,40.2,9,24.4,21.2,103.9,58,25.6,32,26,17.7,1
26,26,2/23/23,C,North Dakota,Sum,Western Illinois,H,"L, 81-70",89.5,118.1,72.1,97.1,44.4,12.5,23.8,34.9,112.4,50.7,8.3,30,16.7,4,-7
