#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/5/23,C,North Florida,ASun,Kennesaw St.,H,"W, 89-86",131.7,127.4,68,130.9,68.9,13.2,21.9,52.8,126.5,58.1,13.2,41.7,17.6,59.5,-1
2,2,11/21/22,N,North Florida,ASun,Duquesne,A,"L, 83-82",127.3,118,66.9,122.5,69,25.4,33.3,32,124,51.4,9,41.5,15.1,70.4,0
3,3,2/2/23,C,North Florida,ASun,Jacksonville,A,"W, 76-63",126.8,103,61.5,123.5,57.8,6.5,19.4,45.1,102.4,42.6,14.6,34.2,21.3,91.6,11
4,4,1/19/23,C,North Florida,ASun,Queens,H,"W, 95-90",126.4,131.1,69.7,136.2,59.7,10,40,28.4,129.1,57.7,7.2,29.4,33.8,39.7,-1
5,5,2/11/23,C,North Florida,ASun,Stetson,H,"W, 92-81",125.6,109.2,68.5,134.3,67.9,14.6,25,41.5,118.2,55.6,11.7,24.3,25.4,83.4,11
6,6,2/16/23,C,North Florida,ASun,Lipscomb,A,"W, 114-111",124.7,119.8,74.3,122.8,71.2,17.2,10.7,16.4,119.6,55.3,9.7,21.7,24.7,61.2,0
7,7,2/24/23,C,North Florida,ASun,Bellarmine,H,"W, 79-67",115.4,112.6,63.3,124.8,58.1,17.4,41.9,11.3,105.8,61.2,20.5,12.5,18.4,56.8,3
8,8,1/14/23,C,North Florida,ASun,Kennesaw St.,A,"L, 86-72",115.2,118.4,68,105.8,61.1,19.1,7.7,13,126.4,63.3,14.7,34.4,15.6,42.2,-2
9,9,1/28/23,C,North Florida,ASun,North Alabama,A,"L, 91-78",111.5,141.5,64.9,120.2,53.6,20,43.3,33.9,140.2,69.5,12.3,26.9,16.9,6,-12
10,10,2/27/23,CT,North Florida,ASun,Bellarmine,N,"L, 76-74",110,119.9,64.7,114.5,64.2,20.1,27.6,24.5,117.6,56,20.1,41.9,25.9,26.9,-1
11,11,12/3/22,N,North Florida,ASun,High Point,A,"L, 93-88",109.6,120.9,78.1,112.7,48.7,11.5,31.2,21.8,119.1,51.6,9,29.7,61.3,24.4,2
12,12,2/4/23,C,North Florida,ASun,Jacksonville,H,"W, 65-58",109.4,107.2,57.8,112.5,54.5,24.2,45.5,10.7,100.4,54.5,20.8,17.4,27.3,55.8,3
13,13,2/22/23,C,North Florida,ASun,Eastern Kentucky,H,"W, 77-64",109.3,91.6,71.5,107.6,51.4,14,31.8,11.3,89.5,41.2,25.2,41.9,13.2,88.4,8
14,14,12/31/22,C,North Florida,ASun,Austin Peay,H,"W, 90-85",109.2,128.3,66.6,120.1,52.2,13.3,34.1,41.2,113.4,53,8,21.6,23.9,13.6,-3
15,15,12/10/22,N,North Florida,ASun,Bethune Cookman,H,"W, 88-48",106.6,71.3,74.2,118.7,64.2,24.3,32.3,25,64.7,29.7,18.9,22.9,20.3,99,24
16,16,2/18/23,C,North Florida,ASun,Austin Peay,A,"L, 73-71",105.5,129.1,62.5,113.6,59.4,17.6,21.4,17,116.8,52.4,11.2,35.1,19,9,-6
17,17,12/22/22,N,North Florida,ASun,Bethune Cookman,A,"W, 87-85",105,115.3,77.6,112.1,54,11.6,19.4,45.2,109.5,51.5,11.6,20,35.4,25.5,4
18,18,2/9/23,C,North Florida,ASun,Florida Gulf Coast,H,"L, 68-66",104.4,111.8,61.7,106.9,49.1,13,28.6,20.7,110.2,56.5,16.2,25.9,18.5,31.2,0
19,19,11/11/22,N,North Florida,ASun,Washington,A,"L, 75-67",103.3,100,71.8,93.3,40.3,12.5,26.7,23.9,104.4,42.4,8.4,35.7,26.4,59.2,0
20,20,1/21/23,C,North Florida,ASun,Liberty,H,"L, 73-62",102.7,104.6,65.1,95.2,54.1,18.4,9.7,32.7,112.1,53.4,16.9,38.2,27.1,44.8,-4
21,21,1/12/23,C,North Florida,ASun,Jacksonville St.,A,"L, 72-63",99.5,111.4,64.4,97.8,45.1,4.7,14.6,18,111.7,47.6,12.4,31.6,22.2,21.3,-2
22,22,1/26/23,C,North Florida,ASun,Central Arkansas,A,"L, 88-85",99,109.9,73.2,103.2,47.8,21.8,36.6,40.3,106.8,43.4,12.1,39.6,25.3,23.1,4
23,23,1/2/23,C,North Florida,ASun,Stetson,A,"L, 68-62",91.2,98.8,63.7,97.4,45.4,22,31.4,31.5,106.8,51.8,12.6,25,19.3,28.4,-5
