#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/11/23,C,North Texas,CUSA,Charlotte,H,"W, 67-43",143.2,92,46.7,143.5,70.2,17.1,47.1,19,92.1,39.7,10.7,13.8,41,99.4,14
2,2,11/25/22,N,North Texas,CUSA,San Jose St.,N,"W, 69-54",131.8,94.4,54,127.8,59.8,14.8,30.8,37,100,74.1,37,35.3,79.3,97.9,10
3,3,1/14/23,C,North Texas,CUSA,Florida Atlantic,A,"L, 66-62",126.5,106.1,55.4,111.9,64.4,28.9,36,17.8,119.1,55.4,19.9,42.3,41.3,88.3,3
4,4,2/18/23,C,North Texas,CUSA,UTEP,A,"W, 80-72",123,116.2,59.2,120.2,64.6,25.5,40,47.9,108.2,46.1,21,39.4,62.7,65.8,-2
5,5,2/16/23,C,North Texas,CUSA,Louisiana Tech,A,"W, 72-62",121.8,107.6,58.2,123.7,66.3,20.6,28.6,18.4,106.5,50.9,17.2,38.2,28.3,80.7,3
6,6,12/31/22,C,North Texas,CUSA,FIU,H,"W, 72-57",120.8,98.5,58.9,122.3,62,27.2,48,39.1,96.8,51,27.2,36.4,26.5,91.3,11
7,7,1/5/23,C,North Texas,CUSA,Western Kentucky,A,"W, 70-66",120.2,101.9,61.4,114,51.8,21.2,44.1,29.1,107.4,41.8,9.8,21.9,61.2,86.9,10
8,8,2/9/23,C,North Texas,CUSA,UAB,H,"W, 82-79",119.1,105.3,57,115,52.7,18.2,32.3,44.6,110.8,55.2,15.4,27.5,14.9,80.4,1
9,9,1/11/23,C,North Texas,CUSA,Louisiana Tech,H,"W, 67-65",115.4,105.7,59.4,112.8,58.7,21.9,28.6,41.3,109.4,47.6,13.5,20,69,73.3,8
10,10,2/4/23,C,North Texas,CUSA,Rice,A,"W, 74-64",112.7,100.4,62.5,118.5,58.3,19.2,32.1,54.2,102.5,52.9,11.2,16.1,35.3,79.2,5
11,11,12/22/22,C,North Texas,CUSA,UTSA,A,"W, 78-54",112.6,90.5,63.9,122.1,55.8,14.1,37.5,23.3,84.6,37.5,20.4,25,32.7,92.5,8
12,12,3/9/23,CT,North Texas,CUSA,Louisiana Tech,N,"W, 74-46",110.6,75.6,64.1,115.4,59.6,29.6,46.2,46.8,71.7,32.6,17.2,18.4,63,98.8,12
13,13,1/21/23,C,North Texas,CUSA,UAB,A,"W, 63-52",109.6,78.2,61.3,102.7,56,17.9,15.4,18,84.8,37.2,21.2,31.2,51.1,98,6
