#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/2/23,C,Northern Arizona,BSky,Montana St.,A,"L, 69-68",124.5,110.8,59.8,113.6,51.8,18.4,43.8,21.4,115.3,46.4,10,31.2,38.2,79.3,4
2,2,2/27/23,C,Northern Arizona,BSky,Weber St.,H,"L, 90-89",122.8,128.6,66,119.8,50.6,13.5,42,26,121.2,66.7,20.2,26.7,33.3,36.9,1
3,3,2/9/23,C,Northern Arizona,BSky,Sacramento St.,H,"W, 77-55",120.8,94.3,60.5,127.4,60.2,9.9,25.8,11.9,91,42.5,19.8,32.4,30.2,94.5,14
4,4,2/25/23,C,Northern Arizona,BSky,Northern Colorado,A,"W, 85-82",120.6,114.8,68.4,124.3,61.6,13.2,19.4,42.9,119.9,60.2,16.1,33.3,44.4,64,5
5,5,3/8/23,CT,Northern Arizona,BSky,Montana St.,N,"L, 85-78",120.4,126,67.8,115.1,51.8,19.2,37.5,40.4,125.5,56.2,16.2,40,77.1,37.2,-7
6,6,3/7/23,CT,Northern Arizona,BSky,Montana,N,"W, 83-71",118.5,105.2,66.8,124.2,56.9,10.5,29,34.5,106.3,51.8,22.5,32.1,27.3,79.7,4
7,7,12/17/22,N,Northern Arizona,BSky,Southern Utah,A,"L, 106-101",118.5,112.2,77.9,115.3,54.3,14.8,37,25.9,121,55.2,16,23.5,87.9,65.2,1
8,8,11/27/22,N,Northern Arizona,BSky,Abilene Christian,H,"L, 92-82",116.5,130.8,69.4,118.1,56.9,14.4,28.6,37.9,132.5,65,14.4,31.2,36.7,20.8,-2
9,9,3/5/23,CT,Northern Arizona,BSky,Eastern Washington,N,"W, 81-80",116.2,112,67.7,119.7,56.7,11.8,28.6,11.9,118.3,65.7,17.7,24,39.2,60.5,0
10,10,1/21/23,C,Northern Arizona,BSky,Eastern Washington,H,"L, 79-76",113.2,114.7,65.2,116.6,49.2,4.6,27.9,33.3,121.2,52.7,13.8,29.4,42.9,46.2,0
11,11,11/12/22,N,Northern Arizona,BSky,Utah Valley,A,"L, 73-69",113.1,112.5,65.1,106,45.5,15.4,38.1,14.9,112.1,57.7,16.9,24.2,38.5,51.8,-8
12,12,2/11/23,C,Northern Arizona,BSky,Portland St.,H,"L, 88-87",109.8,124.2,74.4,116.9,49.2,17.5,39.5,46.9,118.3,64.8,13.4,21.9,29.5,19.5,-4
13,13,1/28/23,C,Northern Arizona,BSky,Northern Colorado,H,"W, 83-73",109.7,101.1,71.2,116.6,58.5,11.2,7.1,49.1,102.5,47.7,14,27.5,26.6,71.8,8
14,14,1/19/23,C,Northern Arizona,BSky,Idaho,H,"L, 88-83",109.2,136.6,68.3,121.5,54.3,8.8,28.9,14.5,128.9,63.2,10.3,20,50.9,7.1,-6
15,15,3/4/23,CT,Northern Arizona,BSky,Idaho,N,"W, 87-76",107.2,108.6,73.7,118.1,62.7,17.6,18.5,40,103.2,55.9,20.4,14.8,49,46.5,3
16,16,2/6/23,C,Northern Arizona,BSky,Idaho St.,H,"L, 75-70",107,117.3,64.5,108.5,54.2,17.1,28.1,13.6,116.3,55.1,7.8,18.2,22,25.7,4
17,17,11/22/22,N,Northern Arizona,BSky,UT Rio Grande Valley,A,"L, 91-79",106.8,118.1,74.4,106.2,54.8,24.2,30.6,21,122.3,53.6,16.1,35.5,62.5,24,1
18,18,2/18/23,C,Northern Arizona,BSky,Idaho,A,"W, 72-50",106.3,88.8,60.8,118.5,60.5,11.5,17.9,7,82.3,40.2,14.8,16.7,27.5,88.9,7
19,19,2/4/23,C,Northern Arizona,BSky,Montana,A,"L, 67-66",105.3,101.6,62.4,105.8,50.8,14.4,32.3,4.8,107.4,56,14.4,21.9,8.6,60.2,2
20,20,12/6/22,N,Northern Arizona,BSky,Pacific,A,"W, 73-69",103.3,95.4,69.6,104.9,50,18.7,29.4,36.8,99.1,44,20.1,29,60,71.4,2
21,21,12/10/22,N,Northern Arizona,BSky,Utah Valley,H,"L, 80-75",103,103,69.3,96.2,49.3,11.5,17.5,17.6,102.6,50,23.1,26.5,57.1,49.9,-4
22,22,11/10/22,N,Northern Arizona,BSky,Arizona St.,A,"L, 84-68",102.9,119.2,70.6,96.3,48.2,17,17.1,31.6,119,63.5,22.7,39.3,72.9,15.5,-16
23,23,1/5/23,C,Northern Arizona,BSky,Montana,H,"W, 75-74",101.4,103.8,62.6,106.4,54.9,18.4,18.5,45.1,105,50,14.2,18.9,32.2,43.2,-1
24,24,12/3/22,N,Northern Arizona,BSky,Pepperdine,A,"L, 88-69",100.7,117,71.5,96.5,45.1,19.6,33.3,34.4,123,61.9,11.2,24.2,27,15,-4
25,25,12/31/22,C,Northern Arizona,BSky,Weber St.,A,"L, 76-60",100.5,112.8,66.5,90.3,50.9,24.1,21.9,13,114.4,63,19.6,17.4,32,21,-1
26,26,1/12/23,C,Northern Arizona,BSky,Portland St.,A,"L, 75-74",97.4,104.3,73.4,100.8,50,24.5,37.1,55.6,102.2,52.5,15,13.5,30.5,31.4,-3
