#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,1/24/23,C,Northern Illinois,MAC,Kent St.,H,"W, 86-76",127.4,111.9,69.3,124.2,63.9,18.8,22.2,37,109.7,60.4,17.3,20.7,35.8,81.6,-1
2,2,2/4/23,C,Northern Illinois,MAC,Bowling Green,A,"W, 86-78",118.2,110,69.7,123.3,61.7,11.5,25.8,28.3,111.8,52.5,15.8,31.6,39.3,69.5,8
3,3,11/30/22,N,Northern Illinois,MAC,Eastern Illinois,A,"W, 90-70",118,112.8,70.6,127.4,76.6,24.1,21.7,55.3,99.1,51.7,15.6,29.7,39,62.6,7
4,4,1/21/23,C,Northern Illinois,MAC,Eastern Michigan,A,"W, 88-67",118,95.6,70.4,125,68.5,18.5,17.4,33.3,95.2,48,21.3,31.4,58.8,91.9,15
5,5,1/17/23,C,Northern Illinois,MAC,Miami OH,A,"W, 81-77",110.4,107.5,70.9,114.2,59.1,16.9,30,47.3,108.5,54.4,18.3,23.3,31.6,57.7,5
6,6,2/25/23,C,Northern Illinois,MAC,Central Michigan,A,"W, 84-80",110.2,111.7,77.1,109,59,22.1,25.8,78,103.8,41.7,22.1,41.9,61.7,46.1,9
7,7,3/3/23,C,Northern Illinois,MAC,Eastern Michigan,H,"W, 85-66",109.1,97.2,70.9,119.8,63.7,22.6,36.7,16.1,93,46.7,15.5,22.5,24.6,79,12
8,8,12/12/22,N,Northern Illinois,MAC,Gonzaga,A,"L, 88-67",109,106.2,67,100,47.3,22.4,35.3,30.4,131.3,50,9,47.5,30,57.5,-9
9,9,11/23/22,N,Northern Illinois,MAC,LIU Brooklyn,N,"W, 86-61",105.9,100.4,72.7,118.4,63.1,17.9,27.3,24.6,83.9,37,23.4,23.1,64,64.8,16
10,10,2/14/23,C,Northern Illinois,MAC,Ball St.,A,"L, 87-77",105.1,116,72.1,106.8,55.6,16.6,23.1,20.6,120.7,59.2,18,34.4,35,24.2,-6
11,11,1/31/23,C,Northern Illinois,MAC,Western Michigan,A,"W, 73-59",101.9,87.3,66.7,109.4,50.9,15,27.8,38.6,88.4,32.8,19.5,47.9,28.4,85.6,12
12,12,11/26/22,N,Northern Illinois,MAC,Northern Iowa,A,"L, 83-76",101.8,110.4,74.8,101.6,52.6,25.4,27.3,31.6,110.9,50,18.7,39.5,62.1,28.2,-3
13,13,2/7/23,C,Northern Illinois,MAC,Ohio,H,"L, 82-76",101.8,110.3,71.7,106,50,12.6,23.7,37.7,114.3,60,23.7,32.3,36.4,28.5,-4
14,14,2/11/23,C,Northern Illinois,MAC,Western Michigan,H,"W, 81-53",100.4,89.6,67.3,120.3,60.7,16.3,33.3,23,78.7,38,17.8,20,35.2,78.6,6
15,15,2/28/23,C,Northern Illinois,MAC,Buffalo,H,"L, 85-75",100.2,125.8,71,105.6,56.1,12.7,8.8,31.6,119.7,60.2,14.1,26.7,33.9,6.8,-12
