#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,2/18/23,C,Northern Iowa,MVC,Missouri St.,A,"W, 69-66",117.9,111.5,59.5,115.9,54.8,15.1,30,30.8,110.9,49.1,13.4,34.3,41.5,65.5,-1
2,2,2/15/23,C,Northern Iowa,MVC,Drake,H,"L, 82-74",114.9,116.1,68.2,108.6,63.7,19.1,11.5,31.4,120.3,65.7,17.6,16.7,22.2,47.2,-6
3,3,2/1/23,C,Northern Iowa,MVC,Drake,A,"L, 88-81",114.8,101.1,63.4,102.2,52.9,12.6,10.8,17.6,111,46,6.3,27.7,33.3,81.1,1
4,4,1/21/23,C,Northern Iowa,MVC,Illinois Chicago,A,"W, 78-72",114,120.2,65.1,119.9,50.9,13.8,36.4,46.4,110.6,59.8,15.4,17.2,14.3,35.2,-4
5,5,1/7/23,C,Northern Iowa,MVC,Southern Illinois,H,"W, 69-57",113.8,94,63.8,108.2,53.8,20.4,31.2,36.5,89.4,48.8,22,10.7,46.5,90,8
6,6,12/17/22,N,Northern Iowa,MVC,Towson,N,"W, 83-66",112.8,96.6,70.1,118.3,60.4,18.5,23.1,70.8,94.1,49.1,25.7,38.2,26.3,85.6,1
7,7,2/4/23,C,Northern Iowa,MVC,Bradley,H,"L, 77-69",110.6,116.8,65.7,105.1,53.9,16.8,18.5,35.3,117.3,70.6,22.8,17.9,19.6,34.7,-6
8,8,2/22/23,C,Northern Iowa,MVC,Southern Illinois,A,"L, 86-63",110.3,136.4,63.3,99.5,43.8,12.6,27.5,41.1,135.8,74,17.4,22.7,19.2,8,-10
9,9,1/25/23,C,Northern Iowa,MVC,Valparaiso,H,"W, 77-66",107.7,101.8,69.5,110.8,56.2,15.8,10.3,58.3,95,43.9,14.4,27.9,18.2,65.7,8
10,10,11/26/22,N,Northern Iowa,MVC,Northern Illinois,H,"W, 83-76",107.2,107.6,74.8,110.9,50,18.7,39.5,62.1,101.6,52.6,25.4,27.3,31.6,49,3
11,11,12/3/22,C,Northern Iowa,MVC,Evansville,H,"W, 72-55",105.3,95.1,65.8,109.5,54,16.7,34.3,14.5,83.6,40.7,16.7,21.1,15.3,76.3,13
12,12,3/3/23,CT,Northern Iowa,MVC,Bradley,N,"L, 72-66",105.3,104.2,67.4,97.9,45.5,10.4,16.2,35.7,106.8,50,14.8,29.4,50.9,53,-3
13,13,1/28/23,C,Northern Iowa,MVC,Indiana St.,A,"L, 79-71",105.3,99.7,72.3,98.2,55.3,22.1,13.8,17.5,109.2,57.8,22.1,27.6,49,65.2,-1
14,14,1/14/23,C,Northern Iowa,MVC,Belmont,A,"L, 76-72",105,112.4,65.5,110,52.5,9.2,25.8,23.3,116.1,64.2,21.4,18.5,17,31.4,-9
