#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-
1,1,3/2/23,CT,Northern Kentucky,Horz,Oakland,H,"W, 81-74",118.6,119.1,63.6,127.3,61.8,15.7,32.3,52.9,116.3,58.3,11,7.4,45.8,48.7,6
2,2,12/29/22,C,Northern Kentucky,Horz,Wright St.,H,"W, 78-64",116.4,97.5,66.1,118,59.1,18.2,37.5,40,96.9,47.4,19.7,29.4,20.7,88.4,10
3,3,1/21/23,C,Northern Kentucky,Horz,Fort Wayne,H,"W, 74-54",116.1,97.6,60.5,122.3,61.4,14.9,25,7,89.3,53.6,29.8,28.6,40.5,88,8
4,4,3/6/23,CT,Northern Kentucky,Horz,Youngstown St.,N,"W, 75-63",115.4,93.8,62.6,119.8,39.8,4.8,40.5,64.4,100.6,49.1,20.8,33.3,24.5,91.5,9
5,5,1/14/23,C,Northern Kentucky,Horz,Green Bay,A,"W, 74-53",112.3,105.4,59.1,125.2,55.2,11.8,41.7,31,89.7,48.8,27.1,20.7,32.6,67.4,8
6,6,2/12/23,C,Northern Kentucky,Horz,IUPUI,H,"W, 86-47",112.2,93.1,62.4,137.8,73,14.4,23.8,34,75.3,42.6,33.6,34.5,21.3,89.5,11
7,7,2/25/23,C,Northern Kentucky,Horz,Oakland,A,"W, 78-69",112.1,108.3,65.1,119.8,62.3,29.2,50,14,106,49,12.3,19.2,50,59.8,3
8,8,2/23/23,C,Northern Kentucky,Horz,Detroit,A,"W, 67-64",107.8,97.8,59.6,112.4,60.2,16.8,17.9,22.4,107.4,45.4,21.8,44.7,38.9,75.4,6
9,9,11/16/22,N,Northern Kentucky,Horz,Cincinnati,H,"W, 64-51",105.2,78.3,62.9,101.7,57.4,22.3,23.1,29.8,81.1,39,17.5,29.3,22,96.8,5
10,10,2/10/23,C,Northern Kentucky,Horz,Wright St.,A,"L, 83-65",105.1,124.7,64.2,101.2,45.5,15.6,36.4,12.1,129.2,66.4,15.6,28,25.5,12.3,-6
11,11,12/14/22,N,Northern Kentucky,Horz,Eastern Kentucky,H,"W, 64-61",104.5,101.2,62,103.3,52.1,24.2,38.7,43.8,98.4,44.8,16.1,35.7,36.2,59.2,1
12,12,2/19/23,C,Northern Kentucky,Horz,Cleveland St.,A,"L, 64-63",104.2,104.6,61,103.3,48.2,13.1,30.6,21.1,105,47.5,21.3,45.9,18,48.7,-2
13,13,3/7/23,CT,Northern Kentucky,Horz,Cleveland St.,N,"W, 63-61",103.5,99.8,61.2,103,46.1,16.4,32.3,35.3,99.8,49.1,27.8,45.7,17.5,60.3,1
14,14,1/26/23,C,Northern Kentucky,Horz,Green Bay,H,"W, 68-50",103.3,103.7,57.8,117.7,53.7,6.9,26.5,27.8,86.5,54.7,34.6,20.8,7,48.7,7
15,15,2/2/23,C,Northern Kentucky,Horz,Robert Morris,A,"W, 65-52",101.8,91.5,62.6,103.9,52.8,17.6,23.3,16.7,83.1,44.3,30.4,36.4,11.3,77.4,3
16,16,11/27/22,N,Northern Kentucky,Horz,Tennessee Tech,H,"W, 85-77",101.6,110,60.7,112,54.2,14.5,27.5,15.5,101.4,56.7,25,30.6,26.7,28.7,-2
17,17,1/8/23,C,Northern Kentucky,Horz,Detroit,H,"W, 78-76",100.8,105.8,62,111.8,48.4,15.8,37.1,33.9,108.9,52.5,20.1,31.4,27.1,36.6,0
18,18,2/17/23,C,Northern Kentucky,Horz,Fort Wayne,A,"W, 63-50",100,86.2,61.5,102.5,57,21.1,19.2,16,81.3,40.2,16.3,16.2,25.5,84.7,5
19,19,1/28/23,C,Northern Kentucky,Horz,Milwaukee,H,"L, 75-74",98.8,101.7,74.2,99.8,44.3,18.9,36.4,21.4,101.1,47.1,24.3,32.4,62.7,41.7,9
20,20,11/7/22,N,Northern Kentucky,Horz,Kent St.,H,"L, 79-57",98.1,117.9,64,89,34.2,18.7,43.2,36.7,123.4,66.4,17.2,28.1,29.1,10.8,-9
